"Billing address","Fakturační adresa"
"Shipping address","Dodací adresa"
"Shipping method","Způsob dopravy"
"Time of Delivery","Čas dodání"
"Payment method","Způsob platby"
"Order Review","Kontrola objednávky"
"First Name","Jméno"
"Last Name","Příjmení"
"Email Address","E-mail"
"Company","Firma "
"Country","Země"
"State/Province","Stát/provincie"
"Zip/Postal","PSČ"
"City","Město"
"Address","Adresa"
"Telephone","Telefon"
"Fax","Fax"
"Tax/VAT number","IČO/DIČ"
"Date of Birth","Datum narození"
"Gender","Pohlaví"
"Prefix","Oslovení"
"M.I.","Druhé jméno"
"Suffix","Titul"
"MM","MM"
"DD","DD"
"YYYY","RRRR"
"Save in address book","Uložit do adresáře"
"Create an Account","Vytvořit účet"
"Password","Heslo"
"Confirm Password","Potvrďte heslo"
"Ship to this address","Poslat na tuto adresu"
"Comments","Komentář"
"Already registered? Please log in here","Již máte účet? Prosím, přihlašte se zde"
"Customer Login","Přihlášení uživatele or zákazníka"
"I accept the <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Terms and Conditions</a>","Souhlasím s <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Podmínkami</a>"
"Login","Přihlášení  "
"Forgot Your Password?","Zapomněli jste heslo?"
"Place Order","Potvrďte objednávku"
"Subscribe to newsletter","Přihlásit se k zasílání novinek"
"* This field is required","* Toto pole je povinné"
"* Please select an option","* Prosím vyberte možnost"
"* This checkbox is required","* Toto pole je povinné "
"*Between ","* Mezi "
" and "," a  "
"characters allowed","znaky povoleny"
"* Checks allowed Exceeded","* Limit šeku překročen"
"* Please select ","*Prosím vyberte  "
" options","možnosti"
"* Your field is not matching","* Pole nesouhlasí"
"* Invalid phone number","* Neplatné telefonní číslo"
"* Invalid email address","* Neplatná e-mailová adresa"
"* Invalid date, must be in YYYY-MM-DD format","* Neplatné datum, zadejte datum ve formátu RRRR-MM-DD"
"* Numbers only","* Pouze čísla"
"* This user is available","* Uživatelské jméno lze použít"
"* Loading, please wait","* Načítá se, prosím vyčkejte"
"* This user is already taken","* Toto uživatelské jméno nelze použít"
"* This name is already taken","* Jméno nelze použít"
"* This name is available","* Jméno lze použít"
"* Letters only","* Pouze písmena"
"* You must have a firstname and a lastname","* Musíte zadat jméno a příjmení"
"Check this checkbox if you want to add gift messages.","Zaškrtněte zde, pokud chcete přidat osobní věnování"
"Enter a gift message for entire order.","Zadejte osobní věnování pro celou objednávku."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Toto políčko můžete nechat prázdné, pokud si nepřejete přidat osobní věnování."
"From","Od "
"To","Komu"
"Message","Věnování"
"Item %d of %d","Translate"
"Updating information, please wait...","Aktualizuji, prosím vyčkejte..."
"General","všeobecné or všeobecně"
"Enable LightCheckout","Aktivovat LightCheckout"
"Default Country","Výchozí země"
"Default Shipping Method","Výchozí způsob dodání"
"Default Payment Method","Výchozí způsob platby"
"Page Title","Titulek stránky"
"Page Content","Obsah stránky"
"Enable Different Shipping Address","Změnit dodací adresu"
"Enable Delivery Date","Změnit datum dodání"
"Enable GeoIP for Country","Aktivovat GeoIP pro stát"
"Registration","Registrace"
"Checkout Mode","Objednat"
"Registered and guest customers","Registrovaní zákazníci a hosté"
"Only registered customers","Pouze registrovaní zákaznící"
"Only guest customers","Pouze hosté"
"Enable/Disable Fields","Aktivovat/ zablokovat pole"
"Region","Region"
"Zip/Postcode","PSČ"
"Newsletter Checkbox","Zasílání novinek"
"Sort Address Fields","Vybrat adresní pole"
"Company Order","Firemní objednávka"
"Country Order","Státní objednávka"
"City Order","Městská objednávka"
"Telephone Order","Telefonická objednávka"
"Fax Order","Objednávka faxem"
"State/Region Order","Stát/ region objednávky"
"Address Order","Adresa objednávky"
"Zip/Postcode Order","PSČ objednávky"
"Terms & Conditions","Podmínky a ustanovení"
"Enable Terms and Conditions","Aktivovat podmínky a ustanovení"
"Terms and Conditions Text","Znění podmínek a ustanovení"
"Popup Width in Pixels","Popup šířka v pixlech"
"Popup Height in Pixels","Popup výška v pixlech"
"Enable","Aktivovat"
"Disable","Zablokovat"
"Required","Povinný"
"Optional","Volitelný"
"Yes","Ano"
"No","Ne "
"Select a billing address","Vyberte fakturační adresu"
"Select a shipping address","Vyberte dodací adresu"
"Buy without VAT (for EU only)","Koupit bez DPH (pouze pro EU)"
"Apply Coupon","Použít kupón"
"Discount codes","Slevové kódy"
"Subtotal","Mezisoučet"
"Grand Total","Cena celkem"
"Product Name","Produkt"
"Price","Cena"
"Qty","Množství"
"Remove item","Odstranit položku"
