"Amazon Payments uses information from your Amazon account to place your order.", "Amazon Payments verwendet Informationen aus Ihrem Amazon Account f&uuml;r Ihre Bestellung."
"Click <a href=""#"" id=""amazon-cancel"">here</a> to change your payment method.", "Klicken Sie <a href=""#"" id=""amazon-cancel"">hier</a> um die Zahlart zu wechseln."
"Change Payment Method", "Zahlart &auml;ndern"
"More Info", "Mehr Informationen"
"Example:", "Beispiel:"
"Pay with Amazon", "Bezahlen mit Amazon"
"Payment Declined By Amazon Payments", "Die Zahlung wurde von Amazon Payments abgelehnt"
"Please update your payment method below:", "Bitte &auml;ndern Sie Ihre Zahlart:"
"Please agree to all the terms and conditions before placing the order.", "Bitte stimmen Sie den Bedingungen zu, bevor Sie die Bestellung absetzen."
"There was an error processing your order. Please contact us or try again later.", "Bei der Verarbeitung der Bestellung trat ein Fehler auf. Bitte kontaktieren Sie uns oder versuchen es später erneut."
"Thank you for updating your payment method.", "Vielen Dank für die Aktualisierung der Zahlart."
"Please try another payment method.", "Bitte verwenden Sie eine andere Zahlart."
"OR", "ODER"
"Payment", "Zahlart"
"Order Summary", "Bestellübersicht"
"Amazon Order Reference ID required. Please try again.", "Amazon Order Reference ID wird benötigt. Bitte versuchen Sie es erneut."
"Please select a shipping address.", "Bitte wählen Sie eine Versandadresse."
"Please select a payment method.", "Bitte wählen Sie eine Zahlart."
#adminhtml
"Sync with Amazon", "Mit Amazon synchronisieren"
"Sync with Amazon: Authorization state is ""%s"".", "Mit Amazon synchronisieren: Autorisierungsstatus ist ""%s""."
" (Payment is currently authorizing. Please try again momentarily.)", " (Zahlung wird gerade autorisiert. Bitte versuchen Sie es später erneut.)"
" Order placed on hold due to ""%s"". Email sent to customer with link to order details page and instructions to update their payment method.", " Bestellung wurde auf ""on hold"" gesetzt. Grund: ""%s"". Eine E-Mail mit einem Link zur Bestelldetailseite und Instruktionen die Zahlart zu ändern wurde an den Kunden gesendet."
" Unable to create invoice due to Authorization Reason Code: %s", " Die Rechnung konnte nicht erstellt werden, ReasonCode der Autorisierung: %s"
"Amazon Payments requires a <a href=""https://github.com/amzn/amazon-payments-magento-plugin/wiki/Magento-1.5-Compatibility"" target=""_blank"">patched Payments.php</a> file for Magento 1.5 compatibility.", "Bezahlen mit Amazon benötigt ein <a href=""https://github.com/amzn/amazon-payments-magento-plugin/wiki/Magento-1.5-Compatibility"" target=""_blank"">angepasste Payments.php</a> für Magento 1.5 Unterstützung."
"To complete your Amazon Payments configuration, please set up <a href="https://sellercentral.amazon.com/" taget="_blank">your account</a> and add the API credentials <a href=""%s"">here</a>.", "Bitte estellen Sie <a href=""https://sellercentral.amazon.com/"" taget=""_blank"">ein Konto</a> und fügen Sie die API Zugangsdaten <a href=""%s"">hier</a> ein, um die Amazon Payments Konfiguration abzuschließen."
"Error: Please verify your Seller ID (alphanumeric characters only).", "Fehler: Bitte prüfen Sie Ihre Händler ID (nur alphanumerische Zeichen)."
"All of your Amazon API keys are correct.", "Alle Ihre Amazon API Daten sind korrekt."
"The Amazon MWS Access Key is incorrect.", "Der Amazon MWS Access Key ist nicht korrekt."
"The Amazon MWS Secret Key is incorrect.", "Der Amazon MWS Secret Key ist nicht korrekt."
"The Amazon Seller/Merchant ID is incorrect.", "Die Amazon Seller/Merchant ID ist nicht korrekt."
"The Amazon Seller/Merchant ID does not match the MWS keys provided.", "Die Amazon Seller/Merchant ID passt nicht zu den angegebenen MWS Schlüsseln."
"Gold", "Gold"
"Dark Gray", "Dunkelgrau"
"Light Gray", "Hellgrau"
"Pay", "Bezahlen"
"Amazon logo", "Amazon Logo"
"Small", "Klein"
"Medium", "Mittel"
"Large", "Groß"
"X-large", "Extra-Groß"
"Magento Core OnePage Checkout", "Magento Core OnePage Checkout"
"Amazon Standalone Checkout in a Modal Window", "Amazon Standalone Checkout in modalem Fenster"
"Amazon Standalone Checkout", "Amazon Standalone Checkout"
"Language", "Sprache"
"Region", "Region"
"Seller/Merchant ID", "Seller/Merchant ID"
"MWS Access Key", "MWS Access Key"
"MWS Secret Key", "MWS Secret Key"
"Checkout Configuration", "Checkout Konfiguration"
"Checkout Page Type", "Art des Checkouts"
"Show Pay with Amazon Button on Cart", "Bezahlen mit Amazon Button in Warenkorb zeigen"
"Pop-up must be set to ""No"" under Customers->Login with Amazon.", "Pop-up muss auf ""Nein"" unter Kunden->Login mit Amazon gesetzt sein."
"Only applies when OnePage Checkout is used, otherwise button is always shown.", "Greift nur, wenn OnePage Checkout verwendet wird, ansonsten wird der Button immer angezeigt."
"Secure Cart Page", "Gesicherte Warenkorb Seite"
"HTTPS is required to use the Amazon button on the cart page.", "HTTPS ist verpflichtend, um den Amazon Button im Warenkorb anuzuzeigen."
"Display as Payment Option", "Als Zahlart anzeigen"
"Add pay button under ""Payment Information"" during checkout. (Recommended flow is to display button before user enters billing and shipping information.)", "Bezahlen Button unter ""Zahlarten"" während des Checkouts. (Es wird empfohlen den Button anzuzeigen, bevor der Kunde manuell Informationen angeben muss.)"
"Asynchronous Mode", "Asynchroner Modus"
"In asynchronous mode, the payment is returned as a Pending status instead of an immediate Open or Declined status. Customers will need to be notified of a Declined status.", "Im asynchronen Moduswird der Status der Autorisierung als ""Pending"" anstatt direkt als ""Open"" oder ""Declined"" zur&uuml;ckgegeben. Kunden werden bei Ablehnungen automatisch informiert."
"Button Style", "Button Style"
"Button Label", "Beschriftung"
"Button Color", "Farbe"
"Button Size", "Größe"
"Display Acceptance Badge", "Acceptance Badge anzeigen"
"Display ""Amazon Payments"" acceptance mark in right sidebar.", """Amazon Payments"" Logo in rechter Sidebar anzeigen."
"Save API responses to Magento log", "API Antworten in Magento log speichern"
"Restrict by IP", "IP Beschränkung"
"Display to only whitelisted IPs found in Developer -> Developer Client Restrictions", "Button nur f&uuml;r unter ""Entwickleroptionen -> Entwickler Clientbeschr&auml;nkung"" eingetragene IPs anzeigen"
