"﻿""Billing address""","Rachunek prześlij na adres "
"Shipping address","Adres odbioru"
"Shipping method","Sposób dostawy "
"Time of Delivery","Czas dostawy"
"Payment method","Sposób zapłaty"
"Order Review","Podgląd zamówienia"
"First Name","Imię"
"Last Name","Nazwisko"
"Email Address","Adres mailowy"
"Company","Firma"
"Country","Kraj"
"State/Province","Województwo"
"Zip/Postal","Kod pocztowy"
"City","Miasto"
"Address","Adres "
"Telephone","Telefon"
"Fax","Faks"
"Tax/VAT number","Numer NIP/ VAT"
"Date of Birth","Data urodzenia"
"Gender","Płeć"
"Prefix","Tytuł "
"M.I.","M.I."
"Suffix","Suffix"
"MM","Miesiąc"
"DD","Dzień"
"YYYY","Rok "
"Save in address book","Zapisz w książce adresowej"
"Create an Account","Załóż konto"
"Password","Hasło"
"Confirm Password","Potwierdź hasło"
"Ship to this address","Prześlij na adres"
"Comments","Komentarze"
"Already registered? Please log in here","Jesteś zarejestrowany? Zaloguj się"
"Customer Login","Login klienta"
"I accept the <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Terms and Conditions</a>","Akceptuję <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Zasady i Warunki</a>"
"Login","Zaloguj się"
"Forgot Your Password?","Zapomniałeś hasła?"
"Place Order","Zamów "
"Subscribe to newsletter","Zamów informator"
"* This field is required","* Wymagane pole"
"* Please select an option","* Wybierz"
"* This checkbox is required","* Pola wymagane"
"*Between ","* Od "
" and "," do "
"characters allowed","dozwolonych znaków"
"* Checks allowed Exceeded","* Zadużo znaków"
"* Please select ","* Wybierz "
" options"," opcje"
"* Your field is not matching","* Pola nie zgadzają się"
"* Invalid phone number","* Błędny numer telefonu"
"* Invalid email address","* Błędny adres emailowy"
"* Invalid date, must be in YYYY-MM-DD format","* Błędna data, zapisz jako RRRR-MM-DD"
"* Numbers only","* Tylko cyfry"
"* This user is available","* Nazwa użytkownika dostępna"
"* Loading, please wait","* Wczytywanie, proszę czekać"
"* This user is already taken","* Nazwa użytkownika niedostępna"
"* This name is already taken","* Nazwa niedostępna"
"* This name is available","* Nazwa dostępna"
