"Billing address","Endereço de cobrança"
"Shipping address","Endereço de envio"
"Shipping method","Método de envio"
"Time of Delivery","Tempo de entrega"
"Payment method","Métodos de Pagamento"
"Order Review","Revisão do pedido"
"First Name","Primeiro Nome"
"Last Name","Último Nome"
"Email Address","Endereço de Email"
"Company","Empresa"
"Country","País"
"State/Province","Estado/Província"
"Zip/Postal","Código Postal"
"City","Cidade"
"Address","Endereço"
"Telephone","Telefone"
"Fax","Fax"
"Tax/VAT number","Números CPF/CNPJ"
"Date of Birth","Data de Nascimento"
"Gender","Sexo"
"Prefix","Prefixo"
"M.I.","Inicial do Meio"
"Suffix","Sufixo"
"MM","MM"
"DD","DD"
"YYYY","AAAA"
"Save in address book","Guardar no livro de endereços"
"Create an Account","Criar Conta"
"Password","Senha"
"Confirm Password","Confirmar Senha"
"Ship to this address","Enviar para endereço de envio"
"Comments","Comentários"
"Already registered? Please log in here","Já se cadastrou? Clique aqui para se ligar"
"Customer Login","Login de Cliente"
"I accept the <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Terms and Conditions</a>","Eu aceito os <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Termos e Condições</a>"
"Login","Login"
"Forgot Your Password?","Esqueceu sua senha?"
"Place Order","Fazer Pedido"
"Subscribe to newsletter","Subscrever a newsletter"
"* This field is required","* Este campo é obrigatório"
"* Please select an option","* Por favor seleccione uma opção"
"* This checkbox is required","* Esta caixa é obigatória"
"*Between ","* Entre "
" and "," e "
"characters allowed","caratéres permitidos"
"* Checks allowed Exceeded","* Cheques permitidos Excedidos"
"* Please select ","* Por favor seleccione "
" options"," opções"
"* Your field is not matching","* O seu campo não é igual"
"* Invalid phone number","* Número de telefone inválido"
"* Invalid email address","* Endereço de email inválido"
"* Invalid date, must be in YYYY-MM-DD format","* Data inválida, tem de ser no formato AAAA-MM-DD"
"* Numbers only","* Só números"
"* This user is available","* Este utilizador está disponível"
"* Loading, please wait","* Carregando, por favor espere"
"* This user is already taken","* Este utilizador já existe"
"* This name is already taken","* Este nome já foi tomado"
"* This name is available","* Este nome está disponível"
"* Letters only","* Só letras"
"* You must have a firstname and a lastname","* Tem de ter um primeiro e último nome"
"Check this checkbox if you want to add gift messages.","Escolha esta caixa se quiser adicionar mensagens aos presentes."
"Enter a gift message for entire order.","Introduza uma mensagem no presente para todo o pedido."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Pode deixar esta caixa em branco se não quiser adicionar uma mensagem para o pedido."
"From","De"
"To","Para"
"Message","Mensagem"
"Item %d of %d","Item %d de %d"
"Updating information, please wait...","Atualizando informação, por favor espere..."
"General","Geral"
"Enable LightCheckout","Permitir LightCheckout"
"Default Country","País Padrão"
"Default Shipping Method","Método de Envio Padrão"
"Default Payment Method","Método de Pagamento Padrão"
"Page Title","Título da Página"
"Page Content","Conteúdo da Página"
"Enable Different Shipping Address","Permitir Diferentes Endereços de Envio"
"Enable Delivery Date","Permitir Data de Entrega"
"Enable GeoIP for Country","Permitir GeoIP para País"
"Registration","Registro"
"Checkout Mode","Modo Caixa Pagamento"
"Registered and guest customers","Clientes registrados e convidados"
"Only registered customers","Só para clientes registrados"
"Only guest customers","Só para clientes convidados"
"Enable/Disable Fields","Permitir/Não Permitir Campos de Endereço"
"Region","Região"
"Zip/Postcode","Código Postal"
"Newsletter Checkbox","Caixa Newsletter"
"Sort Address Fields","Ordenar Campos de Endereços"
"Company Order","Pedido Empresa"
"Country Order","Pedido País"
"City Order","Pedido Cidade"
"Telephone Order","Pedido Telefone"
"Fax Order","Pedido Fax"
"State/Region Order","Pedido Região"
"Address Order","Pedido Endereço"
"Zip/Postcode Order","Pedido Código Postal"
"Terms & Conditions","Termos & Condições"
"Enable Terms and Conditions","Permitir Termos e Condições"
"Terms and Conditions Text","Texto Termos e condições"
"Popup Width in Pixels","Comprimento em Pixels do Popup"
"Popup Height in Pixels","Altura em Pixels do Popup"
"Enable","Permitir"
"Disable","Não Permitir"
"Required","Obrigatório"
"Optional","Opcional"
"Yes","Sim"
"No","Não"
"Select a billing address","Seleccione o endereço de cobrança"
"Select a shipping address","Seleccione o endereço de envio"
"Buy without VAT (for EU only)","Compre sem IVA (apenas EU)"
"Apply Coupon","Aplicar ticket-desconto"
"Discount codes","Código de Desconto"
"Subtotal","Sub-total"
"Grand Total","Total Final"
"Product Name","Nome do Produto"
"Price","Preço"
"Qty","Qtd"
"Remove item","Elimine Item"
"What is this?","Que é isto?"
"Card Verification Number","Número de verificação do cartão"
"Expiration Date","Data de validade"
"Credit Card Type","Tipo de cartão de crédito"
"Credit Card Number","Número do cartão de crédito"
"Name on Card","Nome do Titular"
"Expiration Date","Data de validade"
"Please select region, state or province","Por favor seleccione concelho, região ou província"
"--Please Select--","--Por favor seleccione--"
"LightCheckout Skin","LightCheckout Skin"
"Allow to change Qty","Permitir mudar quantidade"
"Allow to Remove Item from Checkout","Permitir eliminar item da caixa de verificação"
"Disable Cart","Invalidar cesto de compras"
"Enable Discount Codes","Permitir códigos de desconto"
"Yes, checkbox is checked","Sim, verifiquei caixa de verificação"
"Yes, checkbox is unchecked","Não, caixa de verificação não foi verificada"
"Create an Account checkbox","Crie uma conta para caixa de verificação"
"Available Delivery Days","Dias de entrega disponivéis"
"Available Delivery from, hours","Entrega disponivél de, horas"
"Available Delivery to, hours","Entrega disponivél para, horas"
"Set Interval for Delivery, days","Estabeleça intervalo paraentregas, dias"
