"Billing address","Платёжный адрес"
"Shipping address","Адрес доставки"
"Shipping method","Способ доставки"
"Time of Delivery","Время доставки"
"Payment method","Способ оплаты"
"Order Review","Обзор Заказа"
"First Name","Имя"
"Last Name","Фамилия"
"Email Address","Электронная почта"
"Company","Компания"
"Country","Страна"
"State/Province","Область/Край"
"Zip/Postal","Индекс"
"City","Город"
"Address","Адрес"
"Telephone","Телефон"
"Fax","Факс"
"Tax/VAT number","Идентификационный номер"
"Date of Birth","Дата рождения"
"Gender","Пол"
"Prefix","Префикс"
"M.I.","M.I."
"Suffix","Суффикс"
"MM","месяц"
"DD","день"
"YYYY","год"
"Save in address book","Сохранить в адресной книге"
"Create an Account","Создать аккаунт"
"Password","Пароль"
"Confirm Password","Повтор пароля"
"Ship to this address","Доставить на платёжный адрес"
"Comments","Комментарии"
"Already registered? Please log in here","Зарегистрированы? Нажмите здесь, чтобы Войти"
"Customer Login","Вход Пользователя"
"I accept the <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Terms and Conditions</a>","Я принимаю <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Условия и положения</a>"
"Login","Войти"
"Forgot Your Password?","Забыли пароль?"
"Place Order","Разместить заказ"
"Subscribe to newsletter","Подписаться на новости"
"* This field is required","* Это обязательное поле"
"* Please select an option","* Пожалуйста, выберите значение"
"* This checkbox is required","* Это обязательный чекбокс"
"*Between ","*Между"
" and "," и"
"characters allowed","символы разрешены"
"* Checks allowed Exceeded","* Checks allowed Exceeded"
"* Please select ","* Пожалуйста, выберите"
" options"," значения"
"* Your field is not matching","* Поля не совпадают"
"* Invalid phone number","* Неправильный телефонный номер"
"* Invalid email address","* Неправильный адрес электронной почты"
"* Invalid date, must be in YYYY-MM-DD format","* Неправильная дата. Возможно формат должен быть Год-Месяц-День"
"* Numbers only","* Только числа"
"* This user is available","* Этот пользователь доступен"
"* Loading, please wait","* Загружается, пожалуйста, подождите"
"* This user is already taken","* Этот пользователь уже существует"
"* This name is already taken","* Это имя уже занято"
"* This name is available","* Это имя доступно"
"* Letters only","* Только письма"
"* You must have a firstname and a lastname","* Вы должны ввести имя и фамилию"
"Check this checkbox if you want to add gift messages.","Добавить поздравительное сообщение"
"Enter a gift message for entire order.","Введите поздравительное сообщение для всего заказа."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Вы можете оставить это поле пустым, если не хотите добавлять поздравительное сообщение для всего заказа."
"From","От"
"To","Для"
"Message","Сообщение"
"Item %d of %d","Товар %d из %d"
"Updating information, please wait...","Обновление информации, пожалуйста, подождите..."
"General","Общие"
"Enable LightCheckout","Включить LightCheckout"
"Default Country","Страна по умолчанию"
"Default Shipping Method","Способ доставки по умолчанию"
"Default Payment Method","Способ оплаты по умолчанию"
"Page Title","Название во вкладке"
"Page Content","Содержимое страницы"
"Enable Different Shipping Address","Включить доставку на другие адреса"
"Enable Delivery Date","Включить Дни доставки"
"Enable GeoIP for Country","Включить GeoIP для страны"
"Registration","Регистрация"
"Checkout Mode","Оформление заказа доступно"
"Registered and guest customers","Зарегистрированным пользователям и гостям"
"Only registered customers","Только зарегистрированным пользователям"
"Only guest customers","Только гостям"
"Enable/Disable Fields","Включить/Выключить поля для Адреса"
"Region","Область/Край"
"Zip/Postcode","Индекс"
"Newsletter Checkbox","Подписка на новости"
"Sort Address Fields","Расположение полей в Адресе"
"Company Order","Компания (расположение)"
"Country Order","Страна (расположение)"
"City Order","Город (расположение)"
"Telephone Order","Телефон (расположение)"
"Fax Order","Факс (расположение)"
"State/Region Order","Область/Край (расположение)"
"Address Order","Адрес (расположение)"
"Zip/Postcode Order","Индекс (расположение)"
"Terms & Conditions","Условия и положения"
"Enable Terms and Conditions","Включить Условия и положения"
"Terms and Conditions Text","Текст Условий и положений"
"Popup Width in Pixels","Ширина окна в пикселях"
"Popup Height in Pixels","Высота окна в пикселях"
"Enable","Включено"
"Disable","Выключено"
"Required","Обязательное поле"
"Optional","Необязательное поле"
"Yes","Да"
"No","Нет"
"Select a billing address","Выберите платёжный адрес"
"Select a shipping address","Выберите адрес доставки"
"Buy without VAT (for EU only)","Купить без налога (только для ЕС)"
"Apply Coupon","Применить купон"
"Discount codes","Промо-код скидки"
"Subtotal","Всего"
"Grand Total","Общая сумма"
"Product Name","Название"
"Price","Цена"
"Qty","Кол-во"
"Remove item","Удалить товар"
"What is this?","Что это?"
"Card Verification Number","Проверочный номер карты"
"Expiration Date","Дата истечения срока действия"
"Credit Card Type","Тип кредитной карты"
"Credit Card Number","Номер кредитной карты"
"Name on Card","Имя на карте"
"Expiration Date","Дата истечения срока действия"
"Please select region, state or province","Пожалуйста, выберите регион, штат или провинцию"
"--Please Select--","--Выберите--"
"LightCheckout Skin","Тема LightCheckout"
"Allow to change Qty","Разрешить менять кол-во"
"Allow to Remove Item from Checkout","Разрешить удалять товар"
"Disable Cart","Отключить корзину"
"Enable Discount Codes","Включить промо-коды скидок"
"Yes, checkbox is checked","Да, чекбокс отмечен"
"Yes, checkbox is unchecked","Да, чекбокс не отмечен"
"Create an Account checkbox","Чекбокс для создания аккаунта"
"Available Delivery Days","Доступные дни доставки"
"Available Delivery from, hours","Доставка доступна с, часы"
"Available Delivery to, hours","Доставка доступна до, часы"
"Set Interval for Delivery, days","Установить интервал для доставки, дни"
"Enable GeoIP for Zip/Postcode","Включить GeoIP для индекса"
"Enable GeoIP for City","Включить GeoIP для города"
"Enable Ajax for Country","Включить Ajax для страны"
"Enable Ajax for State/Region","Включить Ajax для штата/региона"
"Enable Ajax for Zip/Postcode","Включить Ajax для индекса"
"Enable Ajax for City","Включить Ajax для города"
"Show Address Book","Показывать Адресную книгу"
"State/Region","Штат/Регион"
"Enable EU VAT Option","Включить опцию налоги для ЕС"
"Base EU Country","Базовая страна ЕС"
"B2C & B2B (Base EU Country)","B2C & B2B (Базовая страна ЕС)"
"B2C & B2B (within EU, not Base EU Country)","B2C & B2B (из ЕС, не Базовая страна ЕС)"
"VAT/Tax Rule","Налоговое правило"
"Show Buy without VAT checkbox","Показывать чекбокс Купить без налога"
"Text under VAT/Tax field","Текст под полем Налоговый номер"
"EU VAT/Tax Settings","Настройки налогов для ЕС"
"Without VAT if VAT Number is Verified","Без налога, если налоговый номер проверен"
"Without VAT","Без налога"
"With VAT","С налогом"
"Yes, checked","Да, отмечен"
"Yes, unchecked","Да, не отмечен"
"Delivery Date","Дни доставки"
"GeoIP Settings","Настройки GeoIP"
"Ajax Settings","Настройки Ajax"
"Yes, before Order Review","Да, перед Обзором заказа"
"Yes, after Order Review","Да, после Обзором заказа"
"Selected Days","Выбранные дни"
"All Days","Все дни"
"Activation","Активация"
"Activation Key","Ключ активации"
"Select Websites","Выберите вебсайт"
"GoMage LightCheckout","GoMage LightCheckout"
"Unchecked","Не отмечен"
"Checked","Отмечен"
"Enable, unchecked","Включен, не отмечен"
"Enable, checked","Включен, отмечен"
"To use GeoIP you need to upload GeoliteCity.dat file to folder /media/geoip. Read more in the <a target=""_blank"" href=""%s"">Installation Guide</a>","Для использования GeoIP вам надо загрузить файл GeoliteCity.dat в папку /media/geoip. Подробнее в <a target=""_blank"" href=""%s"">Инструкции по установке</a>"
"Select Date","Выберите дату"
"Buttons View","Вид кнопок"
"Please enter a valid VAT.","Пожалуйста, введите валидный налоговый номер."
"None","Нет"
"Use Сtrl + left mouse button to select the days","Используйте Сtrl + левая кнопка мышки для выделения дней"
"Please enter a valid key.","Пожалуйста, введите валидный ключ."
"Gift Wrapping","Подарочная упаковка"
