TemplateType=Jewelry	Version=2012.1030	This row for Amazon.com use only.  Do not modify or delete.																																																																		JEWELRY SPECIFIC FIELDS																			NECKLACE		RINGS				EARRINGS	ESTATE	CERTIFICATE INFO																		STONE INFO 1																					STONE INFO 2																					STONE INFO 3																					PEARL INFO																															
TemplateType=Jewelry	Version=1.4	This row for Amazon.com use only. Do not modify or delete.																																																																		JEWELRY SPECIFIC FIELDS																			NECKLACE		RINGS				EARRINGS	ESTATE	CERTIFICATE INFO																		STONE INFO 1																					STONE INFO 2																					STONE INFO 3																					PEARL INFO																															
SKU	ProductName	Manufacturer	MfrModelNumber	ProductType	childage	ItemPrice	Quantity	ItemType	Brand	MainImageURL	Currency	StandardProductID	ProductIDType	BulletPoint1	BulletPoint2	BulletPoint3	BulletPoint4	BulletPoint5	Description	TargetAudience1	TargetAudience2	TargetAudience3	Designer	CountryOfOrigin	LaunchDate	MerchantCatalogNumber	Prop65	CPSIAWarning1	CPSIAWarning2	CPSIAWarning3	CPSIAWarning4	CPSIAWarningDescription	UsedFor1	UsedFor2	UsedFor3	UsedFor4	UsedFor5	OtherItemAttribute1	OtherItemAttribute2	OtherItemAttribute3	OtherItemAttribute4	OtherItemAttribute5	SubjectContent1	SubjectContent2	SubjectContent3	SubjectContent4	SubjectContent5	SearchTerms1	SearchTerms2	SearchTerms3	SearchTerms4	SearchTerms5	ParentSKU	RelationshipType	VariationTheme	SwatchImageURL	OtherImageURL1	OtherImageURL2	OtherImageURL3	OtherImageURL4	OtherImageURL5	OtherImageURL6	OtherImageURL7	OtherImageURL8	ShippingWeight	ShippingWeightUnitOfMeasure	ProductTaxCode	DimensionUnitOfMeasure	Diameter	Height	Width	Length	TotalMetalWeight	MetalWeightUnitOfMeasure	TotalDiamondWeight	TotalDiamondWeightUnitOfMeasure	TotalGemWeight	TotalGemWeightUnitOfMeasure	Material1	Material2	Material3	Material4	MetalType	MetalStamp	SettingType	NumberOfStones	ClaspType	ChainType	RingSize	ReSizable	SizingLowerRange	SizingUpperRange	BackFinding	EstatePeriod	CertificateNumber1	CertificateNumber2	CertificateNumber3	CertificateNumber4	CertificateNumber5	CertificateNumber6	CertificateNumber7	CertificateNumber8	CertificateNumber9	CertificateType1	CertificateType2	CertificateType3	CertificateType4	CertificateType5	CertificateType6	CertificateType7	CertificateType8	CertificateType9	GemType1	StoneCut1	StoneColor1	StoneClarity1	StoneShape1	StoneCreationMethod1	StoneTreatmentMethod1	StoneDimensionUnitOfMeasure1	StoneHeight1	StoneLength1	StoneWidth1	StoneWeight1	LabCreated1	Inscription1	StoneDepthPercentage1	StoneTablePercentage1	StoneSymmetry1	StonePolish1	StoneGirdle1	StoneCulet1	StoneFluorescence1	GemType2	StoneCut2	StoneColor2	StoneClarity2	StoneShape2	StoneCreationMethod2	StoneTreatmentMethod2	StoneDimensionUnitOfMeasure2	StoneHeight2	StoneLength2	StoneWidth2	StoneWeight2	LabCreated2	Inscription2	StoneDepthPercentage2	StoneTablePercentage2	StoneSymmetry2	StonePolish2	StoneGirdle2	StoneCulet2	StoneFluorescence2	GemType3	StoneCut3	StoneColor3	StoneClarity3	StoneShape3	StoneCreationMethod3	StoneTreatmentMethod3	StoneDimensionUnitOfMeasure3	StoneHeight3	StoneLength3	StoneWidth3	StoneWeight3	LabCreated3	Inscription3	StoneDepthPercentage3	StoneTablePercentage3	StoneSymmetry3	StonePolish3	StoneGirdle3	StoneCulet3	StoneFluorescence3	PearlType	Color	StyleName	PearlMinimumColor	PearlLustre	PearlShape	PearlUniformity	PearlSurfaceMarkingsAndBlemishes	NacreThickness	PearlStringingMethod	SizePerPearl	NumberOfPearls	MSRP	SalesPrice	FulfillmentCenterID	SaleStartDate	SaleEndDate	ReleaseDate	ItemPackageQuantity	leadtime-to-ship	RestockDate	MaxAggregateShipQuantity	IsGiftMessageAvailable	IsGiftWrapAvailable	IsDiscontinuedByManufacturer	RegisteredParameter	PlatinumKeywords1	PlatinumKeywords2	PlatinumKeywords3	PlatinumKeywords4	PlatinumKeywords5	UpdateDelete
14827	 14K  White  Solid  Gold  Mens  Diamond  Tennis  Chain  Necklace  27.50  Ctw 	 Avianne  &  Co 	14827	FineNecklaceBraceletAnklet	child	55794	100	chain-necklaces	 Avianne  &  Co 	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/4/14827-1_1.jpg	USD								 This  beautiful  mens  diamond  tennis  chain  necklace  is  crafted  in  astonishing  14K  White  Gold.  The  frame  is  prong  set  with  numerous  round  cut  diamonds  which  total  to  27.5  carats.  This  finely  detailed  mens  diamond  chain  securely  locks  with  a  slide  in  clasp  and  one  safety  latch.    Note:  The  pendant  is  for  illustration  purposes  only  and  may  be  purchased  separately. 																																						http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/4/14827-2.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/4/14827-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/4/14827-4.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/4/14827-1_1.jpg								MM			3	737	78	GR	27.5	CARATS							White-gold	 14K    	 Prong   																																																																																																																										
15829	 10K  White  Solid  Gold  Mens  Diamond  Rosary  Chain  12.49  Ctw 	 Avianne  &  Co 	15829	FineNecklaceBraceletAnklet	child	17191	100	chain-necklaces	 Avianne  &  Co 	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/5/15829-14.jpg	USD								 This  finely  detailed  mens  diamond  rosary  chain  is  crafted  in  highly  polished  10  K  White  Gold.  The  chain  is  32  inches  and  is  prong  and  bezel  set  with  round  cut  diamonds.  The  cross  is  prong  set  with  small  round  cut  diamonds  and  measures  to  2  inches  in  length  and  1  1/4  inches  in  width.  The  total  length  of  the  rosary  is  44  Inches.  This  diamond  rosary  securely  locks  with  a  slide  in  clasp  and  one  safety  latch. 																																						http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/5/15829-13.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/5/15829-12.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/5/15829-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/5/15829-11.jpg								MM			3	813	66.4	GR	12.49	CARATS							White-gold	 10K    	" Prong,  Bezel   "																																																																																																																										
15806	 10K  White  Solid  Gold  Mens  Diamond  Rosary  Chain  16.13  Ctw 	 Avianne  &  Co 	15806	FineNecklaceBraceletAnklet	child	18609	100	chain-necklaces	 Avianne  &  Co 	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/5/15806-6.jpg	USD								 This  finely  detailed  mens  diamond  rosary  chain    is  crafted  in  highly  polished  10K  White  Gold.  The  chain  is  32  inches  and  is  prong  and  bezel  set  with  round  cut  diamonds.  The  cross  is  prong  set  with  small  round  cut  diamonds  and  measures  to  1  1/2    inches  in  length  and  1    inches  in  width.  The  total  length  of  the  rosary  is  44  Inches.  This  diamond  rosary  securely  locks  with  a  slide  in  clasp  and  one  safety  latch. 																																						http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/5/15829-4_1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/5/15829-2_1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/5/15829-3_1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/5/15829-1_1.jpg								MM			3	813	66.4	GR	16.13	CARATS							White-gold	 10K    	" Prong,  Bezel   "																																																																																																																										
15087	 14K  Yellow  Solid  Gold  Mens  Diamond  Tennis  Chain  Necklace  with  Yellow  Diamonds  11.90  Ctw 	 Avianne  &  Co 	15087	FineNecklaceBraceletAnklet	child	20473	100	chain-necklaces	 Avianne  &  Co 	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/5/15087-3.jpg	USD								" This  one  of  a  kind  mens  diamond  tennis  chain  is  crafted  in  astonishing  14K  Yellow  Gold.  Brilliant  round  cut  yellow  diamonds  are  prong  set  across  the  26  1/2  Inch  frame.  For  secure  feel  and  wear,  this  exclusive  mens  diamond  chain  locks  with  a  druable  slide  in  closure  with  one  safety  clasp  from  the  side.    Note:  The  pendant  is  for  illustration  purposes  only  and  may  be  purchased  separately. "																																						http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/5/15087-2.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/5/15087-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/5/15087-4.jpg									MM			3	673	49.5	GR	11.9	CARATS							Yellow-Gold	 14K    	 Prong   																																																																																																																										
15145	 14K  White  Solid  Gold  Mens  Diamond  Rosary  Chain  10.00  Ctw 	 Avianne  &  Co 	15145	FineNecklaceBraceletAnklet	child	15328	100	chain-necklaces	 Avianne  &  Co 	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/5/15145-7.jpg	USD								 This  finely  detailed  mens  diamond  rosary  chain  is  crafted  in  highly  polished  14K  White  Gold.  The  33  Inch  long  chain  features  small  round  cut  diamonds  which  are  placed  on  bezel  settings.  The  chain  also  features  two  crosses  which  are  pave  set  with  small  round  cut  diamonds.  The  total  length  of  the  rosary  is  44  Inches  long. 																																						http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/5/15145-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/5/15145-2.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/5/15145-3.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/5/15145-4.jpg								MM				838	71	GR	10	CARATS							White-gold	 14K    	" Bezel,  Pave,  Channel   "																																																																																																																										
N4407	 14K  White  Solid  Gold  Womens  Diamond  Choker  Necklace  Chain  1.25  Ctw 	 Avianne  &  Co 	N4407	FineNecklaceBraceletAnklet	child	4395	100	chain-necklaces	 Avianne  &  Co 	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/4/n4407-1_1.jpg	USD								" This  exquisite  womens  diamond  chocker  chain  is  crafted  in  highly  polished  14K  White  Gold.  Brilliant  small  round  cut  diamonds  are  prong  half  way  across  the  frame,  which  weighs  approximately  31.1  grams.  Securely  locking  with  a  hidden  clasp  and  one  safety  latch,  this  exclusive  womens  diamond  chain  is  an  ideal  accessory  for  a  special  night  out. "																																						http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/n/4/n4407-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/n/4/n4407-1_1.jpg										MM				406	31.1	GR	1.25	CARATS							White-gold	 14K    	 Prong   																																																																																																																										
CH4514	 14K  White  Solid  Gold  Mens  Diamond  Chain  Necklace  12.00  Ctw 	 Avianne  &  Co 	CH4514	FineNecklaceBraceletAnklet	child	20356	100	chain-necklaces	 Avianne  &  Co 	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/h/ch4514-1.jpg	USD								" This  exquisite  mens  diamond  chain  necklace  is  crafted  in  14K  White  Gold.  Small  round  cut  diamonds  are  bezel  set  across  the  32  Inch  frame  which  securely  locks  with  a  hidden  clasp  and  one  safety  latch.  Weighing  approximately  93  grams,  this  exclusive  mens  diamond  chain  is  an  ideal  addition  to  your  diamond  collection. "																																						http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/c/h/ch4514-2.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/c/h/ch4514-4.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/c/h/ch4514-3.jpg									MM			6.3	812	93.5	GR	12	CARATS							White-gold	 14K    	 Bezel   																																																																																																																										
16046	 10K  Yellow  Solid  Gold  Mens  Diamond  Rosary  Chain  22.28  Ctw 	 Avianne  &  Co 	16046	FineNecklaceBraceletAnklet	child	24083	100	chain-necklaces	 Avianne  &  Co 	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/6/16046-1.jpg	USD								 This  finely  detailed  mens  diamond  rosary  chain  is  crafted  in  10K  Yellow  Gold.  Round  cut  yellow  diamonds  are  prong  and  bezel  set  across  the  30  Inch  chain.  The  drop  length  measures  to  approximately  7  Inches  and  features  round  cut  pendant  with  carved  out  jesus  on  it    and  a  cross  which  meausres  to  1  3/4  Inches  in  length  and  1  Inch  in  width.  The  chain  holding  the  cross  and  the  cross  itself  are  both  prong  set  with  brillant  round  cut  yellow  diamonds.  This  exquisite  mens  diamond  rosary  is  an  ideal  accessory  for  an  every  day  wear. 																																						http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/6/16046-2.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/1/6/16046-3.jpg										MM				762	84	GR	22.28	CARATS							Yellow-Gold	 10K    	" Bezel,  Prong   "																																																																																																																										
N6	 14K  Yellow  Solid  Gold  Womens  Diamond  Chain  1.25  Ctw 	 Avianne  &  Co 	N6	FineNecklaceBraceletAnklet	child	1315	100	chain-necklaces	 Avianne  &  Co 	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/6/n6-1_2.jpg	USD								 This  lovely  womens  diamond  chain  is  crafted  in  highly  polished  14K  Yellow  Gold.  Five  round  cut  diamonds  are  bezel  set  across  the  17  Inch  frame.  This  charming  womens  diamond  chain  securely  locks  with  a  slide  in  clasp  and  weighs  approximately  10  grams. 																																						http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/n/6/n6-1.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/i/m/im-111.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/n/6/n6-1_2.jpg									MM			3	431	9.8	GR	1.25	CARATS							Yellow-Gold	 14K    	 Bezel   																																																																																																																										
CH7745	 14K  White  Solid  Gold  Mens  Diamond  Tennis  Chain  10.50  Ctw 	 Avianne  &  Co 	CH7745	FineNecklaceBraceletAnklet	child	18176	100	chain-necklaces	 Avianne  &  Co 	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/h/ch7745-1.jpg	USD								 This  one  of  a  kind  mens  diamond  chain  necklace  is  crafted  in  14K  White  Gold.  The  34  Inch  frame  is  prong  set  with  small  brilliant  round  cut  diamonds  which  total  to  10.50  carats.  This  alluring  mens  diamond  chain  securely  locks  with  a  slide  in  hidden  clasp  and  one  safety  latch  from  the  bottom. 																																						http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/c/h/ch7745-2.jpg	http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/c/h/ch7745-3.jpg										MM			4.5	864	57	GR	10.5	CARATS							White-gold	 14K    	 Prong   																																																																																																																										
