TemplateType=Jewelry,Version=1.4,This row for Amazon.com use only. Do not modify or delete.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JEWELRY SPECIFIC FIELDS,,,,,,,,,,,,,,,,,,,NECKLACE,,RINGS,,,,EARRINGS,ESTATE,CERTIFICATE INFO,,,,,,,,,,,,,,,,,,STONEINFO1,,,,,,,,,,,,,,,,,,,,,STONE INFO 2,,,,,,,,,,,,,,,,,,,,,STONE INFO 3,,,,,,,,,,,,,,,,,,,,,PEARL INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU,ProductName,Manufacturer,MfrModelNumber,ProductType,Parentage,ItemPrice,Quantity,ItemType,Brand,MainImageURL,Currency,StandardProductID,ProductIDType,BulletPoint1,BulletPoint2,BulletPoint3,BulletPoint4,BulletPoint5,Description,TargetAudience1,TargetAudience2,TargetAudience3,Designer,CountryOfOrigin,LaunchDate,MerchantCatalogNumber,Prop65,CPSIAWarning1,CPSIAWarning2,CPSIAWarning3,CPSIAWarning4,CPSIAWarningDescription,UsedFor1,UsedFor2,UsedFor3,UsedFor4,UsedFor5,OtherItemAttribute1,OtherItemAttribute2,OtherItemAttribute3,OtherItemAttribute4,OtherItemAttribute5,SubjectContent1,SubjectContent2,SubjectContent3,SubjectContent4,SubjectContent5,SearchTerms1,SearchTerms2,SearchTerms3,SearchTerms4,SearchTerms5,ParentSKU,RelationshipType,VariationTheme,SwatchImageURL,OtherImageURL1,OtherImageURL2,OtherImageURL3,OtherImageURL4,OtherImageURL5,OtherImageURL6,OtherImageURL7,OtherImageURL8,ShippingWeight,ShippingWeightUnitOfMeasure,ProductTaxCode,DimensionUnitOfMeasure,Diameter,Height,Width,Length,TotalMetalWeight,MetalWeightUnitOfMeasure,TotalDiamondWeight,TotalDiamondWeightUnitOfMeasure,TotalGemWeight,TotalGemWeightUnitOfMeasure,Material1,Material2,Material3,Material4,MetalType,MetalStamp,SettingType,NumberOfStones,ClaspType,ChainType,RingSize,ReSizable,SizingLowerRange,SizingUpperRange,BackFinding,EstatePeriod,CertificateNumber1,CertificateNumber2,CertificateNumber3,CertificateNumber4,CertificateNumber5,CertificateNumber6,CertificateNumber7,CertificateNumber8,CertificateNumber9,CertificateType1,CertificateType2,CertificateType3,CertificateType4,CertificateType5,CertificateType6,CertificateType7,CertificateType8,CertificateType9,GemType1,StoneCut1,StoneColor1,StoneClarity1,StoneShape1,StoneCreationMethod1,StoneTreatmentMethod1,StoneDimensionUnitOfMeasure1,StoneHeight1,StoneLength1,StoneWidth1,StoneWeight1,LabCreated1,Inscription1,StoneDepthPercentage1,StoneTablePercentage1,StoneSymmetry1,StonePolish1,StoneGirdle1,StoneCulet1,StoneFluorescence1,GemType2,StoneCut2,StoneColor2,StoneClarity2,StoneShape2,StoneCreationMethod2,StoneTreatmentMethod2,StoneDimensionUnitOfMeasure2,StoneHeight2,StoneLength2,StoneWidth2,StoneWeight2,LabCreated2,Inscription2,StoneDepthPercentage2,StoneTablePercentage2,StoneSymmetry2,StonePolish2,StoneGirdle2,StoneCulet2,StoneFluorescence2,GemType3,StoneCut3,StoneColor3,StoneClarity3,StoneShape3,StoneCreationMethod3,StoneTreatmentMethod3,StoneDimensionUnitOfMeasure3,StoneHeight3,StoneLength3,StoneWidth3,StoneWeight3,LabCreated3,Inscription3,StoneDepthPercentage3,StoneTablePercentage3,StoneSymmetry3,StonePolish3,StoneGirdle3,StoneCulet3,StoneFluorescence3,PearlType,Color,StyleName,PearlMinimumColor,PearlLustre,PearlShape,PearlUniformity,PearlSurfaceMarkingsAndBlemishes,NacreThickness,PearlStringingMethod,SizePerPearl,NumberOfPearls,MSRP,SalesPrice,FulfillmentCenterID,SaleStartDate,SaleEndDate,ReleaseDate,ItemPackageQuantity,leadtime-to-ship,RestockDate,MaxAggregateShipQuantity,IsGiftMessageAvailable,IsGiftWrapAvailable,IsDiscontinuedByManufacturer,RegisteredParameter,PlatinumKeywords1,PlatinumKeywords2,PlatinumKeywords3,PlatinumKeywords4,PlatinumKeywords5,UpdateDelete
RM297,14K Gold Black Rhodium Plated Mens Diamond Ring 1.79 Ctw,Avianne & Co,RM297,FineRing,child,2741,2,right-hand-rings,Avianne & Co,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/m/rm297-1.jpg,,,,Most rings can be re-sized to any size from 4-15. Please send us a message to inquire about sizing. ,,,,,"This one of a kind men's diamond ring features four dazzling princess cut diamonds invisibly set in the center of the ring. Four corners of the center piece have brilliant round cut diamonds on a bezel setting. The center measures to 1/2 inch in width. The 14K gold black rhodium plated band also features round cut diamonds, pave set on the left and right side of the ring, as well as the back and front, for a total carat weight of 1.79 carats.",,,,Avianne & Co,US,,,,,,,,,christmas,wedding,fathers-day,valentines-day,,,,,,,christmas,wedding,fathers-day,valentines-day,,14K,,Gold,,Black,,,RingSize,,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/R/M/RM297_2.jpg,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/i/m/im-1_261.jpg,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/m/rm297-1.jpg,,,,,,,,,mm,,,12,,12,Grams,1.79,CARATS,,CARATS,,,,,white-gold,14K,Bezel and Pave and Invisible ,,,,,TRUE,4,15,,,,,,,,,,,,Appraisal Certificate,,,,,,,,,,,G - H,SI2 - SI3,Princess - Round ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,
R298W,14K White Gold Mens Diamond Ring 1.82 Ctw,Avianne & Co,R298W,FineRing,child,3175,1,right-hand-rings,Avianne & Co,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/m/rm298wy-1_1.jpg,,,,Most rings can be re-sized to any size from 4-15. Please send us a message to inquire about sizing. ,,,,,"Crafted in 14K white gold, this mens diamond ring has a beautiful and sophisticated appearance. The center piece features invisibly set four princess cut diamonds with two bezel set round cut diamonds on opposite sides. Aside from the center piece which measures approximately 3/8 inches, the band is highlighted by a number of pave set round cut diamonds.",,,,Avianne & Co,US,,,,,,,,,christmas,wedding,fathers-day,valentines-day,,,,,,,christmas,wedding,fathers-day,valentines-day,,14K,,White,,Gold,,,RingSize,,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/R/2/R298W_2_1.JPG,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/i/m/im-1_281.jpg,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/m/rm298wy-1_1.jpg,,,,,,,,,mm,,,10,,12,Grams,1.82,CARATS,,CARATS,,,,,White-gold,14K,Pave and Invisible and Bezel,,,,,TRUE,4,15,,,,,,,,,,,,Appraisal Certificate,,,,,,,,,,,H,VS1,Princess - Round ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,
R5719,14K White Gold Mens Diamond Ring 1.38 Ctw,Avianne & Co,R5719,FineRing,child,2516,1,right-hand-rings,Avianne & Co,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/5/r5719-1.jpg,,,,Most rings can be re-sized to any size from 4-15. Please send us a message to inquire about sizing. ,,,,,Simple and elegant in design this mens diamond ring is crafted in 14K white gold. It features invisibly set princess cut diamonds in a framed center piece and on two opposite sides of the band. The centerpiece is highlighted with additional round cut channel set stones. G/H in color and SI1/SI2 in clarity these precious stones contribute to a glimmering appearance of this band.,,,,Avianne & Co,US,,,,,,,,,christmas,wedding,fathers-day,valentines-day,,,,,,,christmas,wedding,fathers-day,valentines-day,,14K,,White,,Gold,,,RingSize,,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/R/5/R5719_2.JPG,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/R/5/R5719_3.JPG,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/5/r5719-1.jpg,,,,,,,,,mm,,,24,,11.5,Grams,1.38,CARATS,,CARATS,,,,,White-gold,14K,Invisible and Channel ,,,,,TRUE,4,15,,,,,,,,,,,,Appraisal Certificate,,,,,,,,,,,G - H,SI1 - SI2,Princess - Round ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,
RG0176,14K White Gold Mens Diamond Ring 3.05 Ctw,Avianne & Co,RG0176,FineRing,child,4488,1,right-hand-rings,Avianne & Co,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/g/rg0176-1.jpg,,,,Most rings can be re-sized to any size from 4-15. Please send us a message to inquire about sizing. ,,,,,This masculine and stylish mens ring is crafted in 14K highly polished white gold. The center piece is highlighted with invisibly set princess cut diamonds. The upper side of the centerpiece and two opposite sides of the band are highlighted with carefully placed sparkling baguette stones.,,,,Avianne & Co,US,,,,,,,,,christmas,wedding,fathers-day,valentines-day,,,,,,,christmas,wedding,fathers-day,valentines-day,,14K,,White,,Gold,,,RingSize,,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/R/G/RG0176_3.JPG,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/R/G/RG0176_2.JPG,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/i/m/im-1_200_1.jpg,,,,,,,,,mm,,,16,,22,Grams,3.05,CARATS,,CARATS,,,,,White-gold,14K,Invisible ,,,,,TRUE,4,15,,,,,,,,,,,,Appraisal Certificate,,,,,,,,,,,G - H,SI1 - SI3,Baguette - Princess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,
R3460,14K White Gold Mens Diamond Pinky Ring 1.50 Ctw,Avianne & Co,R3460,FineRing,child,2625,100,right-hand-rings,Avianne & Co,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/3/r3460-1.jpg,,,,Most rings can be re-sized to any size from 4-15. Please send us a message to inquire about sizing. ,,,,,This exquisite mens diamond pinky ring is crafted in highly polished 14K white gold. Rows of pave set round cut diamonds contribute to the rings brilliant appearance. These G/H colored stones come to a total carat weight of 1.50 Ctw.,,,,Avianne & Co,US,,,,,,,,,christmas,wedding,fathers-day,valentines-day,,,,,,,christmas,wedding,fathers-day,valentines-day,,14K,,White,,Gold,,,RingSize,,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/R/3/R3460_1.JPG,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/R/3/R3460_3.JPG,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/3/r3460-1.jpg,,,,,,,,,mm,,,20,,10,Grams,1.5,CARATS,,CARATS,,,,,White-gold,14K,Pave,,,,,TRUE,4,15,,,,,,,,,,,,Appraisal Certificate,,,,,,,,,,,G - H,SI1 - SI2,Round ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,TRUE,,,,,,,,
R024,14K White Gold Mens Blue and Yellow Diamond Ring 5.16 Ctw,Avianne & Co,R024,FineRing,child,6608,2,right-hand-rings,Avianne & Co,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/0/r024-1_1.jpg,,,,Most rings can be re-sized to any size from 4-15. Please send us a message to inquire about sizing. ,,,,,"The delightful design of the featured ring is simple and elegant, crafted in 14K white gold. Three rows of nine blue in color, VS1/VS2 in clarity princess cut diamonds are invisible set in the center of the design. Two rows of nine princess cut diamonds G/H in color, VS1/VS2 in clarity are invisible set on both sides of the blue diamonds. Also featuring yellow in color VS1/VS2 in clarity diamonds are invisibly set on the left and right side of this center piece.. This exclusive design also features, channel set round cut diamonds that go all the way around the center piece, as well as three princess cut diamonds are invisible set on four sides of the ring. The total carat weight of this ring is 5.16 carats, and the total weight of the ring is 17 grams.",,,,Avianne & Co,US,,,,,,,,,christmas,wedding,fathers-day,valentines-day,,,,,,,christmas,wedding,fathers-day,valentines-day,,14K,,White,,Gold,,,RingSize,,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/R/0/R024_2.JPG,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/R/0/R024_3.JPG,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/0/r024-1.jpg,,,,,,,,,mm,,,25,,17,Grams,5.16,CARATS,,CARATS,,,,,White-gold,14K,Invisible and Channel ,,,,,TRUE,4,15,,,,,,,,,,,,Appraisal Certificate,,,,,,,,,,,G - H,VS1 - VS2,Princess - Round ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,
R058,14K White Gold Womens Five Stone Diamond Anniversary Ring 0.34 Ctw,Avianne & Co,R058,FineRing,child,504,5,anniversary-rings,Avianne & Co,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/0/r058-1_2.jpg,,,,Most rings can be re-sized to any size from 4-15. Please send us a message to inquire about sizing. ,,,,,This 14K White Gold Diamond Anniversary Ring is shining with simplicity and elegance. The channel setting features five sparkling round cut diamonds. This band could be an ideal wedding or an anniversary gift.,,,,Avianne & Co,US,,,,,,,,,engagement,valentines day,christmas,wedding,,,,,,,engagement,valentines day,christmas,wedding,,14K,,White,,Gold,,,RingSize,,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/R/0/R058_1.JPG,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/0/r058-1.jpg,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/0/r058-1_2.jpg,,,,,,,,,mm,,,,,3.5,Grams,0.34,CARATS,,CARATS,,,,,White-gold,14K,Channel,,,,,TRUE,4,15,,,,,,,,,,,,Appraisal Certificate,,,,,,,,,,,H - I,SI1 - SI2 - SI3,Round ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,
R6086,14K White Gold Mens Diamond Ring 1.25 Ctw,Avianne & Co,R6086,FineRing,child,2925,1,right-hand-rings,Avianne & Co,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/6/r6086-1_1.jpg,,,,Most rings can be re-sized to any size from 4-15. Please send us a message to inquire about sizing. ,,,,,"Unique in style, this mens diamond ring is crafted in 14K white gold. Dazzling princess cut , G/H in color and SI1/SI2 in clarity, diamonds are invisibly set in the solid gold frame. The round cut diamonds are channel set, with the total carat weight of 1.25 carats of sparkling diamonds. The width of this featured ring is 1 inch (26mm) and the total weight is approximately 18 grams.",,,,Avianne & Co,US,,,,,,,,,christmas,wedding,fathers-day,valentines-day,,,,,,,christmas,wedding,fathers-day,valentines-day,,14K,,White,,Gold,,,RingSize,,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/R/6/R6086_2.JPG,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/R/6/R6086_3.JPG,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/6/r6086-1.jpg,,,,,,,,,mm,,,25,,18,Grams,1.25,CARATS,,CARATS,,,,,White-gold,14K,Invisible and Channel ,,,,,TRUE,4,15,,,,,,,,,,,,Appraisal Certificate,,,,,,,,,,,H - I,SI1 - SI2,Princess - Round ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,
RM300,14K White Gold Colored Diamond Engagement Ring 2.27 ctw,Avianne & Co,RM300,FineRing,child,2493,4,engagement-rings,Avianne & Co,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/m/rm300-1.jpg,,,,Most rings can be re-sized to any size from 4-15. Please send us a message to inquire about sizing. ,,,,,"Very unique and delicate looking, this diamond engagement ring is sure to catch attention. Crafted in highly polished 14k gold and decorated with 2.27 carats of dazzling blue, yellow, and white princess and round cut diamonds.",,,,Avianne & Co,US,,,,,,,,,christmas,wedding,fathers-day,valentines-day,,,,,,,christmas,wedding,fathers-day,valentines-day,,14K,,White,,Gold,,,RingSize,,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/R/M/RM300_1.jpg,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/R/M/RM300_3.jpg,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/m/rm300-1.jpg,,,,,,,,,mm,,,16.4,,11.8,Grams,2.27,CARATS,,CARATS,,,,,White-gold,14K,Invisible and Pave,,,,,TRUE,4,15,,,,,,,,,,,,Appraisal Certificate,,,,,,,,,,,Enhanced Blue - Enhanced Yellow - G - H,SI1 - SI2,Princess - Round ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,
R046,14K White Gold Mens Blue Diamond Ring 2.25 Ctw,Avianne & Co,R046,FineRing,child,3774,1,right-hand-rings,Avianne & Co,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/0/r046-1.jpg,,,,Most rings can be re-sized to any size from 4-15. Please send us a message to inquire about sizing. ,,,,,"Crafted in white gold, this checker pattern ring features brilliant princess and round cut diamonds in the center. The checker patter design is highlighted with a number of round cut diamonds around it. Very unique in design, this is an ideal mens ring which shines with fashion and beauty.",,,,Avianne & Co,US,,,,,,,,,christmas,wedding,fathers-day,valentines-day,,,,,,,christmas,wedding,fathers-day,valentines-day,,14K,,White,,Gold,,,RingSize,,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/R/0/R046_1.JPG,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/R/0/R046_3.JPG,http://d3p1jc4qwvxcf2.cloudfront.net/media/catalog/product/r/0/r046-1.jpg,,,,,,,,,mm,,,17.9,,16,Grams,2.25,CARATS,,CARATS,,,,,White-gold,14K,Invisible and Pave,,,,,TRUE,4,15,,,,,,,,,,,,Appraisal Certificate,,,,,,,,,,,Enhanced Blue - G - H,SI1 - SI2,Princess - Round ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,
