sku,title,price,quantity,image1,image2,ring_size,weight,width,length,metal_type,metal_color,gemstone_type,gemstone_color,gemstone_weight,gemstone_shape,diamond_color,diamond_clarity,diamond_carat_weight,diamond_shape,center_diamond_weight,center_diamond_clarity,center_diamond_color,center_diamond_cut,description,category
RSC6536S,"Created Sapphire Diamond Gemstone Ring in White Gold",279,178,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/s/rsc6536sa.jpg,http://www.povada.com/media/catalog/product/r/s/rsc6536sb.jpg,"7 (Resizable between size 6-8)","3.4 grams","0.45 inches",,"10K Gold",White,"Created Sapphire",Blue,4.77ct,Heart,I/K,I2/I3,0.20ct,Round,,,,,"This ring makes a stunning addition to any jewelry collection! Handcrafted in 10k white gold, this ring features a highly polished frame covered in brilliant round cut diamonds surrounding the central gemstone. The stone featured in this ring is an alluring heart cut lab created sapphire securely set in a 3 prong setting. The color of the diamonds are H/I and the clarity is SI2/SI3.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Sapphire Rings"
GR1499,"Blue Topaz and Diamond Large Gemstone Ring in White Gold",294,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/r/gr1499a.jpg,http://www.povada.com/media/catalog/product/g/r/gr1499b.jpg,"7 (Resizable between size 6-8)","6 grams","0.61 inches",,"14K Gold",White,"Blue Topaz",Blue,"8.89 ct",Oval,H/I,SI1/I2,0.10ct,Round,,,,,"A dazzlingly large cushion shaped blue topaz gemstone is surrounded by 16 round diamonds in this unique 14k white gold ring. Four of the sparkly diamonds dangle on each side to give a charm-like effect. The diamonds have H/I color and SI1/I2 clarity, with a total diamond weight of .10ct.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Blue Topaz Rings"
SR22270,"Solitaire Cushion Cut Lemon Quartz and Diamond Large Gemstone Ring in White Gold",363,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/r/sr22270a.jpg,http://www.povada.com/media/catalog/product/s/r/sr22270b.jpg,"6.5 (Resizable between size 5.5-7.5)","6 grams","0.53 inches",,"14K Gold",White,"Lemon Quartz",Yellow,"12.58 ct",Cushion,H/I,SI2/I1,"0.15 ct",Round,,,,,"A gorgeous cushion shaped lemon quartz gemstone is accented by 20 round prong set diamonds in this 14K white gold ring. The lemon quartz has an impressive total carat weight of 12.58ct. The diamonds have H/I color and SI2/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Large Gemstone Rings"
S17080,"Peridot and Diamond Unique Gemstone Ring in White Gold",426,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/1/s17080a.jpg,http://www.povada.com/media/catalog/product/s/1/s17080b.jpg,"7 (Resizable between size 6-8)","8 grams","0.8 inches",,"14K Gold",White,Peridot,Green,"7.29 ct",Oval,G/H,SI1,"0.09 ct",Round,,,,,"Four oval shaped peridots lay under a criss cross of 27 round brilliant diamonds to create a unique and one of a kind ring. The peridots and diamonds criss cross each other to give a crown-like effect. This ring was handcrafted in 14K white gold.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Unique Gemstone Rings"
GR2073C,"Citrine and Diamond Unique Gemstone Ring in White Gold",392,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/r/gr2073ca.jpg,http://www.povada.com/media/catalog/product/g/r/gr2073cb.jpg,"7 (Resizable between size 6-8)","6 grams","0.48 inches",,"14K Gold",White,Citrine,Orange,6.99ct,Oval,H/I,SI2/I1,"0.12 ct",Round,,,,,"This stylish oval shaped citrine gemstone sits atop a 14K white gold unique gemstone ring. The band design consists of impressive scroll work and features 24 round brilliant diamonds. The diamonds have H/I color and SI2/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Unique Gemstone Rings"
RSC8575,"Solitaire Princess Cut Green Amethyst and Diamond Large Gemstone Ring in Yellow Gold",688,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/s/rsc8575a.jpg,http://www.povada.com/media/catalog/product/r/s/rsc8575b.jpg,"7 (Resizable between size 6-8)","12 grams","0.56 inches",,"14K Gold",Yellow,"Green Amethyst",Green,4.73ct,Princess,G/H,SI1,"0.11 ct",Round,,,,,"One of a kind 14K yellow gold ring features a princess shaped green amethyst gemstone surrounded by intricate designs on the band. The prong set gemstone is surrounded by 34 round brilliant diamonds. There are also two bezel set diamonds on each side of the band.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Large Gemstone Rings"
S17589L,"Round Cut Lemon Quartz and Diamond Gemstone Ring in Yellow Gold",272,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/1/s17589la.jpg,http://www.povada.com/media/catalog/product/s/1/s17589lb.jpg,"7 (Resizable between size 6-8)","5 grams","0.67 inches",,"14K Gold",Yellow,"Lemon Quartz",Yellow,3.91ct,"Round Checkerboard",H/I,SI2/I1,"0.08 ct",Round,,,,,"A radiant round shaped prong set lemon quartz gemstone sits atop this handcrafted 14k yellow gold band. The gemstone is accented by 20 round sparkly diamonds. The prong set diamonds have H/I color and SI2/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Large Gemstone Rings"
RSC8350,"Lemon Quartz and Diamond Large Gemstone Ring in White Gold",598,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/s/rsc8350a.jpg,http://www.povada.com/media/catalog/product/r/s/rsc8350b.jpg,"7 (Resizable between size 6-8)","10 grams","0.66 inches",,"14K Gold",White,"Lemon Quartz",Yellow,6.05ct,"Oval Checkerboard",H/I,SI2/I1,"0.15 ct",Round,,,,,"This gorgeous ring features an oval shaped bezel set large lemon quartz gemstone. The gemstone is beautifully accented by 36 round brilliant diamonds. The prong set diamonds have H/I color and SI2/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Large Gemstone Rings"
RSC8579,"Blue Topaz and Diamond Large Gemstone Ring in White Gold",639,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/s/rsc8579a.jpg,http://www.povada.com/media/catalog/product/r/s/rsc8579b.jpg,"7 (Resizable between size 6-8)","9 grams","0.49 inches",,"14K Gold",White,"Blue Topaz",Blue,11.27ct,Cushion,H/I,SI2/I1,"0.12 ct",Round,,,,,"This cushion shaped prong set large blue topaz gemstone sits beautifully in this handcrafted 14k white gold band. The corners of the blue topaz are accentuated by prong set round diamonds to give a dash of sparkle. The diamonds have H/I color and SI2/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Large Gemstone Rings"
S45665,"Solitaire Pear Cut Smoky Quartz and Diamond Gemstone Ring in Yellow Gold",451,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/4/s45665a.jpg,,"7 (Resizable between size 6-8)","7 grams","0.22 inches",,"14K Gold",Yellow,"Smoky Quartz",Brown,3ct,"Checkerboard Pear",G/H,SI2/I1,"0.17 ct",Round,,,,,"Dazzle everyone while wearing this 14k yellow gold ring that features a pear shaped prong set smoky quartz and round brilliant diamonds. 36 of the prong set diamonds encircle the smoky quartz, while 25 are embedded in the decorative cut out band. The diamonds have G/H color and SI2/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Quartz  Rings"
