"Parentage"	"ProductName "	"Description "	"ItemType"	"image_link "	"Length"	"TotalMetalWeight "	"TotalDiamondWeight "	"gemstonecarat"	"MetalType "	"MetalStamp "	"SettingType "	"MSRP "	"ItemPrice "
"ER0337Y"	"14K Yellow Gold Cluster Yellow Diamond Stud Earrings 0.74 Ctw "	"These 14K yellow gold seven stone cluster earrings feature beautiful design. The prong setting holds seven yellow round cut diamonds, totaling to 0.74 ctw on both earrings. These flawless earrings are beautiful and stylish.  "	"Diamond Earring"	"/E/R/ER0337Y_1.JPG"	"5/16 Inches (8 mm) "	"1.0000"	"0.74 Ctw "	""	"Yellow"	"14K Gold"	"Prong "	"4000.0000"	"1334.0000"
"ER0037Y"	"14K Yellow Gold Yellow Diamond Stud Earrings 0.89 Ctw "	"These 14 karat Gold Diamond Stud Earrings features Flawless Princess cut yellow in color, SI1/SI2 in clarity precious stones, for a total carat weight of .89 carats. Sixteen princess cut yellow diamonds are invisibly set on each earring. The measurements of these  earrings are 1/4 inches (6mm) in width and length, for a total gram weight of approximately 3 grams. Ideal for both ladies and men for a very affordable price. "	"Diamond Earring"	"/E/R/ER0037Y_1.JPG"	"1/4 Inches (6 mm)"	"1.0000"	"0.89 Ctw "	""	"Yellow"	"14K Gold"	"Invisible "	"1750.0000"	"584.0000"
"E007B"	"14K White Gold Blue Diamond Stud Earrings 0.81 Ctw "	"These unisex earrings are crafted in highly polished 14K white gold.They feature brilliant invisibly set blue in color, SI1/SI2 in clarity precious princess cut stones, for a total carat weight of .81 carats. The length and width of the center piece measures to approximately 5/16 Inches, and they weigh 16 grams. Ideal for both men and women, these earrings portray uniqueness and sense of style. "	"Diamond Earring"	"/e/0/e007b-1.jpg"	"5/16 Inches (8 mm) "	"1.0000"	"0.81 Ctw "	""	"White"	"14K Gold"	"Invisible"	"2750.0000"	"917.0000"
"ER0338YR"	"14K Rose Gold Cluster Yellow Diamond Stud Earrings 1.27 Ctw "	"These cluster diamond earring studs are crafted in highly polished 14K rose gold. Each earring  holds seven brilliant yellow round cut diamonds on a prong setting. Lovely in appearance, these beautiful studs  total to 1.27 carats and weigh approximately 3 grams. These are are ideal for both men and women. "	"Diamond Earring"	"/E/R/ER0338Y_1.JPG"	"5/16 Inches (8 mm)"	"1.0000"	"1.27 Ctw "	""	"Rose"	"14K Gold"	"Prong "	"2750.0000"	"919.0000"
"ER0227"	"14K White Gold Yellow Diamond Stud Earrings 0.55 Ctw "	"These simple yet very appealing diamond earring studs are crafted in 14k white gold. Four yellow princess cut diamonds are invisibly set in the center of each earring. Totaling to 2.3 grams, these earrings carry a total weight of 0.55 carats. Ideal men and women studs at an affordable price. "	"Diamond Earring"	"/E/R/ER0227_1.JPG"	"3/16 Inches(4.5 mm)"	"1.0000"	"0.55 Ctw "	""	"White"	"14K Gold"	"Invisible "	"700.0000"	"234.0000"
"ER0226"	"14K White Gold Yellow Diamond Stud Earrings 0.51 Ctw "	"These simple yet very appealing diamond stud earrings are crafted in 14k white gold. Four yellow princess cut diamonds are invisibly set in the center of each earring. Totaling to 2.3 grams, these earrings carry a total weight of 0.51 carats. These affordable studs are ideal for both men and women. "	"Diamond Earring"	"/E/R/ER0226_2.JPG"	"3/16 Inches(4.5 mm)"	"1.0000"	"0.51 Ctw "	""	"White"	"14K Gold"	"Invisible "	"1075.0000"	"359.0000"
"E007BR"	"14K Rose Gold Blue Diamond Stud Earrings 0.81 Ctw "	"This perfect set of Princess cut diamond stud earrings is held securely in 14k yellow gold with invisibly settings and a tight screw back closure. The brilliant diamond stud earrings feature amazing invisibly set blue in color, SI1/SI2 in clarity precious stones, for a total carat weight of .81 ct. The measurements of the center piece are 1/4 inches (6mm) in width and length, for a total gram weight of approximately 3 grams. Pristine and absolutely mesmerizing, our diamond studs are an everlasting display of beauty and excellence for both men and women."	"Diamond Earring"	"/E/0/E007BR_1.JPG"	"1/4 Inches (6 mm)"	"1.0000"	"0.81 Ctw "	""	"Rose"	"14K Gold"	"Invisible "	"2750.0000"	"919.0000"
"11028"	"14K Yellow Gold Womens Diamond Aquamarine Earrings 2.06 Ctw "	"This featured 14 karat yellow gold classic earrings are prong set with exquisite blue aquamarine gemstones. The rest of the regal design is prong and bezel set with round cut diamonds. The stones are G in color and VS1 in clarity with a total carat weight of 2.06 carats. These hallmark earrings measure out to 11/16 inches (17mm) in width and 1 1/2 inches (40mm) in length, with a total gram weight of approximately 8 grams. Very unique and very classy, these diamond earrings are a great accessory. "	"Diamond Earring"	"/1/1/11028.jpg"	"1 1/2 Inches (40 mm)"	"1.0000"	"2.06 Ctw "	""	"Yellow"	"14K Gold"	"Pave, Prong, Bezel "	"8150.0000"	"2717.0000"
"13995"	"14K White Gold Womens Diamond Earrings 7.50 Ctw "	"7.50 carats of round cut diamonds are pave set in the extraordinary design of 7 dangling diamond squares. The featured hanging earrings are 3 1/8 inches (80mm) in length and 7/16 inches (11mm) in width, with a total gram weight of approximately 25 grams. Crafted in 14K white gold, these earrings portray femininity, style and elegance. "	"Diamond Earring"	"/1/3/13995_2.jpg"	"3 1/8 inches (80 mm)"	"1.0000"	"7.50 Ctw "	""	"White"	"14K Gold"	"Pave "	"22500.0000"	"7500.0000"
"11517"	"14K White Gold Womens Hoop Earrings 4.25 Ctw"	"These dazzling 14 karat white gold diamond hoop earrings are pave set with ideal round cut Diamonds. The stones are G in color, VS1 in clarity, with a total carat weight of 4.25 carats. The measurements of these earrings are 1 inch in length and 15/16 of an inch in width, with a total gram weight of approximately 6 grams. Elegant and beautiful, these earrings are ideal for an every day wear. "	"Diamond Earring"	"/1/1/11517_1.jpg"	"1 1/8 Inches (29 mm) "	"1.0000"	"4.25 ctw "	""	"White"	"14K Gold"	"Prong "	"11250.0000"	"3750.0000"
