"SKU "	"ProductName "	"Description "	"ItemType"	"MainImageURL "	"length"	"TotalDiamondWeight "	"gemstonecarat"	"MetalType "	"MetalStamp "	"SettingType "	"MSRP "	"ItemPrice "	"width"	"weight"	"earringback"	"StoneColor1 "	"StoneClarity1"	"StoneShape1"	"category"	"link"	"image_link"
"E9722 "	"Chocolate Pearl Black Diamond Gemstone Earrings in Rose Gold"	"A beautiful 8mm chocolate pearl sits in the center of these lovely earrings surrounded by brilliant round cut black diamonds."	"Gemstone Diamond Earrings"	"/e/9/e9722a.jpg"	"11/16 Inches (17.3 mm)"	"0.52 Ctw"	"8 mm "	"Rose"	"14K Gold"	""	"2340.0000"	"779.0000"	"5/8 Inches (15.8 mm)"	"1.0000"	"Omega "	"Enhanced Black"	""	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings>Root Catalog>Womens>Pearl Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Earrings>Root Catalog>Womens>Pearl Jewelry>Pearl Diamond Jewelry"	"http://www.avianneandco.com/store/catalog/product/view/id/8800/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"http://www.avianneandco.com/store/media/catalog/product//e/9/e9722a.jpg"
"E9721 "	"Chocolate Pearl Black Diamond Gemstone Earrings in Rose Gold"	"A beautiful 8mm chocolate pearl sits in the center of these lovely earrings surrounded by brilliant round cut black diamonds."	"Gemstone Diamond Earrings"	"/e/9/e9721a.jpg"	"5/8 Inches (15.7 mm)"	"0.52 Ctw"	"8 mm "	"Rose"	"14K Gold"	""	"1590.0000"	"529.0000"	"1/2 Inches (12.3 mm)"	"1.0000"	"Omega "	"Enhanced Black"	""	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings>Root Catalog>Womens>Pearl Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Earrings>Root Catalog>Womens>Pearl Jewelry>Pearl Diamond Jewelry"	"http://www.avianneandco.com/store/catalog/product/view/id/8801/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"http://www.avianneandco.com/store/media/catalog/product//e/9/e9721a.jpg"
"ESC9362S "	"Smoky Quartz Diamond Drop Gemstone Earrings in White Gold"	"These beautiful 14k white gold earrings features 2 lovely princess cut smoky quartz gemstones surrounded by brilliant round cut diamonds. The color of the diamonds are H/I and the clarity is SI2/SI3."	"Gemstone Diamond Earrings"	"/e/s/esc9362sa.jpg"	"13/16 Inches (21.9 mm)"	"0.36 Ctw"	"0.18 Ctw"	"White"	"14K Gold"	"Pave "	"1110.0000"	"369.0000"	"3/8 Inches (10.1)"	"1.0000"	""	"G , H"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/8802/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"http://www.avianneandco.com/store/media/catalog/product//e/s/esc9362sa.jpg"
"ESC9359 "	"Citrine Diamond Designer Gemstone Earrings in White Gold"	"This 14k white gold pair of earrings feature 2 pear shaped citrine gemstones surrounded by brilliant round cut diamonds. The color of the diamonds are G/H and the clarity is SI2/SI3."	"Gemstone Diamond Earrings"	"/e/s/esc9359a.jpg"	"3/4 Inches (19.6 mm)"	"0.35 Ctw"	"0.35 Ctw"	"White"	"14K Gold"	""	"1260.0000"	"419.0000"	"3/8 Inches (9.4 mm)"	"1.0000"	""	"G , H"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/8803/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"http://www.avianneandco.com/store/media/catalog/product//e/s/esc9359a.jpg"
"S45657C "	"Citrine Diamond Gemstone Earrings in Yellow Gold"	"This lovely pair of earrings features oval shaped checkerboard citrine gemstones surrounded by brilliant round cut diamonds. The color of the diamonds are G/H and the clarity is SI2/SI3.
"	"Gemstone Diamond Earrings"	"/s/4/s45657ca.jpg"	"11/16 Inches (17.4 mm)"	"0.37 Ctw"	"2.30 Ctw"	"Yellow"	"14K Gold"	"Pave "	"1530.0000"	"509.0000"	"5/8 Inches (15 mm)"	"1.0000"	""	"G , H"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/8804/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"http://www.avianneandco.com/store/media/catalog/product//s/4/s45657ca.jpg"
"E34276 "	"Lemon Quartz Diamond Designer Gemstone Earrings in Yellow Gold"	"This beautiful design features 2 oval shaped checkerboard lemon quartz gemstones sitting in the center surrounded by 1 row of brilliant round cut diamonds in a 14k yellow gold prong setting. The color of the diamonds are H/I and the clarity is SI2/SI3."	"Gemstone Diamond Earrings"	"/e/3/e34276a.jpg"	"34.8 mm "	"0.30 Ctw"	"9.81 Ctw"	"Yellow"	"14K Gold"	"Pave "	"1890.0000"	"629.0000"	"11/16 Inches (17.6 mm)"	"1.0000"	""	"H , I"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/8805/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"http://www.avianneandco.com/store/media/catalog/product//e/3/e34276a.jpg"
"S45679P "	"Purple Amethyst Diamond Gemstone Earrings in Rose Gold"	"These beautiful 14k rose gold earrings will make great for any occasion with its large checkerboard purple amethyst gemstones surrounded by brilliant round cut diamonds. The color of the diamonds are G/H and the clarity is SI2/SI3."	"Gemstone Diamond Earrings"	"/s/4/s45679pb.jpg"	"5/8 Inches (16.3 mm)"	"0.07 Ctw"	"3.53 Ctw"	"Rose"	"14K Gold"	""	"1110.0000"	"369.0000"	"5/8 Inches (16 mm)"	"1.0000"	""	"G , H"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/8806/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"http://www.avianneandco.com/store/media/catalog/product//s/4/s45679pb.jpg"
"E3193R "	"Ruby Diamond Gemstone Earrings in White Gold"	"This lovely pair of earrings features brilliant round cut diamonds surrounded by bezel set rubies in a 14k white gold setting. The color of the diamonds are G/H and the clarity is SI2/SI3."	"Gemstone Diamond Earrings"	"/e/3/e3193ra.jpg"	"5/8 Inches (16.7 mm)"	"0.63 Ctw"	"0.47 Ctw"	"White"	"14K Gold"	""	"1620.0000"	"539.0000"	"3/8 Inches (10.7 mm)"	"1.0000"	""	"G , H"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/8807/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"http://www.avianneandco.com/store/media/catalog/product//e/3/e3193ra.jpg"
"SE07489 "	"Multi Colored Gemstone Diamond Designer Earrings in White Gold"	"These earrings add a touch of colorful sparkle that can be enjoyed for a lifetime! These beautiful earrings feature 3 different colored gemstones in a prong setting separated by brilliant round cut diamonds in this handcrafted 14k white gold frame. The color of the diamonds are G/H and the clarity is SI2/SI3.
"	"Gemstone Diamond Earrings"	"/s/e/se07489a.jpg"	"15/16 Inches (24.1 mm)"	"0.16 Ctw"	"5.17 Ctw"	"White"	"14K Gold"	"Pave "	"2520.0000"	"839.0000"	"7/16 Inches (11.4 mm)"	"1.0000"	""	"G , H"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/8808/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"http://www.avianneandco.com/store/media/catalog/product//s/e/se07489a.jpg"
"E0015038 "	"Turquoise Diamond Heart Gemstone Earrings in White Gold"	"Show the one you love how much you care with these beautiful Heart Earrings. This design features heart shaped pearls and turquoise gemstones surrounded by brilliant round cut diamonds in a 14k white gold prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3."	"Gemstone Diamond Earrings"	"/e/0/e0015038a.jpg"	"5/8 Inches (15.4 mm)"	"0.35 Ctw "	""	"White"	"14K Gold"	"Prong"	"1590.0000"	"529.0000"	"5/8 Inches (16.5 mm)"	"1.0000"	""	"G , H"	"SI2 , SI3"	"Round "	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/8809/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"http://www.avianneandco.com/store/media/catalog/product//e/0/e0015038a.jpg"
