"SKU "	"ProductName "	"Description "	"ItemType"	"MainImageURL "	"length"	"TotalDiamondWeight "	"gemstonecarat"	"MetalType "	"MetalStamp "	"SettingType "	"MSRP "	"ItemPrice "	"width"	"weight"	"earringback"	"StoneColor1 "	"StoneClarity1"	"StoneShape1"	"category"	"link"	"image_link"
"GP0368 "	"Purple Amethyst Crystal Flower Gemstone Pendant in White Gold"	"This unique design features marquise cut purple amethyst with a checkerboard cut crystal in the center of this 14k white gold frame. *This pendant comes with a free 18 inch silver necklace."	"Gemstone Pendant "	"/g/p/gp0368a.jpg"	"1 1/4 Inches (28.4 mm)"	""	"4.41 Ctw,      1.15 Ctw"	"White"	"14K Gold"	""	"600.0000"	"199.0000"	"13/16 Inches (21.2 mm)"	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/8981/s/purple-amethyst-crystal-flower-gemstone-pendant-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//g/p/gp0368a.jpg"
"P07869 "	"Multi Colored Gemstone Designer Pendant in Yellow Gold"	"This unique design features brilliant round cut green garnet, pink and blue sapphires in a prong setting. *This pendant comes with a free 18 inch silver necklace."	"Gemstone Pendant "	"/p/0/p07869a.jpg"	"42.3 mm "	""	"0.38 Ctw,   0.20 Ctw"	"Yellow"	"14K Gold"	""	"480.0000"	"159.0000"	"1/2 Inches (12.8 mm)"	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/8984/s/purple-amethyst-crystal-flower-gemstone-pendant-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//p/0/p07869a.jpg"
"GP0652 "	"Amethyst Cross Gemstone Pendant in White Gold"	"Treat yourself to this colorful treasure! Handcrafted in beautiful 14k white gold this pendant features lovely pear cut amethyst gemstones in a unique flower pattern. The pendant also features dazzling citrine gemstones scattered around the pendant. *This pendant comes with a free 18 inch silver necklace.
"	"Gemstone Pendant "	"/g/p/gp0652a_1.jpg"	"70.3 mm "	""	"2.89 Ctw,   0.50 Ctw "	"White"	"14K Gold"	""	"1440.0000"	"479.0000"	"53.6 mm"	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/9137/s/amethyst-cross-gemstone-pendant-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//g/p/gp0652a_1.jpg"
"BR25729"	"14K Yellow Gold Womens Gemstone Bracelet 7.50 Ctw"	"This exquisite womens gemstone bracelet is handcrafted in lustrous 14K yellow gold. Multi colored oval shaped semi precious stones are bezel set all the way across the frame and total to 7.50 carats. The bracelet measures to 7 inches in length and 7 mm in width. Weighing 9 grams, this bracelet is an ideal addition to any gemstone jewelry collection. "	"Gemstone Pendant "	"/b/r/br25729-1.jpg"	"7 Inches"	""	"7.50 Ctw "	"Yellow"	"14K Gold"	""	"2500.0000"	"839.0000"	"1/4 Inches (7 mm)"	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/9158/s/14k-yellow-gold-womens-gemstone-bracelet-7-50-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br25729-1.jpg"
"P25757"	"Black Swarovski Crystal Hamsa Pendant"	"This large Hamsa Pendant is crafted in silver. The beautifully designed pendant is detailed with micro set small round cut black swarovski crystals. The pendant measures to 2 1/8 inches in length and 1 3/8 inches in width. "	"Gemstone Pendant "	"/p/2/p25757-1.jpg"	"2 1/8 Inches"	""	""	""	"Silver"	""	"1750.0000"	"589.0000"	"1 3/8 Inches"	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/9197/s/black-swarovski-crystal-hamsa-pendant/"	"http://www.avianneandco.com/store/media/catalog/product//p/2/p25757-1.jpg"
"P25752"	"Black and White Swarovski Crystal Hamsa Pendant"	"This large Hamsa Pendant is crafted in silver. The beautifully designed pendant is detailed with micro set small round cut black and white swarovski crystals. The pendant measures to 1 1/2 inches in length and 3/4 inches in width. "	"Gemstone Pendant "	"/p/2/p25752-1.jpg"	"1 1/2 Inches"	""	""	""	"Silver"	""	"1100.0000"	"369.0000"	"3/4 Inches"	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/9198/s/black-swarovski-crystal-hamsa-pendant/"	"http://www.avianneandco.com/store/media/catalog/product//p/2/p25752-1.jpg"
"P25748"	"Pink Swarovski Crystal Ball Bead Pendant "	"This exquisite womens ball bead pendant is crafted in silver. Small pink swarovski crystals are carefully micro set all the way around the ball and it measures to 16 mm in diameter. The pendant comes with a silver chain which is plated in black rhodium and measures to 16 inches in length. "	"Gemstone Pendant "	"/p/2/p25748-1.jpg"	"16 mm - diameter"	""	""	""	"Silver"	""	"1100.0000"	"339.0000"	""	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/9199/s/pink-swarovski-crystal-ball-bead-pendant/"	"http://www.avianneandco.com/store/media/catalog/product//p/2/p25748-1.jpg"
"P25747"	"Black Swarovski Crystal Hamsa Pendant with Rubies"	"This large Hamsa Pendant is crafted in silver. The beautifully designed pendant is detailed with micro set small round cut black swarovski crystals. The Star of David is outlined with red rubies. The pendant measures to 1.5 inches in length and 1 inches in width. "	"Gemstone Pendant "	"/p/2/p25747-1.jpg"	"1 1/2 Inches"	""	""	""	"Silver"	""	"1250.0000"	"419.0000"	"1 Inches "	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/9200/s/black-swarovski-crystal-hamsa-pendant/"	"http://www.avianneandco.com/store/media/catalog/product//p/2/p25747-1.jpg"
"P25744"	"White Swarovski Crystal Ball Bead Pendant "	"This exquisite womens ball bead pendant is crafted in silver. White swarovski crystals are carefully micro set all the way around the ball and it measures to 12 mm in diameter. The pendant comes with a matching silver chain which measures to 16 Inches in length."	"Gemstone Pendant "	"/p/2/p25744-1.jpg"	"12 mm - diameter"	""	""	""	"Silver"	""	"875.0000"	"299.0000"	""	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/9201/s/black-swarovski-crystal-hamsa-pendant/"	"http://www.avianneandco.com/store/media/catalog/product//p/2/p25744-1.jpg"
"P25743"	"Pink Swarovski Crystal Ball Bead Pendant "	"This exquisite womens ball bead pendant is crafted in silver. Small pink swarovski crystals are carefully micro set all the way around the ball and it measures to 10 mm in diameter. The pendant comes with a matching silver chain which measures to 16 Inches in length."	"Gemstone Pendant "	"/p/2/p25743-1.jpg"	"10 mm - diameter"	""	""	""	"Silver"	""	"750.0000"	"249.0000"	""	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/9202/s/black-swarovski-crystal-hamsa-pendant/"	"http://www.avianneandco.com/store/media/catalog/product//p/2/p25743-1.jpg"
"P25745"	"Black Swarovski Crystal Ball Bead Pendant "	"This exquisite womens ball bead pendant is crafted in silver. Small black swarovski crystals are carefully micro set all the way around the ball and it measures to 10 mm in diameter. The pendant comes with a matching silver chain which measures to 16 Inches in length."	"Gemstone Pendant "	"/p/2/p25745-1.jpg"	"10 mm - diameter"	""	""	""	"Silver"	""	"750.0000"	"249.0000"	""	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/9203/s/black-swarovski-crystal-hamsa-pendant/"	"http://www.avianneandco.com/store/media/catalog/product//p/2/p25745-1.jpg"
"P25746"	"White Swarovski Crystal Ball Bead Pendant "	"This exquisite womens ball bead pendant is crafted in silver. White swarovski crystals are carefully micro set all the way around the ball and it measures to 10 mm in diameter. The pendant comes with a matching silver chain which measures to 16 Inches in length."	"Gemstone Pendant "	"/p/2/p25746-1.jpg"	"10 mm - diameter"	""	""	""	"Silver"	""	"750.0000"	"249.0000"	""	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/9204/s/black-swarovski-crystal-hamsa-pendant/"	"http://www.avianneandco.com/store/media/catalog/product//p/2/p25746-1.jpg"
"ER25750"	"White and Black Swarovski Crystal Ball Bead Earrings"	"Added to our new collection, these beautiful womens ball bead earrings are crafted in silver. The balls are micro set with beautiful white and black swarovski crystals and they measure to 12 mm in diameter. The frame measures to 1 inches in length and securely locks with push back closure. "	"Gemstone Pendant "	"/e/r/er25750-1.jpg"	"1 Inch"	""	""	""	"Silver"	""	"1000.0000"	"339.0000"	"12 mm - diameter"	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/9205/s/white-and-black-swarovski-crystal-ball-bead-earrings/"	"http://www.avianneandco.com/store/media/catalog/product//e/r/er25750-1.jpg"
