"SKU "	"ProductName "	"Description "	"ItemType"	"MainImageURL "	"length"	"TotalDiamondWeight "	"gemstonecarat"	"MetalType "	"MetalStamp "	"SettingType "	"MSRP "	"ItemPrice "	"width"	"weight"	"earringback"	"StoneColor1 "	"StoneClarity1"	"StoneShape1"	"category"	"link"	"image_link"
"R5087"	"Solitaire Round Cut Lemon Quartz Blue Topaz Large Gemstone Ring in White Gold"	"This unique ring features a round prong set lemon quartz gemstone set in yellow gold. The 14k white gold band consists of cut out heart shapes and 6 oval prong set blue topaz gemstones."	"Gemstone Ring 2"	"/r/5/r5087a.jpg"	""	""	"5.63 Ctw,  1.23 Ctw"	"White"	"14K Gold"	""	"750.0000"	"249.0000"	"7/16 Inches (11.5 mm)"	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/7929/s/solitaire-round-cut-lemon-quartz-blue-topaz-large-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/5/r5087a.jpg"
"S16178"	"Citrine Gemstone Ring in Yellow Gold"	"A beautiful amber colored oval shaped citrine gemstone sits atop this 14k yellow gold band. The prong set citrine gemstone glistens underneath a beautiful leaf design."	"Gemstone Ring 2"	"/s/1/s16178a.jpg"	""	""	"1.53 Ctw"	"Yellow"	"14K Gold"	""	"480.0000"	"159.0000"	"7/16 Inches (11 mm)"	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/7940/s/citrine-gemstone-ring-in-yellow-gold/"	"http://www.avianneandco.com/store/media/catalog/product//s/1/s16178a.jpg"
"GR0279"	"Blue and Pink Sapphire Unique Gemstone Ring in White Gold"	"    This 18K white gold unique gemstone ring features both pink and blue round sapphire gemstones. The round pave set gemstones compliment each other and make up this interesting wave design which has a 3D effect atop your finger. There are 10 blue and 31 pink sapphire gemstones.     "	"Gemstone Ring 2"	"/g/r/gr0279a.jpg"	""	""	"0.72 Ctw, 0.22 Ctw "	"White"	"18K Gold"	""	"1950.0000"	"649.0000"	"9/16 Inches (14.2 mm)"	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/8150/s/blue-and-pink-sapphire-unique-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//g/r/gr0279a.jpg"
"MB2315T "	"Oval Cut Tanzanite Three Stone Gemstone Ring in Yellow Gold "	"  Show the one you love how much you care with this beautiful ring. This design features 3 lovely oval shape tanzanite gemstones in a 14k yellow gold setting.  "	"Gemstone Ring 2"	"/m/b/mb2315ta.jpg"	""	""	"2.00 Ctw "	"Yellow"	"14K Gold"	""	"2880.0000"	"959.0000"	"1/2 Inches (13.6 mm)"	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/8435/s/oval-cut-tanzanite-three-stone-gemstone-ring-in-yellow-gold/"	"http://www.avianneandco.com/store/media/catalog/product//m/b/mb2315ta.jpg"
"MB2893T "	"Tanzanite Unique Gemstone Ring in Yellow Gold"	"    This unique gemstone ring features 5 beautiful pear shape tanzanite gemstones in this 14k yellow gold setting.    "	"Gemstone Ring 2"	"/m/b/mb2893ta.jpg"	""	""	"1.70 Ctw"	"Yellow"	"14K Gold"	""	"1290.0000"	"429.0000"	"3/4 Inches (19.4 mm)"	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/8466/s/oval-cut-tanzanite-three-stone-gemstone-ring-in-yellow-gold/"	"http://www.avianneandco.com/store/media/catalog/product//m/b/mb2893ta.jpg"
"MB2395 "	"Tanzanite Unique Gemstone Ring in Yellow Gold"	"   An amazing design matched with 2 beautiful trilliant shape tanzanite gemstones. Handcrafted in 14k yellow gold this is a beautiful unique gemstone ring.   "	"Gemstone Ring 2"	"/m/b/mb2395a_1.jpg"	""	""	"2.15 Ctw"	"Yellow"	"14K Gold"	""	"3480.0000"	"1159.0000"	"5/8 Inches (14.8 mm)"	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/8481/s/oval-cut-tanzanite-three-stone-gemstone-ring-in-yellow-gold/"	"http://www.avianneandco.com/store/media/catalog/product//m/b/mb2395a_1.jpg"
"R06161 "	"Sapphire Gemstone Ring in White Gold"	"  This beautiful 14k white gold band features 2 row of princess cut sapphires invisibly set  "	"Gemstone Ring 2"	"/r/0/r06161a_1.jpg"	""	""	"0.85 Ctw"	"White"	"14K Gold"	""	"690.0000"	"229.0000"	"3/4 Inches (19.7 mm)"	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/8513/s/oval-cut-tanzanite-three-stone-gemstone-ring-in-yellow-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/0/r06161a_1.jpg"
"R25548"	"10K Yellow Gold Womens Emerald Ring 5.01 Ctw"	"This solitaire gemstone womens ring is crafted in 10K yellow gold. The center is set with one round cut green emerald gemstone which weighs 5.01 carats. The frame measures to 1/2 inches and weighs approximately 3.8 grams. This lovely ring is an ideal accessory for an every day casual wear."	"Gemstone Ring 2"	"/r/2/r25548-1.jpg"	""	""	"5.01 Ctw"	"Yellow"	"10K Gold"	""	"1750.0000"	"589.0000"	"1/2 Inches (12 mm) "	"1.0000"	""	""	""	""	"Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/8611/s/10k-yellow-gold-womens-emerald-ring-5-01-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/2/r25548-1.jpg"
"R25535"	"18K Yellow Gold Womens Citrine Ring 1.50 Ctw"	"Be different and unique with this lovely womens diamond ring which is handcrafted in lustrous 18K yellow gold. The center is set with one oval shaped citrine gemstone which weighs 1.50 carats. The frame measures to 8 mm in width and weighs 8.9 grams."	"Gemstone Ring 2"	"/r/2/r25535-1.jpg"	""	""	"1.50 Ctw"	"Yellow"	"18K Gold"	""	"5750.0000"	"1919.0000"	"5/16 Inches (8 mm) "	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/8615/s/18k-yellow-gold-womens-citrine-ring-1-50-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/2/r25535-1.jpg"
"VJ283 "	"Princess Cut Multi Colored Gemstone Band Ring in White Gold"	"This beautiful 14k white gold band features 1 row of channel set princess cut diamonds. The frame weighs 3.5 grams and measures 4 mm in width. "	"Gemstone Ring 2"	"/v/j/vj283a.jpg"	""	""	"1.00 Ctw "	"White"	"14K Gold"	""	"780.0000"	"259.0000"	"3/16 Inches (4 mm)"	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/8829/s/oval-cut-tanzanite-three-stone-gemstone-ring-in-yellow-gold/"	"http://www.avianneandco.com/store/media/catalog/product//v/j/vj283a.jpg"
"R25573"	"14K Yellow Gold Womens Tiger's Eye Ring "	"This uniquely designed womens ring is crafted in lustrous 14K yellow gold. The tiger's eye stones are visible from the opposite sides and the center measures to 10 mm in width. Weighing 11.3 grams, this ring is an ideal accessory which guarantees any bystanders attention. "	"Gemstone Ring 2"	"/r/2/r25573-1.jpg"	""	""	""	"Yellow"	"14K Gold"	""	"2500.0000"	"839.0000"	"3/8 Inches (10 mm)"	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/9630/s/14k-yellow-gold-womens-tiger-s-eye-ring/"	"http://www.avianneandco.com/store/media/catalog/product//r/2/r25573-1.jpg"
"S18626"	"Peridot Gemstone Heart Ring in Yellow Gold"	"This finely polished 18k yellow gold ring features a beautiful heart shaped peridot gemstone sitting in the center."	"Gemstone Ring 2"	"/s/1/s18626a_1.jpg"	""	""	"0.50 Ctw"	"Yellow"	"18K Gold"	""	"1020.0000"	"529.0000"	"24.1 mm "	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/10042/s/peridot-gemstone-heart-ring-in-yellow-gold/"	"http://www.avianneandco.com/store/media/catalog/product//s/1/s18626a_1.jpg"
