"SKU "	"ProductName "	"Description "	"ItemType"	"MainImageURL "	"Length"	"TotalDiamondWeight "	"gemstonecarat"	"MetalType "	"MetalStamp "	"SettingType "	"MSRP "	"ItemPrice "	"Width"	"TotalMetalWeight "	"earringback"	"StoneColor1 "	"StoneClarity1"	"StoneShape1"	"category"	"link"	"image_link"
"R361"	"14K White Gold Diamond Wedding Band Set 0.55 ctw"	"This alluring design of style is the perfect addition to your diamond collection! This ring is crafted in 14K white gold. These diamonds are G/H in color and SI1/SI3 in clarity. This exclusive ring features round cut precious stones in a channel setting and the total carat weight of this ring is .55 carats. The middle of the women’s ring measures out to 1/8 inches (3.15mm) in width and men’s measures out to 1/8 inches (3.08mm). The current women’s ring size is 7 1/4 and men’s is 10 1/4. The total gram weight of this featured ring is approximately 6.1grams. "	"Diamond Ring Set"	"/R/3/R361_1.jpg"	""	"0.55 ctw"	""	"White"	"14K Gold"	"Invisible Setting"	"1475.0000"	"492.0000"	"1/8 Inches (3 mm)"	"1.0000"	""	"G , H"	"SI1 , SI2 , SI3"	"Princess"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/269/s/14k-white-gold-diamond-wedding-band-set-0-55-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/3/R361_1.jpg"
"WRS095A"	"14K White Gold Diamond Wedding Band Set 0.71 Ctw "	"Pristine, three round cut diamonds, are bezel set in a 14 karat white gold frame, on both men’s and women’s bands. The average color of these diamonds are G/H and the average clarity is VS1/VS2, with a total carat weight of .71 carats. The thickness of these rings is3/4  inches (19mm) for each and they both weight out to a total gram weight of approximately 20 grams. This is an ideal set for him and her. "	"Diamond Ring Set"	"/w/r/wrs095a-1.jpg"	""	"0.71 Ctw "	""	"White"	"14K Gold"	"Bezel "	"7500.0000"	"2500.0000"	"3/4 Inches (19mm) "	"1.0000"	""	"G , H"	"VS1 , VS2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/283/s/14k-white-gold-wedding-band-set-0-71-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//w/r/wrs095a-1.jpg"
"R-364"	"14K White Gold Diamond Wedding Band Set 1.53 Ctw "	"Beautiful wedding band set is crafted in 14K white gold.  Channel set with a amazing combination of princess and round cut diamonds, that are G/H in color VS2/SI1 in clarity with a total carat weight of 1.53 carats of pristine polished to perfection shimmering diamonds. The width of these rings are 3/8 inches (9mm) with a total gold, gram weight of approximately 10 grams. Classical and elegant in appearance, these are ideal wedding bands for him and her.  "	"Diamond Ring Set"	"/r/-/r-364-1.jpg"	""	"1.53 Ctw "	""	"White"	"14K Gold"	"Channel "	"6500.0000"	"2167.0000"	"3/8 Inches (9 mm)"	"1.0000"	""	"G , H"	"SI1 , VS2"	"Princess , Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/288/s/14k-white-gold-diamond-wedding-band-set-1-53-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/-/r-364-1.jpg"
"RM-366"	"14K White Gold Diamond Wedding Band Set 0.75 Ctw "	"These bands are adorned with glistening round and baguette cut diamonds, that are G/H in color, SI1/SI2 In clarity, that are channel set, with the total carat weight of .75 carats for both rings. 1/8 inches ( 4mm) in width, the total gold weight for both rings is approximately 7 grams. Highly polished in a 14 karat white gold frame, these classical wedding bands are ideal for him and her. "	"Diamond Ring Set"	"/R/M/RM-366_1.JPG"	""	"0.75 Ctw "	""	"White"	"14K Gold"	"Channel "	"1875.0000"	"629.0000"	"1/8 Inches (4 mm)"	"1.0000"	""	"G , H"	"SI1 , SI2"	"Baguette , Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/292/s/14k-white-gold-diamond-wedding-band-set-0-75-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/M/RM-366_1.JPG"
"R-360"	"14K White Gold Diamond Wedding Band Set 0.22 Ctw "	"This 14K White gold diamond wedding ring band set is a perfect addition to a diamond collection. These exclusive bands are fashioned with channel settings which feature small sparkling round and princess cut diamonds. Shinning with simplicity and elegance, this set makes an ideal gift for him and her. "	"Diamond Ring Set"	"/R/3/R360_1.jpg"	""	"0.22 Ctw"	""	"White"	"14K Gold"	"Channel"	"1250.0000"	"417.0000"	"3/8 inches (3.05mm)"	"1.0000"	""	"H , I"	"SI1 , SI3"	"Round "	"Root Catalog>Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/377/s/14k-white-gold-diamond-wedding-band-set-0-22-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/3/R360_1.jpg"
"R355WY"	"14K White Gold Diamond Wedding Band Set 2.17 Ctw "	"The intricacy of the detailing on these highly polished 14K gold rings accentuates the luster and the brilliance of the flawless princess cut diamonds that are invisible set. Adore her with this perfect diamond engagement ring and wedding band that works in harmony with the Men's diamond wedding band. The total carat weight of these impressive three rings is 2.17 carats. "	"Diamond Ring Set"	"/r/3/r355wy-1.jpg"	""	"2.17 Ctw "	""	"White"	"14K Gold"	"Invisible, Channel "	"6500.0000"	"2167.0000"	""	"1.0000"	""	"Enhanced Yellow , G , H"	"SI1 , SI2 , VS1 , VS2"	"Princess"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/439/s/14k-white-gold-diamond-bridal-ring-set-2-17-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/3/r355wy-1.jpg"
"RM282"	"14K White Gold Diamond Wedding Band Set 1.82 Ctw "	"These exquisite diamond wedding ring set is crafted in highly polished 14K White Gold. The engagement ring setting features brilliant prong set round cut diamonds around the center piece which will hold the main stone on a prong setting. Two matching wedding bands, for him and for her,  are set with a number of round cut diamonds. This three ring wedding band set is an ideal gift for both occasions."	"Diamond Ring Set"	"/R/M/RM282_1.jpg"	""	"1.82 Ctw "	""	"White"	"14K Gold"	"Prong "	"3675.0000"	"1225.0000"	""	"1.0000"	""	"G , H"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/447/s/14k-white-gold-diamond-bridal-ring-set-1-82-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/M/RM282_1.jpg"
"R1121"	"14K White Gold Diamond Wedding Band Set 1.25 Ctw"	"This beautiful wedding band set is crafted in lustrous 14K White Gold. Each ring is channel set with eight brilliant round cut diamonds. These classic diamond rings are ideal matching bands for him and her. "	"Diamond Ring Set"	"/f/i/file_366_1.jpg"	""	"1.25 Ctw"	""	"White"	"14K Gold"	"Channel "	"2750.0000"	"917.0000"	"1/4 Inches (6.5 mm)"	"1.0000"	""	"I , K"	"I1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/1349/s/14k-white-gold-wedding-band-set-1-25-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//f/i/file_366_1.jpg"
"R369WY"	"14K White Gold Diamond Wedding Band Set 1.37 Ctw"	"This exquisite diamond wedding band set is crafted in highly polished 14K White Gold. The womens engagement ring features beautiful center piece with sixteen invisibly set yellow princess cut diamonds. Each side of the band is channel set with four round cut diamonds. In addition, two matching wedding bands for him and her are channel set with yellow and white round cut diamonds.This three ring diamond wedding band set weighs approximately 18.4 grams."	"Diamond Ring Set"	"/i/m/im-1_23.jpg"	""	"1.37 Ctw"	""	"White"	"14K Gold"	"Invisible, Channel "	"5750.0000"	"1917.0000"	"3/16 Inches (5.5 mm)"	"1.0000"	""	"Enhanced Yellow , H"	"SI2 , SI3"	"Princess , Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/1854/s/14k-white-gold-diamond-bridal-ring-set-1-37-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_23.jpg"
"R355W"	"14K White Gold Diamond Wedding Band Set 2.09 Ctw"	"This one of a kind diamond wedding band set is crafted in lustrous 14K White Gold. The engagement ring is channel set with six princess cut diamonds and features a square center piece with nine invisibly set princess cut diamonds. The matching wedding bands for him and her are channel set with another set of princess cut diamonds. This exquisite diamond three ring wedding band set weighs approximately 13.2 grams. "	"Diamond Ring Set"	"/r/3/r355wy-1a.jpg"	""	"2.09 Ctw"	""	"White"	"14K Gold"	"Channel, Invisible "	"6850.0000"	"2284.0000"	"5/16 Inches (7.8 mm)"	"1.0000"	""	"G , H"	"SI1 , SI2"	"Princess"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/1855/s/14k-white-gold-diamond-bridal-ring-set-2-09-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/3/r355wy-1a.jpg"
