"id"	"title"	"link"	"price"	"description"	"condition"	"image_link"
"R049W"	"14K Yellow Gold Mens Diamond Ring 5.15 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/167/s/14k-yellow-gold-men-s-diamond-ring-5-15-ctw/"	"4084.0000"	"This 14K yellow gold mens diamond ring is truly one of a kind. The  Invisibly-set princess cut diamonds are framed in a shape of a cross. The band is highlighted with a number of round and princess cut diamonds set around it. Weighing a total of 18 grams, this is an ideal fashion ring for everyday wear. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/0/r049w.jpg"
"R26743"	"14K White Gold Mens Diamond Ring 0.94 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/168/s/14k-white-gold-men-s-diamond-ring-0-94-ctw/"	"1459.0000"	"This ring is crafted in highly polished 14 karat white solid gold. The center is invisibly set with 25 princess cut diamonds. The center piece of the ring measures out to 1/2 inch (13mm) in width. It is highlighted with pave set round cut diamonds, for a total carat weight of .94 carats. The average color of these diamonds are H/J with a SI3/I1 clarity. Shinning with simplicity,  this ring could be another great accessory to the jewelry collection"	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/2/r26743-1.jpg"
"R3811"	"14K White Gold Womens Diamond Wedding Band 0.49 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/169/s/14k-white-gold-womens-diamond-wedding-band-0-49-ctw/"	"309.0000"	"Seventeen brilliant round cut diamonds G/H in color and SI2 in clarity are pave set in a crisscross design. The width of this band 3/8 inches with a total weight of 4 grams. This simple and elegant 14K white gold womens wedding band is an ideal gift for that special day."	"new"	"http://www.avianneandco.com/store/media/catalog/product//R/3/R3811_1.jpg"
"RM297"	"14K White Gold Mens Diamond Ring 1.79 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/170/s/14k-white-gold-mens-diamond-ring-1-79-ctw/"	"1669.0000"	"This one of a kind men’s diamond ring features four dazzling princess cut diamonds invisibly set in the center of the ring. Four corners of the center piece have brilliant round cut diamonds on a bezel setting. The center  measures to 1/2 inch in width. The 14K band also features round cut diamonds, pave set on the left and right side of the ring, as well as the back and front, for a total carat weight of 1.79 carats. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_261.jpg"
"R6371"	"14K White Gold Mens Diamond Pinky Ring 1.69 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/172/s/14k-white-gold-mens-diamond-ring-1-69-ctw/"	"1669.0000"	"This mens pinky ring is crafted in 14K highly polished white gold. The center piece features one bezel set round cut diamond which is surrounded by a number of trilliant cut diamonds giving it a brilliant appearance. With the center piece measuring to approximately 15 mm, this ring shines with beauty and modernity. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_37.jpg"
"R298W"	"14K White Gold Mens Diamond Ring 1.82 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/173/s/14k-white-gold-mens-diamond-ring-1-82-ctw/"	"2009.0000"	"Crafted in 14K white gold, this mens diamond ring has a beautiful and sophisticated appearance. The center piece features invisibly set four princess cut diamonds with two bezel set round cut diamonds on opposite sides. Aside from the center piece which measures approximately 3/8 inches, the band is highlighted by a number of pave set round cut diamonds.   "	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_281.jpg"
"R1514"	"14K White Gold Mens Diamond Ring 1.87 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/174/s/14k-white-gold-mens-diamond-ring-1-87-ctw/"	"1584.0000"	"This ideal fashion mens diamond ring is crafted in 14K white gold. It features gorgeous round cut diamonds which are held by a channel setting. This band shines with stones which are G/I in color and SI2/SI3 in clarity. The four rows of brilliant diamonds come to a total carat weight of 1.87 ct.         "	"new"	"http://www.avianneandco.com/store/media/catalog/product//R/1/R1514_2.jpg"
"R156W"	"14K White Gold Mens Diamond Ring 2.88 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/175/s/14k-white-gold-womens-diamond-ring-2-02-ctw/"	"2329.0000"	"Very stylish and truly unique this highly polished 14 karat white gold ring is very beautiful in design and craftsmanship. It features shiny princess cut diamond G/H in color and SI1/SI2 in clarity, set in an invisible setting. The round cut diamonds are pave set into two hearts on the sides of the center piece. The sides of the ring are highlighted with another set of round cut G/H in color, SI1/SI2 in clarity beautiful diamonds, for a total carat weight of 2.88 carats. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_173.jpg"
"RM416 "	"14K White Gold Mens Diamond Ring 3.09 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/176/s/14k-white-gold-mens-diamond-ring-3-09-ctw/"	"2825.0000"	"Very original, and highly fashionable this mens ring is crafted in 14K white gold.  The center piece is adorned with brilliant princess cut diamonds that are invisibly set next to pave set round cut diamonds. These dazzling diamonds are G/H in color, VS2/SI1 in clarity, with the total carat weight  of 3.09 carats. Ideal fashion ring for men who appreciate style and modernity.   "	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/m/rm416-1.jpg"
"R6027"	"14K White Gold Mens Diamond Ring 1.28 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/177/s/14k-white-gold-mens-diamond-ring-1-28-ctw/"	"1250.0000"	"Very simple in design and style, this mens diamond ring is crafted with 14k white gold. The center piece is highlighted with number of princess cut diamonds held on an invisible setting. Another set of invisibly set princess cut diamonds are featured on the opposite sides of this center piece, totaling to 1.28 Ctw. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//R/6/R6027_1.jpg"
"RM389"	"14K White Gold Womens Diamond Wedding Band 1.37 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/178/s/14k-white-gold-womens-diamond-ring-1-37-ctw/"	"1084.0000"	"Sheer grace and femininity bring this 14KT white gold ring to life. Nine beautiful princess cut diamonds are tension-set in between  two parallel prong settings which feature round cut diamonds. Diamonds totaling to 1.37 ct, give this ring a gorgeously sparkling appearance.  "	"new"	"http://www.avianneandco.com/store/media/catalog/product//R/M/RM389_2.JPG"
"R4047"	"14K Yellow Gold Mens Diamond Pinky  Ring 0.35 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/179/s/14k-yellow-gold-mens-diamond-ring-0-29-ctw/"	"584.0000"	"This simple and elegant mens diamond ring is crafted in 14K Yellow Gold. Adorned with five rows of four round cut diamonds the center piece is 1/2 inches (12mm) in width. The round cut diamonds are channel set and are G in color and VS@ in clarity with the total carat weight of 0.35 carats. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//R/4/R4047_2.JPG"
"R019YGC"	"14K Yellow Gold Mens Diamond Ring 1.35 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/180/s/14k-yellow-gold-men-s-diamond-ring-1-35-ctw/"	"2084.0000"	"This Mens Diamond ring is crafted in 14K yellow gold. Very masculine in appearence, this ring is highlighted by a prong set princess cut diamond in the center and a number of round cut diamonds surrounding the center piece. Totaling to 1.35 Ctw, the band glimmers with sophistication and class. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_176.jpg"
"R4644B"	"14K Yellow Gold Mens Diamond Ring 3.23 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/181/s/14k-yellow-gold-men-s-diamond-ring-3-23-ctw/"	"2417.0000"	"This beautiful mens diamond ring is crafted in 14K yellow gold. Bezel set round cut are carefully placed around the center piece which is highlighted with invisibly set princess cut diamonds. VS1/VS2 in clarity and H/I in color, these dazzling stones shine with style and elegance. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//R/4/R4644B_2.JPG"
