"id"	"title"	"link"	"price"	"description"	"condition"	"image_link"
"R361"	"14K White Gold Diamond Wedding Band Set 0.55 ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/269/s/14k-white-gold-diamond-wedding-band-set-0-55-ctw/"	"492.0000"	"This alluring design of style is the perfect addition to your diamond collection! This ring is crafted in 14K white gold. These diamonds are G/H in color and SI1/SI3 in clarity. This exclusive ring features round cut precious stones in a channel setting and the total carat weight of this ring is .55 carats. The middle of the women’s ring measures out to 1/8 inches (3.15mm) in width and men’s measures out to 1/8 inches (3.08mm). The current women’s ring size is 7 1/4 and men’s is 10 1/4. The total gram weight of this featured ring is approximately 6.1grams. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//R/3/R361_1.jpg"
"WRS095A"	"14K White Gold Diamond Wedding Band Set 0.71 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/283/s/14k-white-gold-wedding-band-set-0-71-ctw/"	"2500.0000"	"Pristine, three round cut diamonds, are bezel set in a 14 karat white gold frame, on both men’s and women’s bands. The average color of these diamonds are G/H and the average clarity is VS1/VS2, with a total carat weight of .71 carats. The thickness of these rings is3/4  inches (19mm) for each and they both weight out to a total gram weight of approximately 20 grams. This is an ideal set for him and her. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//w/r/wrs095a-1.jpg"
"R-364"	"14K White Gold Diamond Wedding Band Set 1.53 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/288/s/14k-white-gold-diamond-wedding-band-set-1-53-ctw/"	"2167.0000"	"Beautiful wedding band set is crafted in 14K white gold.  Channel set with a amazing combination of princess and round cut diamonds, that are G/H in color VS2/SI1 in clarity with a total carat weight of 1.53 carats of pristine polished to perfection shimmering diamonds. The width of these rings are 3/8 inches (9mm) with a total gold, gram weight of approximately 10 grams. Classical and elegant in appearance, these are ideal wedding bands for him and her.  "	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/-/r-364-1.jpg"
"RM-366"	"14K White Gold Diamond Wedding Band Set 0.75 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/292/s/14k-white-gold-diamond-wedding-band-set-0-75-ctw/"	"629.0000"	"These bands are adorned with glistening round and baguette cut diamonds, that are G/H in color, SI1/SI2 In clarity, that are channel set, with the total carat weight of .75 carats for both rings. 1/8 inches ( 4mm) in width, the total gold weight for both rings is approximately 7 grams. Highly polished in a 14 karat white gold frame, these classical wedding bands are ideal for him and her. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//R/M/RM-366_1.JPG"
"R-360"	"14K White Gold Diamond Wedding Band Set 0.22 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/377/s/14k-white-gold-diamond-wedding-band-set-0-22-ctw/"	"417.0000"	"This 14K White gold diamond wedding ring band set is a perfect addition to a diamond collection. These exclusive bands are fashioned with channel settings which feature small sparkling round and princess cut diamonds. Shinning with simplicity and elegance, this set makes an ideal gift for him and her. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//R/3/R360_1.jpg"
"R355WY"	"14K White Gold Diamond Wedding Band Set 2.17 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/439/s/14k-white-gold-diamond-bridal-ring-set-2-17-ctw/"	"2167.0000"	"The intricacy of the detailing on these highly polished 14K gold rings accentuates the luster and the brilliance of the flawless princess cut diamonds that are invisible set. Adore her with this perfect diamond engagement ring and wedding band that works in harmony with the Men's diamond wedding band. The total carat weight of these impressive three rings is 2.17 carats. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/3/r355wy-1.jpg"
"RM282"	"14K White Gold Diamond Wedding Band Set 1.82 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/447/s/14k-white-gold-diamond-bridal-ring-set-1-82-ctw/"	"1225.0000"	"These exquisite diamond wedding ring set is crafted in highly polished 14K White Gold. The engagement ring setting features brilliant prong set round cut diamonds around the center piece which will hold the main stone on a prong setting. Two matching wedding bands, for him and for her,  are set with a number of round cut diamonds. This three ring wedding band set is an ideal gift for both occasions."	"new"	"http://www.avianneandco.com/store/media/catalog/product//R/M/RM282_1.jpg"
"R1121"	"14K White Gold Diamond Wedding Band Set 1.25 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/1349/s/14k-white-gold-wedding-band-set-1-25-ctw/"	"917.0000"	"This beautiful wedding band set is crafted in lustrous 14K White Gold. Each ring is channel set with eight brilliant round cut diamonds. These classic diamond rings are ideal matching bands for him and her. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//f/i/file_366_1.jpg"
"R369WY"	"14K White Gold Diamond Wedding Band Set 1.37 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/1854/s/14k-white-gold-diamond-bridal-ring-set-1-37-ctw/"	"1917.0000"	"This exquisite diamond wedding band set is crafted in highly polished 14K White Gold. The womens engagement ring features beautiful center piece with sixteen invisibly set yellow princess cut diamonds. Each side of the band is channel set with four round cut diamonds. In addition, two matching wedding bands for him and her are channel set with yellow and white round cut diamonds.This three ring diamond wedding band set weighs approximately 18.4 grams."	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_23.jpg"
"R355W"	"14K White Gold Diamond Wedding Band Set 2.09 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/1855/s/14k-white-gold-diamond-bridal-ring-set-2-09-ctw/"	"2284.0000"	"This one of a kind diamond wedding band set is crafted in lustrous 14K White Gold. The engagement ring is channel set with six princess cut diamonds and features a square center piece with nine invisibly set princess cut diamonds. The matching wedding bands for him and her are channel set with another set of princess cut diamonds. This exquisite diamond three ring wedding band set weighs approximately 13.2 grams. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/3/r355wy-1a.jpg"
