"id"	"title"	"link"	"price"	"description"	"condition"	"image_link"
"BS8166F"	"Avianne&Co. Mens Flip Collection Diamond Watch 5.58 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/476/s/avianne-and-co-mens-diamond-flip-watch-5-58-ctw/"	"4167.0000"	"Introducing Avianne & CO. Flip Collection. The new and exclusive Flip collection features two watches in one. On both sides of the stainless steel case is yet another timeless expression of style and class. The first side of the dial features brilliant pave set diamonds with five time zones in dark green, light blue, light pink and cream mother of pearl material and black band. The second side of the dial features cream mother of pearl dial with roman numerals and date window on off white color band. Very fashionable and one of a kind mens watch is an ideal every day accessory. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/s/bs8166fg.JPG"
"BS8166E"	"Avianne&Co. Mens Flip Collection Diamond Watch 5.50 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/477/s/avianne-and-co-mens-diamond-flip-watch-5-50-ctw/"	"4917.0000"	"Introducing Avianne & CO. Flip Collection. The new and exclusive Flip collection features two watches in one. On both sides of the stainless steel case is yet another timeless expression of style and class. The first side of the dial features brilliant pave set diamonds with five time zones in cream mother of pearl material and black band. The second side of the dial features light blue mother of pearl dial with roman numerals and date window on blue color band. Very fashionable and one of a kind mens watch is an ideal every day accessory. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//A/1/A16g.jpg"
"13661"	"Avianne&Co. Mens King Collection Diamond Watch  6.29 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/480/s/avianne-and-co-mens-kind-diamond-watch-6-29-ctw/"	"11999.0000"	"Mens timepiece features a shimmering stainless steel case with dark blue leather band. Three encircled mother of pearl sub dials are portrayed on a white chronograph dial. The case is pave set with brilliant round cut diamonds. The clasp is engraved with Avianne and Co. logo. Stylish and masculine, this watch is an ideal every day accessory.  "	"new"	"http://www.avianneandco.com/store/media/catalog/product//1/3/13661a.JPG"
"W13599K"	"Avianne & Co. Mens Ice Trend Diamond Watch 0.20 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/486/s/mens-ice-trend-diamond-watch-0-20-ctw/"	"419.0000"	"Mens gleaming diamond watch features brilliant round cut diamonds on a gold plated stainless steel case. Different colored world face dial features three invisible sub dials and luminous hands. The gold plated deployment clasp on a black leather band is engraved with Ice Trend logo. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/img_5386.jpg"
"W13521B"	"Avianne & Co. Mens Ice Trend Diamond Watch 0.80 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/487/s/mens-ice-trend-diamond-watch-0-80-ctw/"	"565.0000"	"Mens Ice diamond watch features black dial with round cut diamonds pave set on yellow, blue and white settings. The dial also features three sub dials and luminous hands pointing to silver stone hour markers. This timeless piece is held on a black stainless steel band and closes with fold over push bottom deployment clasp. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/img_5368.jpg"
"W13524Y"	"Avianne&Co. Mens  Ice Trend Diamond Watch 0.78 Ctw  "	"http://www.avianneandco.com/store/catalog/product/view/id/488/s/avianne-and-co-mens-ice-trend-diamond-watch-0-78-ctw/"	"779.0000"	"This Ice Trend men’s watch shines with uniqueness and style. Brilliant round cut diamonds are pave set on black dial and around the stainless steel case. The dial features three mother of pearl sub dials, luminous silver tone hands, and window date. The outside of black dial is bezel set with floating colored stones which travel freely around the dial with every wrist movement. This timeless piece with stainless bracelet locks with fold over push button deployment clasp which is engraved with Ice Trend logo. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/img_5373.jpg"
"W13614B"	"Avianne&Co. Mens Ice Trend Diamond Watch 0.82 Ctw  "	"http://www.avianneandco.com/store/catalog/product/view/id/489/s/avianne-and-co-mens-ice-trend-diamond-watch-0-82-ctw/"	"1125.0000"	"Style and fashion portray this exquisitely made men’s ice trend diamond watch. Brilliant round cut diamonds are carefully pave set around the rims of the black stainless steel case and the inside of the dial. The cream mother of pearl dial features three sub dials which are surrounded with small pave set round cut diamonds and date window. Each hour is separated with pave set round cut diamonds on black dial. This timeless piece features black stainless steel band which locks with fold over push button deployment clasp, engraved with Ice Trend Logo. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/img_5370.jpg"
"W13614D"	"Avianne&Co. Mens Ice Trend Diamond Watch 0.36 Ctw  "	"http://www.avianneandco.com/store/catalog/product/view/id/490/s/avianne-and-co-mens-ice-trend-diamond-watch-0-36-ctw/"	"250.0000"	"This Ice Trend men’s watch shines with uniqueness and style.  Brilliant round cut diamonds are carefully pave set around the rims of the stainless steel case and the inside of the dial. The cream mother of pearl dial features three sub dials which are surrounded with small pave set round cut diamonds and date window. Each hour is separated with pave set round cut diamonds. This timeless piece features black leather band which locks with deployment clasp, engraved with Ice Trend Logo. This is an ideal every day fashion accessory."	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/img_5385.jpg"
"W13588"	"Avianne&Co. Mens Ice Trend Diamond Watch 0.20 Ctw  "	"http://www.avianneandco.com/store/catalog/product/view/id/491/s/avianne-and-co-mens-ice-trend-diamond-watch-0-20-ctw/"	"417.0000"	"This Ice Trend men’s watch shines with uniqueness and style. Brilliant round cut diamonds are pave set on the dial and around the stainless steel case. The dial features three mother of pearl sub dials and luminous white hands. The outside of the dial is bezel set with floating  multi color stones. This timeless piece locks with fold over push button deployment clasp which is engraved with Ice Trend logo. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//w/1/w13588w-3.jpg"
"W13521D"	"Avianne&Co. Mens Ice Trend Diamond Watch 0.20 Ctw  "	"http://www.avianneandco.com/store/catalog/product/view/id/492/s/avianne-and-co-mens-ice-trend-diamond-watch-0-20-ctw/"	"375.0000"	"This uniquely designed Avianne and Co. watch comes with a one year mechanical warranty. The mother of pearl dial features three sub dials with a date window indicator between a four and five o'clock position and surrounded with multi colored crystals. The green luminous hands point to silver tone hour markings. The stainless steel case is set with a removable bezel which is pave set with small round cut diamonds. The stainless steel bracelet securely locks with a fold over clasp with two push bottons which is engraved with an Avianne and Co. logo. For additional information please dial our toll free phone number. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//w/1/w13521d.jpg"
"W23529B"	"Avianne&Co. Mens Ice Trend Diamond Watch 0.13Ctw  "	"http://www.avianneandco.com/store/catalog/product/view/id/493/s/avianne-and-co-mens-ice-trend-diamond-watch-0-13ctw/"	"250.0000"	"This Ice Trend men’s watch shines with uniqueness and style. The inside of the black world map dial is pave set with white crystals which resemble small round diamonds. The luminous hands, moving every second and every hour, are set upon silver tone map.  The outside of black dial is bezel set with floating stones which travel freely around the dial with every wrist movement. This timeless piece locks with fold over push button deployment clasp which is engraved with Ice Trend logo. Pave set small round diamonds are carefully placed in four sections on the bottom of the black stainless steel case. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/img_5378.jpg"
"W23523B"	"Avianne&Co. Womens  Ice Trend Diamond Watch .20 Ctw  "	"http://www.avianneandco.com/store/catalog/product/view/id/494/s/avianne-and-co-womens-ice-trend-diamond-watch-20-ctw/"	"334.0000"	"Brilliant Avianne and Co women’s ice trend watch portrays uniqueness and style. The inside of the world map dial and pave set with white, yellow, blue and black crystals which resemble small round diamonds. The luminous white hands, moving every second and every hour, are set upon colored map.  The outside of dial is bezel set with floating colored stones which travel freely around the dial with every wrist movement. The rims of the case are pave set with brilliant small round cut diamonds set in rows of two. This timeless piece with black stainless steel navi-timer style bracelet locks with invisible fold over  deployment clasp which is engraved with Ice Trend logo. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//I/M/IMG_5376.jpg"
