"Manufacturer Part #"	"Manufacturer"	"Product Name"	"Product Description"	"Category: Nextag Numeric ID"	"Price"	"Product Condition"	"MSRP"	"Stock Status"	"Click-Out URL"	"Image URL"
"R3811"	"Avianne & Co"	"14K White Gold Womens Diamond Wedding Band 0.49 Ctw"	"Seventeen brilliant round cut diamonds G/H in color and SI2 in clarity are pave set in a crisscross design. The width of this band 3/8 inches with a total weight of 4 grams. This simple and elegant 14K white gold womens wedding band is an ideal gift for that special day."	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	309	"new"	925	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/169/s/14k-white-gold-womens-diamond-wedding-band-0-49-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/3/R3811_1.jpg"
"R4047"	"Avianne & Co"	"14K Yellow Gold Mens Diamond Pinky  Ring 0.35 Ctw "	"This simple and elegant mens diamond ring is crafted in 14K Yellow Gold. Adorned with five rows of four round cut diamonds the center piece is 1/2 inches (12mm) in width. The round cut diamonds are channel set and are G in color and VS@ in clarity with the total carat weight of 0.35 carats. "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	584	"new"	1750	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/179/s/14k-yellow-gold-mens-diamond-ring-0-29-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/4/R4047_2.JPG"
"R-299"	"Avianne & Co"	"14K White Gold Mens Diamond Ring 1.21 Ctw"	"Very stylish and elegant mens ring is crafted in 14K white gold. Square centerpiece features four invisibly set princess cut diamonds with a number of pave set round cut diamonds around it. The screw motif design adds to the bands uniqueness and elegance. "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	659	"new"	1975	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/186/s/14k-white-gold-mens-diamond-ring-1-21-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_280.jpg"
"ER0037Y"	"Avianne & Co"	"14K Yellow Gold Yellow Diamond Stud Earrings 0.89 Ctw "	"These 14 karat Gold Diamond Stud Earrings features Flawless Princess cut yellow in color, SI1/SI2 in clarity precious stones, for a total carat weight of .89 carats. Sixteen princess cut yellow diamonds are invisibly set on each earring. The measurements of these  earrings are 1/4 inches (6mm) in width and length, for a total gram weight of approximately 3 grams. Ideal for both ladies and men for a very affordable price. "	"                 2700319 : More Categories / Clothing & Accessories / Jewelry & Watches / Earrings "	584	"new"	1750	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/220/s/14k-yellow-gold-unisex-stud-earrings-0-89-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//E/R/ER0037Y_1.JPG"
13268	"Avianne & Co"	"14K White Gold Mens Diamond Cufflinks 0.65 Ctw "	"These simple and elegant mens cuff links are crafted in polished 14K white gold. The centerpiece is set with round cut diamonds held by channel and prong settings. These cuff links shine with  brilliant stones which are are are G in color and VS1 in clarity. "	"                 2700324 : More Categories / Clothing & Accessories / Jewelry & Watches / Pendants "	792	"new"	2375	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/223/s/14k-white-gold-mens-diamond-cufflinks-0-65-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/3/13268_1.JPG"
"E007B"	"Avianne & Co"	"14K White Gold Blue Diamond Stud Earrings 0.81 Ctw "	"These unisex earrings are crafted in highly polished 14K white gold.They feature brilliant invisibly set blue in color, SI1/SI2 in clarity precious princess cut stones, for a total carat weight of .81 carats. The length and width of the center piece measures to approximately 5/16 Inches, and they weigh 16 grams. Ideal for both men and women, these earrings portray uniqueness and sense of style. "	"                 2700319 : More Categories / Clothing & Accessories / Jewelry & Watches / Earrings "	917	"new"	2750	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/227/s/14k-white-gold-unisex-diamond-earrings-0-81-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//e/0/e007b-1.jpg"
"R058"	"Avianne & Co"	"14K White Gold Womens Five Stone Diamond Anniversary Ring 0.34 Ctw"	"This 14K White Gold Diamond Anniversary Ring is shining with simplicity and elegance. The channel setting features five sparkling round cut diamonds. This band could be an ideal wedding or an anniversary gift."	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	384	"new"	1150	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/229/s/14k-white-gold-womens-diamond-anniversary-ring-0-34-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/0/r058-1_1.jpg"
"C10447"	"Avianne & Co"	"14K White Gold Womens Diamond Solitaire Pendant  0.15 ctw"	"This 14k gold women's diamond pendant features a round cut prong set 0.15 ct diamond. This beautiful pendant comes with a chain. "	"                 2700324 : More Categories / Clothing & Accessories / Jewelry & Watches / Pendants "	384	"new"	1150	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/231/s/14k-white-gold-womens-diamond-pendant-0-15-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//c/1/c10447-1.jpg"
"P5884"	"Avianne & Co"	"14KT White Gold Womens Diamond Pendant 0.74 Ctw"	"This 14k white gold cross pendant is remarkably brilliant! This white diamond cross pendant features a gorgeous 0.44 carats of round cut diamonds pave set into a 14k white gold frame. Perfect for any woman with a taste for luxury. This lovely diamond pendant comes with a beautiful chain. 
"	"                 2700324 : More Categories / Clothing & Accessories / Jewelry & Watches / Pendants "	859	"new"	2575	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/234/s/14kt-white-gold-womens-diamond-pendant-0-74-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//p/5/p5884-1.jpg"
"R5920W"	"Avianne & Co"	"14K White Gold Mens Diamond Ring 0.57 Ctw "	"This simple and elegant mens diamond ring is crafted in 14K white gold. Carrying a total of 0.57 ctw, the center piece is set with brilliant VS1/VS2 invisibly set princess cut diamonds. The width of this center piece is approximately 18 mm. An ideal mens ring at a very affordable price. "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	799	"new"	2375	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/239/s/14k-white-gold-mens-diamond-ring-0-57-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/5/R5920W_2.JPG"
"R5460B"	"Avianne & Co"	"14K White Gold Mens Blue Diamond Ring 0.90 Ctw "	"This featured 14 karat white gold diamond ring is simple yet very refined. Featuring blue in color SI1/SI3 in clarity diamonds that are channel set in this regal design. The total carat weight of this  ring is 0.90 carats of sparkling precious stones. The width of the center piece is approximately 10mm. .This is an ideal ring for those who appreciate uniqueness and simplicity. "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	717	"new"	2150	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/255/s/14k-white-gold-mens-diamond-ring-0-90-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-2_64.jpg"
"ER0338YR"	"Avianne & Co"	"14K Rose Gold Cluster Yellow Diamond Stud Earrings 1.27 Ctw "	"These cluster diamond earring studs are crafted in highly polished 14K rose gold. Each earring  holds seven brilliant yellow round cut diamonds on a prong setting. Lovely in appearance, these beautiful studs  total to 1.27 carats and weigh approximately 3 grams. These are are ideal for both men and women. "	"                 2700319 : More Categories / Clothing & Accessories / Jewelry & Watches / Earrings "	919	"new"	2750	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/256/s/14k-yellow-gold-unisex-earrings-1-27-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//E/R/ER0338Y_1.JPG"
"ER0227"	"Avianne & Co"	"14K White Gold Yellow Diamond Stud Earrings 0.55 Ctw "	"These simple yet very appealing diamond earring studs are crafted in 14k white gold. Four yellow princess cut diamonds are invisibly set in the center of each earring. Totaling to 2.3 grams, these earrings carry a total weight of 0.55 carats. Ideal men and women studs at an affordable price. "	"                 2700319 : More Categories / Clothing & Accessories / Jewelry & Watches / Earrings "	234	"new"	700	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/257/s/14k-white-gold-unisex-earrings-0-55-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//E/R/ER0227_1.JPG"
"ER0226"	"Avianne & Co"	"14K White Gold Yellow Diamond Stud Earrings 0.51 Ctw "	"These simple yet very appealing diamond stud earrings are crafted in 14k white gold. Four yellow princess cut diamonds are invisibly set in the center of each earring. Totaling to 2.3 grams, these earrings carry a total weight of 0.51 carats. These affordable studs are ideal for both men and women. "	"                 2700319 : More Categories / Clothing & Accessories / Jewelry & Watches / Earrings "	359	"new"	1075	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/258/s/14k-white-gold-unisex-earrings-0-51-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//E/R/ER0226_2.JPG"
"P0014"	"Avianne & Co"	"14K White Gold Womens Diamond Heart Pendant 0.10 ctw"	"This 14k white gold women's diamond heart pendant features a 0.10 carat of round cut bezel set diamond. This lovely diamond pendant comes with a matching white gold chain."	"                 2700324 : More Categories / Clothing & Accessories / Jewelry & Watches / Pendants "	267	"new"	800	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/260/s/14k-white-gold-womens-diamond-pendant-0-10-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//p/0/p0014-1_1.jpg"
"R-662"	"Avianne & Co"	"14K Yellow Gold Diamond Bridal Ring Set 0.60 Ctw"	"This 14k yellow gold diamond wedding ring set with princess cut diamonds features exquisite 0.60 carats of sparkling round cut diamonds set in a prong setting. This wedding set is a true piece of art that is both versatile and attractive. Bring joy to your loved one with this beautiful piece! 

"	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	675	"new"	2025	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/263/s/14k-yellow-gold-womens-bridal-engagement-ring-set-0-60-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/6/R662_1.jpg"
"R3783C"	"Avianne & Co"	"14K Rose Gold Diamond Bridal Ring Set 0.96 Ctw"	"These princess cut to perfection diamonds are invisible set  forming a one of a kind centerpiece dazzling with brilliance gently accentuated by the cluster of princess cut diamonds invisibly set along the shank and offset by classic rosegold topped off with a professional polished finish for a one of a kind diamond engagement ring set complete with a matching wedding band for a truly breathtaking bridal set. The total carat weight of these impressive rings is 0.96 carats. "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	917	"new"	2750	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/266/s/14k-rose-gold-womens-diamond-bridal-ring-set-0-96-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/3/R3783C_1.jpg"
"R5920"	"Avianne & Co"	"14K Rose Gold Mens Diamond Ring 0.57 Ctw"	"Very classy and elegant this  14 karat rose gold diamond ring is poised with true quality and craftsmanship. Three rows of three princess cut diamonds are invisibly set in the middle of the design. In addition,  two princess cut diamonds invisible set on both sides of the center. The center piece measures to  is 3/4 inches (18mm) in width. The average color of these precious stones is G/H with the average clarity of VS1/VS2. Carrying a total carat weight of 0.57 ct, this ring weighs approximately 11 grams. This is an ideal mens ring at a very affordable prince. "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	792	"new"	2375	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/267/s/14k-rose-gold-mens-diamond-ring-0-57-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/5/R5920_1.JPG"
"R361"	"Avianne & Co"	"14K White Gold Diamond Wedding Band Set 0.55 ctw"	"This alluring design of style is the perfect addition to your diamond collection! This ring is crafted in 14K white gold. These diamonds are G/H in color and SI1/SI3 in clarity. This exclusive ring features round cut precious stones in a channel setting and the total carat weight of this ring is .55 carats. The middle of the women's ring measures out to 1/8 inches (3.15mm) in width and men's measures out to 1/8 inches (3.08mm). The current women's ring size is 7 1/4 and men's is 10 1/4. The total gram weight of this featured ring is approximately 6.1grams. "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	492	"new"	1475	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/269/s/14k-white-gold-diamond-wedding-band-set-0-55-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/3/R361_1.jpg"
"E007BR"	"Avianne & Co"	"14K Rose Gold Blue Diamond Stud Earrings 0.81 Ctw "	"This perfect set of Princess cut diamond stud earrings is held securely in 14k yellow gold with invisibly settings and a tight screw back closure. The brilliant diamond stud earrings feature amazing invisibly set blue in color, SI1/SI2 in clarity precious stones, for a total carat weight of .81 ct. The measurements of the center piece are 1/4 inches (6mm) in width and length, for a total gram weight of approximately 3 grams. Pristine and absolutely mesmerizing, our diamond studs are an everlasting display of beauty and excellence for both men and women."	"                 2700319 : More Categories / Clothing & Accessories / Jewelry & Watches / Earrings "	919	"new"	2750	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/270/s/14k-rose-gold-unisex-earrings-0-81-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//E/0/E007BR_1.JPG"
"R252"	"Avianne & Co"	"14k White Gold Diamond Engagement Ring 1.28 ctw"	"This gorgeous 14 karat white gold diamond engagement ring is perfect for that one special occasion. The diamonds are G/H in color and SI1/SI2 in clarity. This ring features an invisible, pave, prong and bezel settings. These precious stones are princess and round cut in this regal design, with a total carat weight of 1.28 ctw. This gorgeous ring measures out to 1/4 inches (6mm) in width and is currently sized 6 1/2. The total gram weight of this charming ring is approximately 5.82 grams. "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	959	"new"	2875	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/273/s/14k-white-gold-womens-diamond-engagement-ring-1-28-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/2/R252_2.jpg"
14818	"Avianne & Co"	"14K White Gold Womens Diamond Wedding Band 0.40 ctw"	"This 14k gold diamond women's wedding band features exquisite 0.40 carats of sparkling round cut diamonds set in lustrous and detailed 14K solid gold. Buy this wonderful gift for the love of your life! "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	549	"new"	1625	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/276/s/14k-white-gold-womens-diamond-wedding-band-0-40-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/4/14818_1.jpg"
"R5445"	"Avianne & Co"	"18K White Gold Womens Diamond Wedding Band 1.27 Ctw "	"This impressive 18 karat highly polished, white gold diamond ring, is adorned with beautiful round cut diamonds that are pave set in 6 rows of five, complementing the baguette cut invisible set precious diamonds, for a total carat weight of 1.27 carats. The color if these gorgeous diamonds are G/H and the clarity SI1/SI2 for a nice and clean shine. This regal ring measures out to Â¼ inches (7mm) in width, for a total gram weight of approximately 6 grams. "	"2700318 : More Categories / Clothing & Accessories / Jewelry & Watches / Rings"	825	"new"	2475	"Yes"	"http://www.avianneandco.com/store/catalog/product/view/id/279/s/18k-white-gold-womens-wedding-band-1-25-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/5/R5445_2.JPG"
