"id"	"title"	"link"	"price"	"description"	"condition"	"image_link"
"E9722 "	"Chocolate Pearl Black Diamond Gemstone Earrings in Rose Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8800/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"779.0000"	"A beautiful 8mm chocolate pearl sits in the center of these lovely earrings surrounded by brilliant round cut black diamonds."	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/9/e9722a.jpg"
"E9721 "	"Chocolate Pearl Black Diamond Gemstone Earrings in Rose Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8801/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"529.0000"	"A beautiful 8mm chocolate pearl sits in the center of these lovely earrings surrounded by brilliant round cut black diamonds."	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/9/e9721a.jpg"
"ESC9362S "	"Smoky Quartz Diamond Drop Gemstone Earrings in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8802/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"369.0000"	"These beautiful 14k white gold earrings features 2 lovely princess cut smoky quartz gemstones surrounded by brilliant round cut diamonds. The color of the diamonds are H/I and the clarity is SI2/SI3."	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/s/esc9362sa.jpg"
"ESC9359 "	"Citrine Diamond Designer Gemstone Earrings in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8803/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"419.0000"	"This 14k white gold pair of earrings feature 2 pear shaped citrine gemstones surrounded by brilliant round cut diamonds. The color of the diamonds are G/H and the clarity is SI2/SI3."	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/s/esc9359a.jpg"
"S45657C "	"Citrine Diamond Gemstone Earrings in Yellow Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8804/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"509.0000"	"This lovely pair of earrings features oval shaped checkerboard citrine gemstones surrounded by brilliant round cut diamonds. The color of the diamonds are G/H and the clarity is SI2/SI3.
"	"new"	"http://www.avianneandco.com/store/media/catalog/product//s/4/s45657ca.jpg"
"E34276 "	"Lemon Quartz Diamond Designer Gemstone Earrings in Yellow Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8805/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"629.0000"	"This beautiful design features 2 oval shaped checkerboard lemon quartz gemstones sitting in the center surrounded by 1 row of brilliant round cut diamonds in a 14k yellow gold prong setting. The color of the diamonds are H/I and the clarity is SI2/SI3."	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/3/e34276a.jpg"
"S45679P "	"Purple Amethyst Diamond Gemstone Earrings in Rose Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8806/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"369.0000"	"These beautiful 14k rose gold earrings will make great for any occasion with its large checkerboard purple amethyst gemstones surrounded by brilliant round cut diamonds. The color of the diamonds are G/H and the clarity is SI2/SI3."	"new"	"http://www.avianneandco.com/store/media/catalog/product//s/4/s45679pb.jpg"
"E3193R "	"Ruby Diamond Gemstone Earrings in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8807/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"539.0000"	"This lovely pair of earrings features brilliant round cut diamonds surrounded by bezel set rubies in a 14k white gold setting. The color of the diamonds are G/H and the clarity is SI2/SI3."	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/3/e3193ra.jpg"
"SE07489 "	"Multi Colored Gemstone Diamond Designer Earrings in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8808/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"839.0000"	"These earrings add a touch of colorful sparkle that can be enjoyed for a lifetime! These beautiful earrings feature 3 different colored gemstones in a prong setting separated by brilliant round cut diamonds in this handcrafted 14k white gold frame. The color of the diamonds are G/H and the clarity is SI2/SI3.
"	"new"	"http://www.avianneandco.com/store/media/catalog/product//s/e/se07489a.jpg"
"E0015038 "	"Turquoise Diamond Heart Gemstone Earrings in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8809/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"529.0000"	"Show the one you love how much you care with these beautiful Heart Earrings. This design features heart shaped pearls and turquoise gemstones surrounded by brilliant round cut diamonds in a 14k white gold prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3."	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/0/e0015038a.jpg"
"E15823GJ "	"Jade Diamond Heart Gemstone Earrings in Yellow Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8810/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"379.0000"	"Show the one you love how much you care with these beautiful Heart Earrings. This design features heart shaped jade gemstones surrounded by brilliant round cut diamonds in a 14k yellow gold prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3."	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/1/e15823gja.jpg"
"ER2604"	"14K Yellow Gold Womens Diamond Garnet Earrings 1.54 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/8954/s/14k-yellow-gold-womens-diamond-garnet-earrings-1-54-ctw/"	"499.0000"	"These beautiful womens diamond earrings are crafted in lustrous 14K yellow gold. These earrings are prong set with two oval shaped garnet stones which total to 1.50 carats. Small round cut diamonds are placed on top of each gemstone and total to additional 0.04 carats. The frame measures to 19 mm in length and 5 mm in width. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/r/er2604-1.jpg"
"E00160A"	"Coral Diamond Heart Gemstone Earrings in Yellow Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/9012/s/14k-yellow-gold-womens-diamond-garnet-earrings-1-54-ctw/"	"649.0000"	"The center of these earrings contain beautiful coral heart shaped gemstones surrounded by yellow shells and brilliant round cut diamonds in a prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3."	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/0/e00160aa_1.jpg"
"E0018463 "	"Yellow Shell Diamond Gemstone Earrings in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/9013/s/14k-yellow-gold-womens-diamond-garnet-earrings-1-54-ctw/"	"339.0000"	"This simple pair of earrings will get the message across with its shinning yellow shell gemstone surrounded by brilliant round cut diamonds in a prong setting. The color of the diamonds are H/I and the clarity is SI2/SI3."	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/0/e0018463a.jpg"
"S9492PS "	"Pink Sapphire Diamond Gemstone Earrings in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/9346/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"1389.0000"	"Catch a lot of attention with this fabulous design! Handcrafted in beautiful 14k white gold, these earrings feature dazzling round cut diamonds surrounding vibrant pink sapphire gemstone in a lovely invisible setting. The color of the diamonds are G/H and the clarity is SI2/SI3."	"new"	"http://www.avianneandco.com/store/media/catalog/product//s/9/s9492psa.jpg"
