"id"	"title"	"link"	"price"	"description"	"condition"	"image_link"
"P9720 "	"Chocolate Pearl Black Diamond Gemstone Pendant in Rose Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8787/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"279.0000"	"This amazing 14k rose gold pendant features a lovely fresh water chocolate pearl surrounded by brilliant round cut black diamonds in a prong setting. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/9/p9720a.jpg"
"P34276 "	"Lemon Quartz Diamond Designer Gemstone Pendant in Yellow Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8788/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"339.0000"	"An amazing 7.05ct checkerboard lemon quartz gemstone sits in the center in a 4 prong setting surrounded by 1 row of brilliant round cut diamonds. The color of the diamonds are G/H and the clarity is SI3/I1. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/3/p34276a.jpg"
"S45658C "	"Citrine Diamond Designer Gemstone Pendant in Yellow Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8789/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"339.0000"	"A beautiful 1.67ct oval shaped checkerboard citrine gemstone sits in the center in a 4 prong setting surrounded by brilliant round cut diamonds. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//s/4/s45658ca.jpg"
"S45678P "	"Purple Amethyst Diamond Designer Gemstone Pendant in Rose Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8790/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"289.0000"	"A lovely 3.17ct checkerboard purple amethyst gemstone sits in the center in a 4 prong setting surrounded by brilliant round cut diamonds. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//s/4/s45678pa.jpg"
"P3050 "	"Green Garnet Diamond Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8796/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"199.0000"	"This unique pendant features brilliant round cut diamonds and green garnet gemstones in a 14k white gold prong setting. The color of the diamonds are G/H and the clarity is SI1/SI2. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/3/p3050a_1.jpg"
"P25675"	"14K White Gold Womens Diamond Emerald Pendant 23.79 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/8817/s/14k-white-gold-womens-diamond-emerald-pendant-23-79-ctw/"	"9499.0000"	"Be unique and stand out in the crowd with this exquisite womens diamond pendant which is handcrafted in lustrous 14K white gold. The center is prong set with one large emerald cut green emerald gemstone which weighs 20.00 carats. The gemstone is beautifully highlighted with brilliant round cut diamonds which total to additional 3.79 carats. The frame measures to 1 3/8 inches in length and 7/8 inches in width. Weighing 18.2 grams, this pendant is an ideal accessory for a special night out.  NOTE: This chain is for illustration purposes only and may be purchased separately under Item# CH126176"	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/2/p25675-1.jpg"
"SS022742 "	"Lemon Quartz Diamond Circle Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8910/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"409.0000"	"The spectacular pendant features a large and noticeable lemon quartz gemstone surrounded by brilliant round cut diamonds and citrine gemstones. The color of the diamonds are H/I and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//s/s/ss022742a.jpg"
"P8947 "	"Lemon Quartz Diamond Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8911/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"799.0000"	"Be the center of attention with this outstanding piece of jewelry! This handcrafted 14k white gold pendant features a large and noticeable pear shaped checkerboard cut lemon quartz gemstone surrounded by 2 rows of dazzling brilliant round cut diamonds in a prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/8/p8947a.jpg"
"PSC8587L "	"Lemon Quartz Diamond Designer Gemstone Pendant in Yellow Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8912/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"639.0000"	"This finely polished 14k yellow gold pendant features a beautiful 6.37ct lemon quartz gemstone in the center surrounded by 1 row of brilliant round cut diamonds in a prong setting. The color of the diamonds are G/H and the clarity is SI3/I1. *This pendant comes with a free 18 inch silver necklace.
"	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/s/psc8587la.jpg"
"PSC8586 "	"Smoky Quartz Diamond Designer Gemstone Pendant in Yellow Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8913/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"729.0000"	"This pendant makes a stunning addition to any jewelry collection! Handcrafted in 14k yellow gold this pendant features an alluring 10.93ct smoky quartz gemstone in the center surrounded by a row of brilliant round cut diamonds in a prong setting. The color of the diamonds are G/H and the clarity is SI3/I1. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/s/psc8586a.jpg"
