"id"	"title"	"link"	"price"	"description"	"condition"	"image_link"
"GP0368 "	"Purple Amethyst Crystal Flower Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8981/s/purple-amethyst-crystal-flower-gemstone-pendant-in-white-gold/"	"199.0000"	"This unique design features marquise cut purple amethyst with a checkerboard cut crystal in the center of this 14k white gold frame. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//g/p/gp0368a.jpg"
"P07869 "	"Multi Colored Gemstone Designer Pendant in Yellow Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8984/s/purple-amethyst-crystal-flower-gemstone-pendant-in-white-gold/"	"159.0000"	"This unique design features brilliant round cut green garnet, pink and blue sapphires in a prong setting. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/0/p07869a.jpg"
"GP0652 "	"Amethyst Cross Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/9137/s/amethyst-cross-gemstone-pendant-in-white-gold/"	"479.0000"	"Treat yourself to this colorful treasure! Handcrafted in beautiful 14k white gold this pendant features lovely pear cut amethyst gemstones in a unique flower pattern. The pendant also features dazzling citrine gemstones scattered around the pendant. *This pendant comes with a free 18 inch silver necklace.
"	"new"	"http://www.avianneandco.com/store/media/catalog/product//g/p/gp0652a_1.jpg"
"BR25729"	"14K Yellow Gold Womens Gemstone Bracelet 7.50 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/9158/s/14k-yellow-gold-womens-gemstone-bracelet-7-50-ctw/"	"839.0000"	"This exquisite womens gemstone bracelet is handcrafted in lustrous 14K yellow gold. Multi colored oval shaped semi precious stones are bezel set all the way across the frame and total to 7.50 carats. The bracelet measures to 7 inches in length and 7 mm in width. Weighing 9 grams, this bracelet is an ideal addition to any gemstone jewelry collection. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br25729-1.jpg"
"P25757"	"Black Swarovski Crystal Hamsa Pendant"	"http://www.avianneandco.com/store/catalog/product/view/id/9197/s/black-swarovski-crystal-hamsa-pendant/"	"589.0000"	"This large Hamsa Pendant is crafted in silver. The beautifully designed pendant is detailed with micro set small round cut black swarovski crystals. The pendant measures to 2 1/8 inches in length and 1 3/8 inches in width. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/2/p25757-1.jpg"
"P25752"	"Black and White Swarovski Crystal Hamsa Pendant"	"http://www.avianneandco.com/store/catalog/product/view/id/9198/s/black-swarovski-crystal-hamsa-pendant/"	"369.0000"	"This large Hamsa Pendant is crafted in silver. The beautifully designed pendant is detailed with micro set small round cut black and white swarovski crystals. The pendant measures to 1 1/2 inches in length and 3/4 inches in width. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/2/p25752-1.jpg"
"P25748"	"Pink Swarovski Crystal Ball Bead Pendant "	"http://www.avianneandco.com/store/catalog/product/view/id/9199/s/black-swarovski-crystal-hamsa-pendant/"	"339.0000"	"This exquisite womens ball bead pendant is crafted in silver. Small pink swarovski crystals are carefully micro set all the way around the ball and it measures to 16 mm in diameter. The pendant comes with a silver chain which is plated in black rhodium and measures to 16 inches in length. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/2/p25748-1.jpg"
"P25747"	"Black Swarovski Crystal Hamsa Pendant with Rubies"	"http://www.avianneandco.com/store/catalog/product/view/id/9200/s/black-swarovski-crystal-hamsa-pendant/"	"419.0000"	"This large Hamsa Pendant is crafted in silver. The beautifully designed pendant is detailed with micro set small round cut black swarovski crystals. The Star of David is outlined with red rubies. The pendant measures to 1.5 inches in length and 1 inches in width. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/2/p25747-1.jpg"
"P25744"	"White Swarovski Crystal Ball Bead Pendant "	"http://www.avianneandco.com/store/catalog/product/view/id/9201/s/black-swarovski-crystal-hamsa-pendant/"	"299.0000"	"This exquisite womens ball bead pendant is crafted in silver. White swarovski crystals are carefully micro set all the way around the ball and it measures to 12 mm in diameter. The pendant comes with a matching silver chain which measures to 16 Inches in length."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/2/p25744-1.jpg"
"P25743"	"Pink Swarovski Crystal Ball Bead Pendant "	"http://www.avianneandco.com/store/catalog/product/view/id/9202/s/black-swarovski-crystal-hamsa-pendant/"	"249.0000"	"This exquisite womens ball bead pendant is crafted in silver. Small pink swarovski crystals are carefully micro set all the way around the ball and it measures to 10 mm in diameter. The pendant comes with a matching silver chain which measures to 16 Inches in length."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/2/p25743-1.jpg"
"P25745"	"Black Swarovski Crystal Ball Bead Pendant "	"http://www.avianneandco.com/store/catalog/product/view/id/9203/s/black-swarovski-crystal-hamsa-pendant/"	"249.0000"	"This exquisite womens ball bead pendant is crafted in silver. Small black swarovski crystals are carefully micro set all the way around the ball and it measures to 10 mm in diameter. The pendant comes with a matching silver chain which measures to 16 Inches in length."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/2/p25745-1.jpg"
"P25746"	"White Swarovski Crystal Ball Bead Pendant "	"http://www.avianneandco.com/store/catalog/product/view/id/9204/s/black-swarovski-crystal-hamsa-pendant/"	"249.0000"	"This exquisite womens ball bead pendant is crafted in silver. White swarovski crystals are carefully micro set all the way around the ball and it measures to 10 mm in diameter. The pendant comes with a matching silver chain which measures to 16 Inches in length."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/2/p25746-1.jpg"
"ER25750"	"White and Black Swarovski Crystal Ball Bead Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/9205/s/white-and-black-swarovski-crystal-ball-bead-earrings/"	"339.0000"	"Added to our new collection, these beautiful womens ball bead earrings are crafted in silver. The balls are micro set with beautiful white and black swarovski crystals and they measure to 12 mm in diameter. The frame measures to 1 inches in length and securely locks with push back closure. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/r/er25750-1.jpg"
"ER25749"	"Pink and White Swarovski Crystal Ball Bead Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/9206/s/pink-and-white-swarovski-crystal-ball-bead-earrings/"	"339.0000"	"Added to our new collection, these beautiful womens ball bead earrings are crafted in silver. The balls are micro set with beautiful white and pink swarovski crystals and they measure to 10 mm in diameter. The frame measures to 1 inches in length and securely locks with push back closure. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/r/er25749-1.jpg"
"ER25751"	"Purple and White Swarovski Crystal Ball Bead Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/9207/s/purple-and-white-swarovski-crystal-ball-bead-earrings/"	"339.0000"	"Added to our new collection, these beautiful womens ball bead earrings are crafted in silver. The balls are micro set with beautiful white and purple swarovski crystals and they measure to 12 mm in diameter. The frame measures to 1 inches in length and securely locks with push back closure. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/r/er25751-1.jpg"
"BR25742"	"Shamballa Style Black Onyx Ball Bead Bracelet with Black Swarovski Crystals "	"http://www.avianneandco.com/store/catalog/product/view/id/9209/s/black-onyx-ball-bead-bracelet-with-black-swarovski-crystals/"	"749.0000"	"Stand out and be the center of attention with our new onyx ball bead bracelet which measures to 8 inches in length. The silver ball in the center measures to 14 mm in diameter and features small micro set black swarovski crystals. Eight additional onyx ball beads are placed all the way across the frame. The adjustable red bracelet is detailed with one small onyx stone and one small silver ball. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br25742-1.jpg"
"BR25739"	"Shamballa Style Red Ruby Ball Bead Bracelet "	"http://www.avianneandco.com/store/catalog/product/view/id/9211/s/red-ruby-ball-bead-bracelet/"	"1169.0000"	"Stand out and be the center of attention with our new onyx ball bead bracelet which measures to 8 inches in length. The silver balls measure to 12 mm in diameter and feature small micro set red rubies.  The adjustable black bracelet is detailed with two small black onyx stones. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br25739-1.jpg"
