"id"	"title"	"link"	"price"	"description"	"condition"	"image_link"
"LD2870"	"14K Two Tone Womens Diamond Ruby Ring 0.34 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/404/s/14k-two-tone-womens-diamond-ring-with-ruby-0-34-ctw/"	"292.0000"	"This 14K shines with polished two tone, yellow and white, gold. The center piece, framed with gold, is featuring four natural square ruby gemstones. Brilliant pave-set round cut diamonds surround the center piece. White gold of this band features another set of diamonds which are held by a channel setting. This is an ideal every day fashion ring which glisters with style and personality. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//l/d/ld2870_1.jpg"
"LD2842"	"14K Two Tone Gold Womens Diamond Ruby Ring 0.25 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/405/s/14k-two-tone-gold-womens-diamond-ring-with-ruby-0-25-ctw/"	"384.0000"	"This 14K Women’s Diamond Ring takes a shape of a bowtie filled with sparkling diamonds and natural ruby gemstones in the center. Ruby gemstones are aligned in the center of a gold frame while the bowtie sparkles with a set of round cut diamonds featured on a pave and bezel setting. This is an ideal everyday fashion ring that stands out due to its uniqueness and originality. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//l/d/ld2842_2.jpg"
"R494"	"14K Yellow Gold Womens Diamond Sapphire Ring 0.75 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/414/s/14k-yellow-gold-womens-diamond-ring-with-sapphire-0-75-ctw/"	"834.0000"	"This 14K Women’s fashion ring is crafted with majestic design. Four natural sapphire gemstones are framed in a box around sparkling diamonds. This center piece is set on yellow gold band with another set of diamonds from each side. Glistering with beauty and elegance, this is an ideal fashion ring for an everyday wear. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/4/r494-1.jpg"
"R62"	"14K White Gold Womens Diamond Sapphire Ring 0.43 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/993/s/14k-white-gold-womens-diamond-gemstone-ring-0-43-ctw/"	"792.0000"	"This unique womens diamond sapphire ring is crafted in polished 14K white gold. The center is pave set with nine round cut sapphire gemstones with a number of pave set round cut diamonds surrounding it. This lovely womens cocktail ring is an every day diamond fashion accessory."	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/6/r62-1_1.jpg"
"R4850"	"14K White Gold Womens Diamond Wedding Band 1.27 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/997/s/14k-white-gold-womens-diamond-gemstone-wedding-band-0-76-ctw/"	"734.0000"	"This exquisite womens wedding band portrays originality and uniqueness. The band is bezel set with beautiful blue sapphires and pave set with small round cut diamonds. This 14K white gold womens wedding band is an ideal gift at a very affordable price. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/4/r4850-1.jpg"
"R4842"	"14K White Gold Womens Diamond Sapphire Ring 0.67 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/998/s/14k-white-gold-womens-diamond-gemstone-ring-0-47-ctw/"	"634.0000"	"This charming womens sapphire ring is crafted in 14K white gold. The artistic center  piece is pave set with small round cut blue sapphires and white round cut diamonds. Another set of sapphires and round diamonds are pave set half way around the band. This lovely womens diamond ring is an ideal accessory for an every day apparel. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/4/r4842b-1_1.jpg"
"LR3598"	"14K White Gold Womens Diamond Sapphire Ring 1.27 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/1000/s/14k-white-gold-womens-diamond-ring-0-79-ctw/"	"834.0000"	"This exquisite womens diamond ring is crafted in 14K white gold. Ten brilliant round cut blue sapphires are channel set in the center with round cut diamonds surrounding them. The total carat weight of the blue sapphires is 0.48 ct.  This one of a kind womens diamond sapphire ring is an ideal every day fashion accessory. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//l/r/lr3598-1_3.jpg"
"RLD106"	"14K Yellow Gold Womens Diamond Tanzanite Ring 0.93 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/1219/s/14k-yellow-gold-womens-diamond-tanzanite-ring-0-18-ctw/"	"717.0000"	"This exquisite womens diamond tanzanite ring is crafted in highly polished 14K Yellow Gold. It exhibits beautiful design which is bezel set with four round cut diamonds held by four stems crafted in white and yellow gold. The center focuses on one purple-blue tanzanite held by a channel setting. This modern in appearance womens diamond gemstone ring weighs approximately 8.5 grams. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/l/rld106-1_1.jpg"
"R-530"	"14K Yellow Gold Womens Diamond Ruby Ring 0.90 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/1223/s/14k-yellow-gold-womens-diamond-gemstone-ring-0-15-ctw/"	"300.0000"	"This womens fashion diamond ruby ring is crafted in highly polished 14K Yellow Gold. The regal center piece features two small round cut diamonds and one large ruby gemstone which are prong set on a 14K White Gold frame. This uniquely designed fashion diamond ring gleams with beauty and style."	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/-/r-530-1.jpg"
"R-2964"	"18K White Gold Womens Diamond Sapphire Ring 4.56 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/1227/s/18k-white-gold-womens-diamond-sapphire-ring-0-27-ctw/"	"659.0000"	"This simple yet elegant womens diamond sapphire  ring is crafted in highly polished 14K White Gold The center features one oval shape green sapphire which total to 4.29 carats. The sides of the band are pave set half way with small round cut diamonds. This  womens diamond gemstone  ring is an ideal addition to your diamond collection."	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/-/r-2964-1.jpg"
"R436"	"14K Yellow Gold Womens Diamond Amethyst Ring 1.75 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/1230/s/14k-yellow-gold-womens-diamond-aquamarine-ring-0-50-ctw/"	"667.0000"	"This exquisite womens diamond amethyst ring is crafted in lustrous 14K Yellow Gold. The center is prong set with one brilliant purple pear shape amethyst gemstone which totals to 1.25 carats. The stone is surrounded with prong set small round cut diamonds which total to 0.50 carats. This astonishing gemstone ring is an ideal diamond accessory for a special night out."	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/4/r436-1_1_1.jpg"
"RLD222"	"14K Yellow Gold Womens Diamond Sapphire Ring 2.75 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/1231/s/14k-yellow-gold-womens-diamond-sapphire-ring-1-75-ctw/"	"2084.0000"	"This beautiful womens diamond sapphire ring is crafted in lustrous 14K Yellow Gold. The pear shape center piece is highlighted with brilliant round cut diamonds and marquise cut blue sapphire stones. The total carat weight of these blue sapphire stones is 1.00 carats. This exquisite womens gmestone ring is an ideal addition to your diamond collection."	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/l/rld222-1.jpg"
"R01383"	"18K White Gold Womens Diamond Tanzanite Ring 1.66 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/1233/s/18k-white-gold-womens-diamond-tanzanite-ring-0-30-ctw/"	"1000.0000"	"This alluring diamond tanzanite ring is crafted in highly polished 18K White Gold. The center is bezel set with an oval shape tanzanite gemstone which total to 1.36 carats. The band is also highlighted with small channel set round cut diamonds. These diamond total to 0.30 carats. The total weight of this womens diamond gemstone ring is approximately 6.2 grams. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/0/r01383-1_1.jpg"
"RLD138"	"18K Yellow Gold Diamond Three Stone Engagement Ring 3.80 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/1239/s/18k-yellow-gold-womens-three-stone-engagement-ring-0-80-ctw/"	"1434.0000"	"This exquisite womens three stone engagement ring is crafted in lustrous 18K Yellow Gold. The center is prong set with an oval shape brilliant 3.00 carat aquamarine stone. Two round prong set diamonds come to a total of 0.80 carats. This brilliant diamond engagement ring is an ideal gift for that special someone. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/l/rld138-1_1.jpg"
"R438"	"14K Yellow Gold Womens Diamond Ruby Ring 1.75 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/1240/s/14k-yellow-gold-womens-diamond-ring-1-00-ctw/"	"1000.0000"	"This exquisite womens diamond ring is crafted in highly polished 14K Yellow Gold. The center features one marquise cut red ruby which totals to 0.75 carats. The stone is surrounded with brilliant round and baguette cut diamonds which total to 1.00 carats. This brilliant diamond ruby ring is an ideal addition to your diamond accessory."	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/4/r438-1.jpg"
"R425"	"14K Yellow Gold Womens Diamond Aquamarine Ring 1.35 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/1243/s/14k-yellow-gold-womens-diamond-gemstone-ring-0-35-ctw/"	"567.0000"	"This alluring womens diamond ring is crafted in highly polished 14K Yellow Gold. The center is prong set with pear shape blue aquamarine stone which totals to 1.00 carats. The stone is surrounded with small prong set round cut diamonds which total to 0.35 carats. This womens diamond gemstone ring represents sheer elegance and sophistication. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/4/r425-1_1.jpg"
"R01441"	"18K Yellow Gold Womens Diamond Tanzanite Ring 1.53 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/1246/s/18k-yellow-gold-womens-diamond-tanzanite-ring-0-31-ctw/"	"667.0000"	"This elegant womens tanzanite ring is crafted in highly polished 18K Yellow Gold. The center is bezel set with one tanzanite stone which totals to 1.22 carats. The sides of the band are highlighted with numerous small pave set round cut diamonds which total to 0.31 carats. This simple yet beautiful diamond gemstone ring is an ideal addition to your diamond collection."	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/0/r01441-1.jpg"
