"id"	"title"	"link"	"price"	"description"	"condition"	"image_link"
"R4660"	"14K Yellow Gold Mens Wedding Band "	"http://www.avianneandco.com/store/catalog/product/view/id/1381/s/14k-yellow-gold-womens-wedding-band/"	"417.0000"	"This masculine mens wedding band is crafted in highly polished 14K Yellow Gold. The designer inspired band is beautifully patterned with screw motif designs which are crafted in 14K white gold. This classic mens wedding band is an ideal gift for that special occasion."	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_310.jpg"
"R100"	"14K Yellow Gold Sapphire Engagement Ring Setting 1.35 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/1996/s/14k-yellow-gold-engagement-ring-setting/"	"209.0000"	"This one of a kind womens engagement ring setting is crafted in 14K Yellow Gold. The prong is adorned with two sapphire side stones which total to 1.35 carats. This alluring sapphire womens diamond engagement ring setting is an ideal gift at a very affordalbe price. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/1/r100-1.jpg"
"R411"	"18K Yellow Gold Mens Elephant Ring "	"http://www.avianneandco.com/store/catalog/product/view/id/2332/s/18k-yellow-gold-mens-elephant-ring/"	"459.0000"	"This unique mens elephant ring is crafted in highly polished 18K Yellow Gold. The moving center features four small elephants which are carved out and crafted in 18K White Gold. Weighing a total of 17.5 grams of gold, this mens  elephant ring is an ideal accessory for good luck. "	""	"http://www.avianneandco.com/store/media/catalog/product//R/4/R411-1.JPG"
"R6621"	"14K Yellow Gold Womens Emerald Ring 1.00 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/2506/s/14k-yellow-gold-womens-emerald-ring-1-00-ctw/"	"167.0000"	"This elegant womens emerald ring is crafted in highly polished 14K Yellow Gold. The center is prong set with man made green emerald which weighs a total of 1.0 carat and measures to 1/4 Inches in diameter. The band measures to 1/32 Inches in width and weighs approximately 2.1 grams. This womens emerald ring gleams with simplicity and sophistication."	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/6/r6621-5_1.jpg"
"R90213"	"14K Two Tone Womens Wedding Band  "	"http://www.avianneandco.com/store/catalog/product/view/id/2801/s/14k-two-tone-womens-ring/"	"500.0000"	"This exquisite womens gold ring is crafted in both white and yellow 14K Gold. Handmade to perfection, this elegantly designed band weighs approximately 6.2 grams and measures to 3/8 Inches in width."	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/9/r90213-1.jpg"
"R5545"	"18K White Gold Womens Ring "	"http://www.avianneandco.com/store/catalog/product/view/id/2809/s/18k-white-gold-womens-ring/"	"525.0000"	"This exquisite womens 18K white gold ring is hand made and crafted in italy. 'I Love You' is carved out in the center which measures to 3/8 Inches in width. The frame of this womens gold ring weighs approximately 6.5 grams. "	"used"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_242_1.jpg"
"BR5602"	"14K Yellow Gold Womens Amethyst Bracelet"	"http://www.avianneandco.com/store/catalog/product/view/id/2888/s/14k-yellow-gold-womens-amethyst-bracelet/"	"667.0000"	"This lovely womens amethyst bracelet is crafted in highly polished 14K Yellow Gold. Eighteen oval shape purple amethyst stones are prong set across the 7 1/2 Inch frame and they measure to 7x5 mm. Weighing approximately 8.2 grams, this lovely womens natural amethyst bracelet securely locks with a hidden clasp and one safety latch."	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br5602-3_1.jpg"
"R44567"	"18K Yellow Gold Womens Emerald Ring 0.20 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/2968/s/18k-yellow-gold-womens-emerald-ring-0-20-ctw/"	"367.0000"	"This elegant womens emerald ring is crafted in highly gleaming 18K Yellow Gold. The center is adorned with one bezel set princess cut green emerald which weighs a total of 0.20 carats. The frame measures to 3/16 Inches in width and weighs approximately 3.3 grams. This lovely womens diamond ring is an ideal accessory for an every day casual wear."	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/4/r44567-1.jpg"
"R51234"	"Platinum 950  Mens Wedding Band "	"http://www.avianneandco.com/store/catalog/product/view/id/2971/s/platinum-950-mens-wedding-band/"	"1500.0000"	"This elegant mens wedding band is crafted in lustrous 950 platinum. The band measures to 1/4 Inches in width and weighs approximately 14.5 grams. This simple mens wedidng band is an ideal gift for that special someone."	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/5/r51234-3.jpg"
"R66566"	"14K Yellow Gold Womens Jade Ring 4.50 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/2978/s/14k-yellow-gold-womens-jade-ring-4-50-ctw/"	"584.0000"	"This elegant womens jade ring is crafted in highly polished 14K Yellow Gold. The center is prong set with one large green jade gemstone which weighs a total of 4.50 carats. The frame measures to 1/2 Inches in width and weighs approximately 5.5 grams. This simple womens jade ring is an ideal accessory for an every day casual wear."	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/6/r66566-1_1.jpg"
"R51235"	"Platinum Mens Wedding Band "	"http://www.avianneandco.com/store/catalog/product/view/id/2982/s/platinum-mens-wedding-band/"	"1500.0000"	" This simple yet elegant mens wedding band is crafted in highly gleaming Platinum. The band measures to 1/4 Inches in width and weighs approximately 15 grams. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/5/r51235-1_1.jpg"
"R90032"	"Platinum and 18K Yellow Gold Womens Wedding Band "	"http://www.avianneandco.com/store/catalog/product/view/id/2983/s/platinum-and-18k-yellow-gold-womens-wedding-band/"	"500.0000"	"This elegant womens wedding band measures to 1/4 Inches in width and weighs approximately 8.2 grams. The inside rim is crafted in gleaming platinum and two outside rims are crafted in lustrous 18K Yellow Gold. This simple yet alluring womens wedding band is an ideal gift at an affordable value."	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/9/r90032-1.jpg"
"R02336"	"Platinum Mens Wedding Band"	"http://www.avianneandco.com/store/catalog/product/view/id/2988/s/platinum-mens-wedding-band/"	"500.0000"	"This elegant mens wedding band measures to 1/8 inches in width and weighs approximately 5 grams. This mens wedding band is crafted in lustrous platinum."	"new"	"http://www.avianneandco.com/store/media/catalog/product//r/0/r02336-1.jpg"
