"id"	"title"	"link"	"price"	"description"	"condition"	"image_link"	"category"
"ER0337Y"	"14K Yellow Gold Cluster Yellow Diamond Stud Earrings 0.74 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/219/s/14k-yellow-gold-unisex-stud-earrings-1-47-ctw/"	"1334.0000"	"These 14K yellow gold seven stone cluster earrings feature beautiful design. The prong setting holds seven yellow round cut diamonds, totaling to 0.74 ctw on both earrings. These flawless earrings are beautiful and stylish.  "	"new"	"http://www.avianneandco.com/store/media/catalog/product//E/R/ER0337Y_1.JPG"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Mens>Earrings>Multi Color Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"
"ER0037Y"	"14K Yellow Gold Yellow Diamond Stud Earrings 0.89 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/220/s/14k-yellow-gold-unisex-stud-earrings-0-89-ctw/"	"584.0000"	"These 14 karat Gold Diamond Stud Earrings features Flawless Princess cut yellow in color, SI1/SI2 in clarity precious stones, for a total carat weight of .89 carats. Sixteen princess cut yellow diamonds are invisibly set on each earring. The measurements of these  earrings are 1/4 inches (6mm) in width and length, for a total gram weight of approximately 3 grams. Ideal for both ladies and men for a very affordable price. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//E/R/ER0037Y_1.JPG"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Mens>Earrings>Multi Color Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"
"E007B"	"14K White Gold Blue Diamond Stud Earrings 0.81 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/227/s/14k-white-gold-unisex-diamond-earrings-0-81-ctw/"	"917.0000"	"These unisex earrings are crafted in highly polished 14K white gold.They feature brilliant invisibly set blue in color, SI1/SI2 in clarity precious princess cut stones, for a total carat weight of .81 carats. The length and width of the center piece measures to approximately 5/16 Inches, and they weigh 16 grams. Ideal for both men and women, these earrings portray uniqueness and sense of style. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/0/e007b-1.jpg"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Mens>Earrings>Multi Color Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"
"ER0338YR"	"14K Rose Gold Cluster Yellow Diamond Stud Earrings 1.27 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/256/s/14k-yellow-gold-unisex-earrings-1-27-ctw/"	"919.0000"	"These cluster diamond earring studs are crafted in highly polished 14K rose gold. Each earring  holds seven brilliant yellow round cut diamonds on a prong setting. Lovely in appearance, these beautiful studs  total to 1.27 carats and weigh approximately 3 grams. These are are ideal for both men and women. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//E/R/ER0338Y_1.JPG"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Mens>Earrings>Multi Color Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"
"ER0227"	"14K White Gold Yellow Diamond Stud Earrings 0.55 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/257/s/14k-white-gold-unisex-earrings-0-55-ctw/"	"234.0000"	"These simple yet very appealing diamond earring studs are crafted in 14k white gold. Four yellow princess cut diamonds are invisibly set in the center of each earring. Totaling to 2.3 grams, these earrings carry a total weight of 0.55 carats. Ideal men and women studs at an affordable price. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//E/R/ER0227_1.JPG"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Mens>Earrings>Multi Color Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"
"ER0226"	"14K White Gold Yellow Diamond Stud Earrings 0.51 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/258/s/14k-white-gold-unisex-earrings-0-51-ctw/"	"359.0000"	"These simple yet very appealing diamond stud earrings are crafted in 14k white gold. Four yellow princess cut diamonds are invisibly set in the center of each earring. Totaling to 2.3 grams, these earrings carry a total weight of 0.51 carats. These affordable studs are ideal for both men and women. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//E/R/ER0226_2.JPG"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Mens>Earrings>Multi Color Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"
"E007BR"	"14K Rose Gold Blue Diamond Stud Earrings 0.81 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/270/s/14k-rose-gold-unisex-earrings-0-81-ctw/"	"919.0000"	"This perfect set of Princess cut diamond stud earrings is held securely in 14k yellow gold with invisibly settings and a tight screw back closure. The brilliant diamond stud earrings feature amazing invisibly set blue in color, SI1/SI2 in clarity precious stones, for a total carat weight of .81 ct. The measurements of the center piece are 1/4 inches (6mm) in width and length, for a total gram weight of approximately 3 grams. Pristine and absolutely mesmerizing, our diamond studs are an everlasting display of beauty and excellence for both men and women."	"new"	"http://www.avianneandco.com/store/media/catalog/product//E/0/E007BR_1.JPG"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Mens>Earrings>Multi Color Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"
"11028"	"14K Yellow Gold Womens Diamond Aquamarine Earrings 2.06 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/318/s/14k-yellow-gold-womens-diamond-earrings-2-06-ctw/"	"2717.0000"	"This featured 14 karat yellow gold classic earrings are prong set with exquisite blue aquamarine gemstones. The rest of the regal design is prong and bezel set with round cut diamonds. The stones are G in color and VS1 in clarity with a total carat weight of 2.06 carats. These hallmark earrings measure out to 11/16 inches (17mm) in width and 1 1/2 inches (40mm) in length, with a total gram weight of approximately 8 grams. Very unique and very classy, these diamond earrings are a great accessory. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//1/1/11028.jpg"	"Root Catalog>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"
"13995"	"14K White Gold Womens Diamond Earrings 7.50 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/324/s/14k-white-gold-womens-diamond-earrings-7-50-ctw/"	"7500.0000"	"7.50 carats of round cut diamonds are pave set in the extraordinary design of 7 dangling diamond squares. The featured hanging earrings are 3 1/8 inches (80mm) in length and 7/16 inches (11mm) in width, with a total gram weight of approximately 25 grams. Crafted in 14K white gold, these earrings portray femininity, style and elegance. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//1/3/13995_2.jpg"	"Root Catalog>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"
"11517"	"14K White Gold Womens Hoop Earrings 4.25 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/332/s/14k-white-gold-womens-hoop-earrings-4-25-ctw/"	"3750.0000"	"These dazzling 14 karat white gold diamond hoop earrings are pave set with ideal round cut Diamonds. The stones are G in color, VS1 in clarity, with a total carat weight of 4.25 carats. The measurements of these earrings are 1 inch in length and 15/16 of an inch in width, with a total gram weight of approximately 6 grams. Elegant and beautiful, these earrings are ideal for an every day wear. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//1/1/11517_1.jpg"	"Root Catalog>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings>Root Catalog>Womens>Earrings>Diamond Hoop Earrings"
"13799"	"14K White Gold Womens Diamond Pearl Earrings 1.50 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/342/s/14k-white-gold-womens-diamond-pearl-earrings-5-00-ctw/"	"2920.0000"	"These elegant and alluring womens flower pearl earrings are crafted from highly polished 14K White Gold. Each earring is set with one pearl surrounded with brilliant pave set round cut diamonds. Very feminine and delicate in appearance, these earrings are suitable for every day wear. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//1/3/13799_1.jpg"	"Root Catalog>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings>Root Catalog>Womens>Pearl Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Earrings>Root Catalog>Womens>Pearl Jewelry>Pearl Diamond Jewelry"
"11540"	"14K White Gold Womens Diamond Earrings 5.62 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/343/s/14k-white-gold-womens-diamond-earrings-5-62-ctw/"	"3999.0000"	"The featured 14 karat diamond earrings are absolutely dazzling to the last detail. Brilliant pave set round cut diamonds highlight invisibly set baguette cut diamonds in the center. VS1 in clarity and G in color these brilliant stones come to a total carat weight of 5.62 ct. Very elegant in appearance, these are ideal earrings that guarantee onlookers attention. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//1/1/11540_1.jpg"	"Root Catalog>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"
"13639"	"14K White Gold Womens Diamond  Hoop Earrings 2.17 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/344/s/14k-white-gold-womens-diamond-hoop-earrings-2-17-ctw/"	"2250.0000"	"These exquisite womens diamond hoop earrings are crafted in highly polished 14k white gold. Hoops feature brilliant VS1 round cut diamonds carefully placed on a prong setting. Carrying a total carat weight of 2.17 ct, these earrings weigh approximately 11 grams. These stylish earrings are ideal for an every day wear. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//1/3/13639_2.jpg"	"Root Catalog>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings>Root Catalog>Womens>Earrings>Diamond Hoop Earrings"
"13624"	"14K White Gold Diamond Stud Earrings  2.97 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/346/s/14k-white-gold-mens-diamond-earrings-2-97-ctw/"	"11834.0000"	"These featured 14 karat white gold diamond earrings are 2.97 carats of immensely brilliant diamonds. The earrings are invisibly and pave set with round and princess cut precious stones. These stones are G/H in color and SI1/SI3 in clarity. The width and the length of these brilliant earrings are 9/16 inches and the total gram weight is approximately 11 grams. For extra security, these earrings close with omega clasp. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//1/3/13624_1.JPG"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Mens>Earrings>Mens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"
"13962"	"14K White Gold  Diamond Solitaire Stud Earrings 0.51 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/349/s/14k-white-gold-diamond-studs-0-51-ctw/"	"659.0000"	"Brilliant round cut diamonds are carefully placed on a prong setting crafted in 14K White gold. These earrings are small and their centerpiece measure to approximately 3/16 inches. Very simple and elegant, they are ideal for both men and women. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//1/3/13962_1.JPG"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Solitaire Diamond Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings>Root Catalog>Womens>Earrings>Diamond Solitaire Earrings"
