"id"	"title"	"link"	"price"	"description"	"condition"	"image_link"	"category"
"BL018YW "	"14K Yellow Gold Mens Diamond Bracelet with Yellow and Blue Diamonds 14.60 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/191/s/14k-yellow-gold-mens-hip-hop-diamond-bracelet-14-60-ctw/"	"13542.0000"	"This glamorous  14KT yellow solid gold bracelet is the  ultimate jewelry accessory in the diamond world and is brought to you exclusively by Avianne & Co. Invisible set with fabulous yellow princess cut diamonds in the middle of the bracelets links. The fancy blue round cut diamonds are channel set on the sides and conacting links. Original white diamonds are also channel set throughout the bracelet, for a beautiful combination, of white, blue, and yellow diamonds totalling 14.60 in carat weight. This is a well crafted heavy bracelet that weighs a total of 104 grams with diamonds set securely in a heavy high quality gold frame."	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_118.jpg"	"Root Catalog>Mens>Root Catalog>Mens>Bracelets>Root Catalog>Mens>Hip Hop Jewelry>Root Catalog>Mens>Hip Hop Jewelry>Diamond Hip Hop Bracelets>Root Catalog>Mens>Bracelets>Mens Diamond Bracelets>Root Catalog>Mens>Bracelets>Colored Diamond Bracelets"
"BR089WY"	"14K White Gold Mens Hip Hop Diamond Bracelet with Yellow Diamonds 8.35 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/193/s/14k-white-gold-mens-hip-hop-diamond-bracelet-8-35-ctw/"	"8667.0000"	"This14 karat solid white gold diamond bracelet possesses refined beauty. The popular princess cut diamonds are yellow in color, SI2/SI3 In clarity and are invisible set in the center of the bracelets links. The original round cut white diamonds are G/H in color SI2/SI3 in clarity, and are channel set on the sides of the links, as well as on the connecting links.   Define style and turn heads on your next event or party with this mens hip hop diamond bracelet."	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_65.jpg"	"Root Catalog>Mens>Root Catalog>Mens>Bracelets>Root Catalog>Mens>Hip Hop Jewelry>Root Catalog>Mens>Hip Hop Jewelry>Diamond Hip Hop Bracelets>Root Catalog>Mens>Bracelets>Mens Diamond Bracelets>Root Catalog>Mens>Bracelets>Colored Diamond Bracelets"
"BR0018 "	"14K White Gold Mens Diamond Bracelet 4.79 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/194/s/14k-white-gold-mens-diamond-bracelet-4-79-ctw/"	"6500.0000"	"This bracelet is pave set with pristine round cut G/H in color VS2/SI1 in clarity white round cut diamonds. This is an exclusive Avianne & Co. diamond bracelet for those that like to think themselves as having class. Highly polished 14 karat solid white gold, that attracts light that much more, giving the bracelet an incredible shine. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_107.jpg"	"Root Catalog>Mens>Root Catalog>Mens>Bracelets>Root Catalog>Mens>Hip Hop Jewelry>Root Catalog>Mens>Hip Hop Jewelry>Diamond Hip Hop Bracelets>Root Catalog>Mens>Bracelets>Mens Diamond Bracelets"
"B066BWY"	"14K White Gold Mens Hip Hop Diamond Bracelet with Blue and Yellow Diamonds 38.13 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/195/s/14k-white-gold-mens-hip-hop-diamond-bracelet-38-13-ctw/"	"29167.0000"	"The design, style and craftsmanship of this bracelet is truly impressive. Set in the most intricate invisible setting, this bracelet features white H/I in color SI2/SI3 in clarity diamonds with fancy blue and yellow colored princess cut diamonds, for a total carat weight of an immense 38.13 carats . Highly polished in a 14 karat solid white gold frame, the whole bracelet weighs out to approximately 126 grams.  This men’s diamond bracelet is truly prestigious and breathtaking."	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_82.jpg"	"Root Catalog>Mens>Root Catalog>Mens>Bracelets>Root Catalog>Mens>Hip Hop Jewelry>Root Catalog>Mens>Hip Hop Jewelry>Diamond Hip Hop Bracelets>Root Catalog>Mens>Bracelets>Mens Diamond Bracelets>Root Catalog>Mens>Bracelets>Colored Diamond Bracelets"
"B028BWY"	"14K White Gold Mens Diamond Bracelet 35.36 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/196/s/14k-white-gold-mens-high-end-diamond-bracelet-35-36-ctw/"	"43334.0000"	"It takes the most distinguished taste and class, to make a piece this marvelous. This  fine piece of jewelry, is channel and invisible set with the most exquisite round and princess cut diamonds. Highly polished in solid 14 karat white gold the whole bracelet weighs out to approximately 78 grams. Impress and be impressed, with this timeless one of a kind master piece. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_117.jpg"	"Root Catalog>Mens>Root Catalog>Mens>Bracelets>Root Catalog>Mens>Hip Hop Jewelry>Root Catalog>Mens>Hip Hop Jewelry>Diamond Hip Hop Bracelets>Root Catalog>Mens>Bracelets>Mens Diamond Bracelets"
"B038BYW"	"14K White Gold Mens Diamond Bracelet with Yellow and Blue Diamonds 19.90 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/206/s/14k-white-gold-mens-diamond-bracelet-19-90-ctw/"	"18700.0000"	"This sophisticated design is pave set with round cut, fancy, canary yellow in color SI2/SI3 in clarity diamonds. Complimenting the contrast this bracelet also features pave set H/I in color SI2/SI3 in clarity sparkling white diamonds. The blue diamonds on this exclusive bracelet, are invisibly set in 14 karat white solid gold frame that weighs out to approximately 115grams. The total carat weight of the bracelet is 19.90 carats. The total measurements are 8 13/16 inches (224) in length, and 3/4  inches (19mm) in width. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_142.jpg"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Bracelets>Root Catalog>Mens>Hip Hop Jewelry>Root Catalog>Mens>Hip Hop Jewelry>Diamond Hip Hop Bracelets>Root Catalog>Mens>Bracelets>Mens Diamond Bracelets>Root Catalog>Mens>Bracelets>Colored Diamond Bracelets"
"BR6148WY"	"14K White Gold Mens Yellow Diamond Bracelet 8.10 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/207/s/14k-white-gold-mens-diamond-bracelet-8-10-ctw/"	"10417.0000"	"Very appealing and fashionable in appearence this men’s diamond bracelet is crafted in highly polished 14K white gold.  Featuring round cut, canary, yellow in color SI1/SI3 in clarity diamonds that give off the extra shine and sparkle. Also the bracelet has beautiful round cut diamonds G/I in color SI1/SI3 in clarity, for a total carat weight of 8.10 carats. These diamonds are carefully placed on an invisible setting. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_149.jpg"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Bracelets>Root Catalog>Mens>Hip Hop Jewelry>Root Catalog>Mens>Hip Hop Jewelry>Diamond Hip Hop Bracelets>Root Catalog>Mens>Bracelets>Mens Diamond Bracelets>Root Catalog>Mens>Bracelets>Colored Diamond Bracelets"
"BR6082"	"14K White Gold Mens Diamond Bracelet 4.97 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/208/s/14k-white-gold-mens-diamond-bracelet-4-97-ctw/"	"5167.0000"	"This charming 14K highly polished solid white gold bracelet measures out to 8 1/8 inches (210) in length including the clasp and 3/4 inches (19mm) in width, and weighs approximately 105 grams. Princess cut diamonds are invisibly set in the center of each link through out the bracelet. The round cut diamonds are channel set. The color of these diamonds are G/H and the clarity is SI1/SI2, for a total carat weight of 4.97 carats of the most pristine precious stones. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//B/R/BR6082_1.jpg"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Bracelets>Root Catalog>Mens>Hip Hop Jewelry>Root Catalog>Mens>Hip Hop Jewelry>Diamond Hip Hop Bracelets>Root Catalog>Mens>Bracelets>Mens Diamond Bracelets"
"B031BYW"	"14K White Gold Mens Diamond Bracelet 19.73 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/209/s/14k-white-gold-mens-diamond-bracelet-19-73-ctw/"	"18750.0000"	"The impeccable design of this bracelet, is truly creative and beautiful. The appealing 14K highly polished, solid white gold bracelet is distinctive in style and taste. This glamorous piece is pave set with beautiful round white G/H in color SI1/SI3 in clarity diamonds. This idyllic masterpiece , also features princess cut fancy yellow in color, SI1/SI3 in clarity, diamonds and fancy blue in color SI1/SI3 in clarity diamonds, that are invisibly set in a cross like links through out the bracelet, for a total carat weight of a big 19.73carats. The gold weight of this original bracelet is approximately 102 grams. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_88.jpg"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Bracelets>Root Catalog>Mens>Hip Hop Jewelry>Root Catalog>Mens>Hip Hop Jewelry>Diamond Hip Hop Bracelets>Root Catalog>Mens>Bracelets>Mens Diamond Bracelets>Root Catalog>Mens>Bracelets>Colored Diamond Bracelets"
"BR318"	"14K White Gold Womens Diamond Bracelet 0.45 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/348/s/14k-white-gold-womens-diamond-bracelet-1-45-ctw/"	"967.0000"	"Elegant and unique in appearance, this fine womens bracelet is crafted in highly polished 14K white gold. Each round cut diamond is carefully placed on bezel setting around the bracelet. Very feminine and delicate, this bracelet is ideal for an every day wear. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br318-1.jpg"	"Root Catalog>Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"
