"id"	"title"	"link"	"price"	"description"	"condition"	"image_link"	"category"
"14440 "	"18K White Gold Womens Diamond Necklace 16.95 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/314/s/18k-white-gold-womens-diamond-necklace-16-95-ctw/"	"16250.0000"	" Exquisite and brilliant, this womens diamond necklace is crafted in highly polished 18K white gold. Small gleaming VS1 round cut diamonds are pave and prong set around the necklace contributing to its royal appearance. Fourteen natural white pearls hand in between the stones. Carrying a total carat weight of 16.95 ctw, this necklace weighs approximately 86 grams. Gleaming with elegance, it is indeed a classic and timeless piece of craftsmanship. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//1/4/14440-1.jpg"	"Root Catalog>Root Catalog>Womens>Root Catalog>Womens>Necklaces>Root Catalog>Womens>Antique Jewelry>Root Catalog>Womens>Necklaces>Diamond Necklaces"
"13975"	"18K White Gold Womens Diamond Necklace 0.34 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/315/s/18k-white-gold-womens-diamond-necklace-0-34-ctw/"	"589.0000"	"This lovely butterfly womens diamond necklace is crafted from highly polished 18K white gold. 18 Inch white gold chain holds three butterflies which are prong set with brilliant VS1 round cut diamonds. This is a beautiful necklace which portrays femininity and style. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//1/3/13975_1_1.jpg"	"Root Catalog>Root Catalog>Womens>Root Catalog>Womens>Necklaces>Root Catalog>Womens>Necklaces>Diamond Necklaces"
"12161"	"14k White Gold Womens Diamond Necklace 3.21 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/320/s/14k-white-gold-womens-diamond-necklace-3-21-ctw/"	"3839.0000"	"The 14 karat white gold diamond necklace is adorned with round cut, G in color, VS1 in clarity diamonds that are prong set around the design, with a total cart weight of 3.21 carats. The length of the necklace is 24 inches ( 460mm) and the width is 3/16 inches (4mm), with a total gram weight of approximately 27 grams. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//1/2/12161_1.JPG"	"Root Catalog>Root Catalog>Womens>Root Catalog>Womens>Necklaces>Root Catalog>Womens>Necklaces>Diamond Necklaces"
"13782"	"14K White Gold Womens Diamond Necklace 2.10 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/345/s/14k-white-gold-womens-diamond-necklace-2-10-ctw/"	"3667.0000"	"Gorgeous to the last detail this womens diamond necklace is crafted with highly polished 14K white gold. Brilliant VS1 round cut diamonds are prong set all across the necklace.  Carrying a total carat weight of 2.10 ct, it weighs approximately 18 grams. Elegant in design and brilliant in appearance, this is an ideal womens accessory for a special night out.  "	"new"	"http://www.avianneandco.com/store/media/catalog/product//1/3/13782_1.jpg"	"Root Catalog>Root Catalog>Womens>Root Catalog>Womens>Necklaces>Root Catalog>Womens>Necklaces>Diamond Necklaces"
"N004"	"14K White Gold Womens Diamond Necklace 1.49 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/877/s/14k-white-gold-womens-diamond-necklace-1-49-ctw/"	"1417.0000"	"This delicate womens diamond necklace is crafted in 14K white gold. The circle pendant, which is outlined with prong set round cut diamonds, features five dangling rows of bezel set and prong set small round cut diamonds. The chain is connected from the top of the pendant which is set with seven small round cut diamonds.This dangling diamond necklace is a perfect addition to your fashion jewelry collection."	"new"	"http://www.avianneandco.com/store/media/catalog/product//n/0/n004-1.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Necklaces>Root Catalog>Womens>Necklaces>Diamond Necklaces"
"P060"	"14K White Gold Womens Diamond Necklace 0.86 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/878/s/14k-white-gold-womens-diamond-necklace-0-86-ctw/"	"584.0000"	"This exquisite womens diamond necklace is crafted in lustrous 14K white gold. The artistic design is outlined with brilliant pave set round cut diamonds. The inside of the circle features dangling six small pave set round cut diamonds and three bezel set round cut diamonds. The upper part of the pendant is pave set with round cut diamonds. Beautiful to the last detail, this dangling womens diamond necklace is ideal for casual or special wear.  "	"new"	"http://www.avianneandco.com/store/media/catalog/product//i/m/img_9904.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Necklaces>Root Catalog>Womens>Necklaces>Diamond Necklaces"
"NL0001"	"14K White Gold Womens Diamond Necklace 0.60 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/881/s/14k-white-gold-womens-diamond-necklace-0-60-ctw/"	"1000.0000"	"This exquisite womens diamond necklace features two prong set diamond circles in the center. The main piece is held with three bezel set round cut diamonds which are attached to a flower. The delicate flower is pave set with 11 round cut diamonds and holds a 16 Inch chain. Beautiful to the last detail, this lovely womens diamond  necklace is ideal for casual or special wear."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/0/p003a-1_1.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Necklaces>Root Catalog>Womens>Pendants>Womens Diamond Pendants>Root Catalog>Womens>Necklaces>Diamond Necklaces"
"P059"	"14K White Gold Womens Diamond Flower Necklace 0.74 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/884/s/14k-whtie-gold-womens-diamond-necklace-0-74-ctw/"	"1334.0000"	"This exquisite womens diamond flower necklace is crafted in lustrous 14K white gold. The flower is outlined with brilliant pave set round cut diamonds and one small hanging flower in the center is prong set with six round cut diamonds. The delicate artistic designs in the center, below the hanging flower, are bezel set with three round cut diamonds. Lovely to the last detail, this flower necklace comes with a 17 Inch white gold chain."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/0/p059-1.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Necklaces>Root Catalog>Womens>Pendants>Womens Diamond Pendants>Root Catalog>Womens>Necklaces>Diamond Necklaces"
"N26766"	"14K White Gold Womens Diamond Gemstone Necklace 6.49 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/941/s/14k-white-gold-womens-diamond-necklace-0-24-ctw/"	"784.0000"	"This elegant womens diamond multi color necklace is crafted in highly polished 14K white gold. The necklace features three different colored gemstones and one pearl which total to 6.25 Ctw. The base which holds the stones features two hearts which are pave set with small round cut diamonds. The diamonds total to 0.24 Ct. This lovely necklace is an ideal gift for that special someone.
"	"new"	"http://www.avianneandco.com/store/media/catalog/product//n/2/n26766-1_1.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Necklaces>Root Catalog>Womens>Antique Jewelry>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Necklaces>Diamond Necklaces"
"N113"	"14K Two Tone Womens Diamond Necklace 1.25 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/2017/s/14k-two-tone-womens-diamond-necklace-1-25-ctw/"	"2334.0000"	"This one of a kind womens diamond necklace is crafted in highly polished 14K Yellow and White Gold. The center of the frame is pave set with small round cut diamonds which total to 1.25 carats. This finely detailed womens diamond necklace is an ideal addition to your diamond collection."	"new"	"http://www.avianneandco.com/store/media/catalog/product//n/1/n113-1_1.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Necklaces>Root Catalog>Womens>Necklaces>Diamond Necklaces"
