"id"	"title"	"link"	"price"	"description"	"condition"	"image_link"	"category"
"E9722 "	"Chocolate Pearl Black Diamond Gemstone Earrings in Rose Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8800/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"779.0000"	"A beautiful 8mm chocolate pearl sits in the center of these lovely earrings surrounded by brilliant round cut black diamonds."	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/9/e9722a.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings>Root Catalog>Womens>Pearl Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Earrings>Root Catalog>Womens>Pearl Jewelry>Pearl Diamond Jewelry"
"E9721 "	"Chocolate Pearl Black Diamond Gemstone Earrings in Rose Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8801/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"529.0000"	"A beautiful 8mm chocolate pearl sits in the center of these lovely earrings surrounded by brilliant round cut black diamonds."	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/9/e9721a.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings>Root Catalog>Womens>Pearl Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Earrings>Root Catalog>Womens>Pearl Jewelry>Pearl Diamond Jewelry"
"ESC9362S "	"Smoky Quartz Diamond Drop Gemstone Earrings in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8802/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"369.0000"	"These beautiful 14k white gold earrings features 2 lovely princess cut smoky quartz gemstones surrounded by brilliant round cut diamonds. The color of the diamonds are H/I and the clarity is SI2/SI3."	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/s/esc9362sa.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"
"ESC9359 "	"Citrine Diamond Designer Gemstone Earrings in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8803/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"419.0000"	"This 14k white gold pair of earrings feature 2 pear shaped citrine gemstones surrounded by brilliant round cut diamonds. The color of the diamonds are G/H and the clarity is SI2/SI3."	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/s/esc9359a.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"
"S45657C "	"Citrine Diamond Gemstone Earrings in Yellow Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8804/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"509.0000"	"This lovely pair of earrings features oval shaped checkerboard citrine gemstones surrounded by brilliant round cut diamonds. The color of the diamonds are G/H and the clarity is SI2/SI3.
"	"new"	"http://www.avianneandco.com/store/media/catalog/product//s/4/s45657ca.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"
"E34276 "	"Lemon Quartz Diamond Designer Gemstone Earrings in Yellow Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8805/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"629.0000"	"This beautiful design features 2 oval shaped checkerboard lemon quartz gemstones sitting in the center surrounded by 1 row of brilliant round cut diamonds in a 14k yellow gold prong setting. The color of the diamonds are H/I and the clarity is SI2/SI3."	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/3/e34276a.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"
"S45679P "	"Purple Amethyst Diamond Gemstone Earrings in Rose Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8806/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"369.0000"	"These beautiful 14k rose gold earrings will make great for any occasion with its large checkerboard purple amethyst gemstones surrounded by brilliant round cut diamonds. The color of the diamonds are G/H and the clarity is SI2/SI3."	"new"	"http://www.avianneandco.com/store/media/catalog/product//s/4/s45679pb.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"
"E3193R "	"Ruby Diamond Gemstone Earrings in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8807/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"539.0000"	"This lovely pair of earrings features brilliant round cut diamonds surrounded by bezel set rubies in a 14k white gold setting. The color of the diamonds are G/H and the clarity is SI2/SI3."	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/3/e3193ra.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"
"SE07489 "	"Multi Colored Gemstone Diamond Designer Earrings in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8808/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"839.0000"	"These earrings add a touch of colorful sparkle that can be enjoyed for a lifetime! These beautiful earrings feature 3 different colored gemstones in a prong setting separated by brilliant round cut diamonds in this handcrafted 14k white gold frame. The color of the diamonds are G/H and the clarity is SI2/SI3.
"	"new"	"http://www.avianneandco.com/store/media/catalog/product//s/e/se07489a.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"
"E0015038 "	"Turquoise Diamond Heart Gemstone Earrings in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8809/s/chocolate-pearl-black-diamond-gemstone-earrings-in-rose-gold/"	"529.0000"	"Show the one you love how much you care with these beautiful Heart Earrings. This design features heart shaped pearls and turquoise gemstones surrounded by brilliant round cut diamonds in a 14k white gold prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3."	"new"	"http://www.avianneandco.com/store/media/catalog/product//e/0/e0015038a.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"
