"id"	"title"	"link"	"price"	"description"	"condition"	"image_link"	"category"
"P1145"	"14K Yellow Gold Womens Garnet Pendant 2.00 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/2466/s/14k-yellow-gold-womens-garnet-pendant-2-00-ctw/"	"334.0000"	"This lovely womens pendant is crafted in highly polished 14K Yellow Gold. The center is prong set with one large pear shape and small oval shape red garnet stone. These stones weigh a total of 2.00 carats.  This exquisite womens gemstone pendant comes with a 16 Inch 14K Yellow Gold Chain."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/1/p1145-1.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants"
"P77451"	"14K White Gold Womens Sapphire Journey Pendant"	"http://www.avianneandco.com/store/catalog/product/view/id/2577/s/14k-white-gold-womens-sapphire-journey-pendant/"	"217.0000"	"This elegant womens journey pendant is crafted in highly polished 14K White Gold. The center is prong set with six blue round cut sapphires which total to 0.25 carats.This simple womens sapphire journey pendant comes with a matching 18 Inch 14K White Gold chain.  "	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/7/p77451-1.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants"
"P10859"	"14K White Gold Womens Aquamarine Cross Pendant 1.55 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/2827/s/14k-white-gold-womens-aquamarine-cross-pendant-1-55-ctw/"	"584.0000"	"This lovely womens aquamarine cross pendant is crafted in highly polished 14K White Gold. The frame is prong set with seven large aquamarine stones which total to 1.55 carats. Measuring to 1 1/4 Inches in length and 1/2 Inches in width, the pendant weighs approximately 6.5 grams. This lovely womens aquamarine cross pendant is an ideal accessory for an every day wear."	"new"	"http://www.avianneandco.com/store/media/catalog/product//P/1/P10859-1.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants"
"P11030"	"14K White Gold Womens Topaz Pendant 4.89 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/2828/s/14k-white-gold-womens-topaz-pendant-4-89-ctw/"	"667.0000"	"This elegant womens topaz pendat is crafted in 14K White Gold. The center is prong set with three large blue topaz gemstones which total to 4.89 carats. Measuring to approximately 1 Inches in length, the frame measures to 1/2 Inches in width. NOTE: The chain is for illustration purposes ONLY and may be purchased separately. Please dial our toll free phone number to inquire."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/1/p11030-1.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants"
"P11202"	"10K Yellow Gold Womens Antique Brooch 0.40 Ctw"	"http://www.avianneandco.com/store/catalog/product/view/id/2889/s/10k-yellow-gold-womens-antique-brooch-0-40-ctw/"	"500.0000"	"This exquisite womens antique brooch is crafted in 10K Yellow Gold. The center is bezel set with one princess cut blue sapphire which weighs a total of 0.40 carats. The rest of the frame is bezel set with small round cut white pearls. Lovely in appearance, this uniquely desiged womens antique brooch is ideal for special or casual wear."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/1/p11202-3.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Women's Gold Jewelry>Root Catalog>Womens>Antique Jewelry>Root Catalog>Womens>Women's Gold Jewelry>Womens Gold Pendants>Root Catalog>Womens>Brooches"
"P99827"	"14K White Gold Womens Pearl Antique Brooch"	"http://www.avianneandco.com/store/catalog/product/view/id/2890/s/14k-white-gold-womens-pearl-antique-brooch/"	"325.0000"	"This exclusive womens pearl antique brooch is crafted in highly gleaming 14K White Gold. The center is set with one small white pearl which measures to 2.4 mm in diameter. Measuring to 2 1/4 Inches in length, this lovely womens antique brooch weighs approximately 2.8 grams."	"new"	"http://www.avianneandco.com/store/media/catalog/product//P/9/P99827-1.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Women's Gold Jewelry>Root Catalog>Womens>Antique Jewelry>Root Catalog>Womens>Women's Gold Jewelry>Womens Gold Pendants>Root Catalog>Womens>Brooches"
"P77263"	"14K Yellow Gold Womens Pearl Antique Brooch "	"http://www.avianneandco.com/store/catalog/product/view/id/2893/s/14k-yellow-gold-womens-pearl-brooch/"	"325.0000"	"This elegant womens pearl antique brooch is crafted in highly gleaming 14K Yellow Gold. The center is set with small white pearls which measure to 2 mm in diameter. The brooch weighs approximately 2.6 grams and measures to 1 3/4 Inches in length. Handmade to perfection, this one of a kind antique brooch is an ideal accessory for an every day casual wear."	"new"	"http://www.avianneandco.com/store/media/catalog/product//P/7/P77263-1.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Women's Gold Jewelry>Root Catalog>Womens>Antique Jewelry>Root Catalog>Womens>Women's Gold Jewelry>Womens Gold Pendants>Root Catalog>Womens>Brooches"
"P43222"	"14K Yellow Gold Womens Pearl Antique Brooch "	"http://www.avianneandco.com/store/catalog/product/view/id/2894/s/14k-yellow-gold-womens-pearl-brooch/"	"167.0000"	"This elegant womens pearl antique brooch is crafted in highly gleaming 14K Yellow Gold. The center is set with three small white pearls which measure to 3.5 mm in diameter. The brooch weighs approximately 1 gram and measures to 1  Inches in length. Handmade to perfection, this one of a kind antique brooch is an ideal accessory for an every day casual wear."	"new"	"http://www.avianneandco.com/store/media/catalog/product//P/4/P43222-3.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Women's Gold Jewelry>Root Catalog>Womens>Antique Jewelry>Root Catalog>Womens>Women's Gold Jewelry>Womens Gold Pendants>Root Catalog>Womens>Brooches"
"PIN04"	"10K Yellow Gold Womens Antique Pin "	"http://www.avianneandco.com/store/catalog/product/view/id/2895/s/10k-yellow-gold-womens-antique-pin/"	"134.0000"	"This lovely womens antique pin is crafted in highly polished 10K Yellow Gold. The frame measures to 2 1/4 Inches in length and weighs approximately 1.2 grams. This exquisite womens antique pin is ideal for an every day casual wear."	"new"	"http://www.avianneandco.com/store/media/catalog/product//P/I/PIN04-1.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Women's Gold Jewelry>Root Catalog>Womens>Antique Jewelry>Root Catalog>Womens>Women's Gold Jewelry>Womens Gold Pendants"
"P10093"	"14K Yellow Gold Womens Antique Sapphire Brooch 0.10 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/2896/s/14k-yellow-gold-womens-antique-brooch/"	"417.0000"	"This handmade womens antique brooch is crafted in lustrous 14K Yellow Gold. The center is bezel set with one blue sapphire which weighs a total of 0.10 carats. Small round whtie pearls are set on two opposite sides and measures to 2 1/4 mm in diameter. Measuring to 2 1/4 Inches in length, this lovely womens antique brooch weighs approximately 3.3 grams."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/1/p10093-4.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Women's Gold Jewelry>Root Catalog>Womens>Antique Jewelry>Root Catalog>Womens>Women's Gold Jewelry>Womens Gold Pendants>Root Catalog>Womens>Brooches"
