"id"	"title"	"link"	"price"	"description"	"condition"	"image_link"
"W3269L2"	"Avianne&Co. Womens Princess Collection Diamond Watch 0.37 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/463/s/avianne-and-co-womens-diamond-watch-0-37-ctw/"	"325.0000"	"This exclusive Avianne and Co. womens diamond watch features stainless steel case with brilliant round cut diamonds surrounding it. The dial color perfectly compliments the light sky blue color  band. Fashionable and very feminine in appearance, this is an ideal gift at a very affordable price. "	"used"	"http://www.avianneandco.com/store/media/catalog/product//W/3/W3269L2c.JPG"
"W3269L1"	"Avianne&Co. Womens Princess Collection Diamond Watch 0.75 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/464/s/avianne-and-co-womens-diamond-watch-0-75-ctw/"	"492.0000"	"This exclusive Avianne and Co. womens diamond watch features stainless steel case with brilliant round cut diamonds surrounding it. The dial color perfectly compliments the black  leather band. Fashionable and very feminine in appearance, this is an ideal gift at a very affordable price. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//W/3/W3269L1a_1.JPG"
"W3269L1B"	"Avianne&Co. Womens Princess Collection Diamond Watch 0.75 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/465/s/avianne-and-co-womens-diamond-watch-0-75-ctw/"	"492.0000"	"This exclusive Avianne and Co. womens diamond watch features stainless steel case with brilliant round cut diamonds surrounding it. The dial color perfectly compliments the light sky blue leather band. The band closes securely with fold-over deployment clasp . Fashionable and very feminine in appearance, this is an ideal gift at a very affordable price. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//W/3/W3269L1c_2.JPG"
"W3269L2P"	"Avianne&Co. Womens Princess Collection Diamond Watch 0.37 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/466/s/avianne-and-co-womens-diamond-watch-0-37-ctw/"	"325.0000"	"This exclusive Avianne and Co. womens diamond watch features stainless steel case with brilliant round cut diamonds surrounding it. The dial color perfectly compliments the light pink color of the band. For extra security, this watch closes with hidden fold-over deployment clasp. Fashionable and very feminine in appearance, this is an ideal gift at a very affordable price. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//W/3/W3269L2Pc.JPG"
"W3269L2BG"	"Avianne&Co. Womens Princess Collection  Diamond Watch 0.37 Ctw  "	"http://www.avianneandco.com/store/catalog/product/view/id/467/s/avianne-and-co-womens-diamond-watch-0-37-ctw/"	"325.0000"	"This exclusive Avianne and Co. womens diamond watch features stainless steel case with brilliant round cut diamonds surrounding it. The dial color perfectly compliments the beige color of the band. For more security, this watch closes with hidden deployment clasp. Fashionable and very feminine in appearance, this is an ideal gift at a very affordable price. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//W/3/W3269L2wc.JPG"
"W3267LD2"	"Avianne&Co. Womens Princess Collection Diamond Watch 0.30 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/468/s/avianne-and-co-womens-diamond-watch-0-30-ctw/"	"334.0000"	"This exclusive Avianne and Co. womens diamond watch features stainless steel oval triangle case with brilliant round cut diamonds surrounding it. The dial color perfectly compliments the midnight blue color of the band. For extra security, this watch closes with metal clasp. Fashionable and very feminine in appearance, this is an ideal gift at a very affordable price. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//W/3/W3267LD2.jpg"
"W3267LD1"	"Avianne&Co. Womens Princess Collection Diamond Watch 0.63 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/469/s/avianne-and-co-womens-diamond-watch-0-63-ctw/"	"417.0000"	"This exclusive Avianne and Co. womens diamond watch features stainless steel oval triangle case with brilliant round cut diamonds surrounding it. The dial color perfectly compliments the midnight blue color of the band. For extra security, this watch closes with metal clasp. Fashionable and very feminine in appearance, this is an ideal gift at a very affordable price. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//W/3/W3267LD1a.JPG"
"W3267LD2B"	"Avianne&Co. Womens Diamond Watch 0.30 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/470/s/avianne-and-co-womens-diamond-watch-0-30-ctw/"	"334.0000"	"This exclusive Avianne and Co. womens diamond watch features stainless steel oval triangle case with brilliant round cut diamonds surrounding it. The dial color perfectly compliments the black color  band. For extra security, this watch closes with metal clasp. Fashionable and very feminine in appearance, this is an ideal gift at a very affordable price. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//w/3/w3267ld2c.JPG"
"W3267LD1P"	"Avianne&Co. Womens Princess Collection Diamond Watch 0.63 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/471/s/avianne-and-co-womens-diamond-watch-0-63-ctw/"	"417.0000"	"This exclusive Avianne and Co. womens diamond watch features stainless steel oval triangle case with brilliant round cut diamonds surrounding it. The dial color perfectly compliments the light pink  band. For extra security, this watch closes with metal clasp. Fashionable and very feminine in appearance, this is an ideal gift at a very affordable price. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//W/3/W3267LD1c_1.JPG"
"W3267LD1R"	"Avianne&Co. Womens Princess Collection Diamond Watch 0.63 Ctw "	"http://www.avianneandco.com/store/catalog/product/view/id/472/s/avianne-and-co-womens-diamond-watch-0-63-ctw/"	"417.0000"	"This exclusive Avianne and Co. womens diamond watch features stainless steel oval triangle case with brilliant round cut diamonds surrounding it. The dial color perfectly compliments the red color of the band. For extra security, this watch closes with metal clasp. Fashionable and very feminine in appearance, this is an ideal gift at a very affordable price. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//W/3/W3267LD1rc.JPG"
