"Category ID"	"Manufacturer"	"Title"	"Description"	"Product URL"	"Image URL"	"SKU"	"Availability"	"Condition"	"Price"	"category"	"link"	"image_link"
"Diamond Bracelet"	"Bezel "	"14K White Gold Womens Diamond Bracelet 0.45 Ctw"	"Elegant and unique in appearance, this fine womens bracelet is crafted in highly polished 14K white gold. Each round cut diamond is carefully placed on bezel setting around the bracelet. Very feminine and delicate, this bracelet is ideal for an every day wear. "	"14k-white-gold-womens-diamond-bracelet-1-45-ctw.html"	"/b/r/br318-1.jpg"	"BR318"	"Enabled"	"new"	"967.0000"	"Root Catalog>Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/348/s/14k-white-gold-womens-diamond-bracelet-1-45-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br318-1.jpg"
"Diamond Bracelet"	"Tension, Pave"	"14K Two Tone Gold Womens Diamond Bracelet 1.67 Ctw "	" Unique and lovely in appearance, this womens diamond bracelet is crafted in 14K white gold. A number of princess cut diamonds tension held between the links. In addition, yellow round cut diamonds are carefully placed on a yellow gold pave setting, adding to the bracelets uniqueness.  Totaling to 1.67 ctw, this bracelet weighs approximately 13 grams. "	"14k-white-gold-womens-diamond-bracelet-1-67-ctw.html"	"/b/r/br0005a-1_1.jpg"	"BR0005"	"Enabled"	"new"	"1667.0000"	"Root Catalog>Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets>Root Catalog>Womens>Bracelets>Colored Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/352/s/14k-white-gold-womens-diamond-bracelet-1-67-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br0005a-1_1.jpg"
"Diamond Bracelet"	"Prong"	"14K White Gold Womens Diamond Ruby Bracelet 4.70 Ctw"	"This elegant womens diamond ruby bracelet is crafted in highly polished 14K white gold. Princess cut rubies are carefully prong set across the bracelet and total to approximately 3.70  carats. Brilliant round cut diamonds are also prong set in between the rubies and total to approximately 1.00 carats. This delicate womens diamond bracelet is an ideal gift at an affordable price."	"14k-white-gold-womens-diamond-bracelet-1-00-ctw.html"	"/f/i/file_3_1.jpg"	"BR006A"	"Enabled"	"new"	"1667.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Antique Jewelry>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/981/s/14k-white-gold-womens-diamond-bracelet-1-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//f/i/file_3_1.jpg"
"Diamond Bracelet"	"Prong"	"14K Yellow Gold Womens Diamond Ruby Bracelet 4.70 Ctw"	"This elegant womens diamond ruby bracelet is crafted in highly polished 14K yellow gold. Princess cut rubies are carefully prong set across the bracelet and total to approximately 3.70 carats. Brilliant round cut diamonds are also prong set in between the rubies and total to approximately 1.00 carats. This delicate womens diamond bracelet is an ideal gift at an affordable price. "	"14k-white-gold-womens-diamond-bracelet-1-00-ctw-1.html"	"/b/r/br006ab.jpg"	"BR006AB"	"Enabled"	"new"	"589.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/982/s/14k-white-gold-womens-diamond-bracelet-1-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br006ab.jpg"
"Diamond Bracelet"	"Prong "	"14K Two Tone Gold Womens Diamond Bracelet 1.07 Ctw"	"This elegant womens diamond bracelet is crafted in lustrous 14K Yellow and White Gold. Twelve round cut diamonds are prong set across the bracelet and held on a white gold frame. It securely locks with a slide in clasp and one safety latch for extra security. This one of a kind two tone womens diamond bracelet weighs approximately 9 grams. "	"14k-two-tone-womens-diamond-bracelet-1-07-ctw.html"	"/b/r/br4641-1.jpg"	"BR4641"	"Enabled"	"new"	"1167.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/1588/s/14k-two-tone-womens-diamond-bracelet-1-07-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br4641-1.jpg"
"Diamond Bracelet"	"Tension, Pave"	"14K White Gold Womens Diamond Bracelet 0.74 Ctw "	"Unique and lovely in appearance, this womens diamond bracelet is crafted in 14K white gold. A number of princess cut diamonds tension held between the links. In addition, yellow round cut diamonds are carefully placed on a yellow gold pave setting, adding to the bracelets uniqueness.  Totaling to 0.74 carats, this exquisite womens diamond bracelet weighs approximately 12.5 grams. "	"14k-white-gold-womens-diamond-bracelet-1-67-ctw-1.html"	"/f/i/file_943_1.jpg"	"BR0011"	"Enabled"	"new"	"1500.0000"	"Root Catalog>Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets>Root Catalog>Womens>Bracelets>Colored Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/1597/s/14k-white-gold-womens-diamond-bracelet-1-67-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//f/i/file_943_1.jpg"
"Diamond Bracelet"	"Tension, Pave"	"14K White Gold Womens Diamond Bracelet 1.69 Ctw"	"This lovely womens diamond bracelet is crafted in lustrous 14K White Gold. The uniquely designed links are tension set with small princess cut diamonds and are connected with rows of small yellow round cut diamonds. This womens diamond bracelet  gleams with simplicity and elegance."	"14k-white-gold-womens-diamond-bracelet-1-69-ctw-1.html"	"/b/r/br0010-1.jpg"	"BR0010"	"Enabled"	"new"	"1667.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets>Root Catalog>Womens>Bracelets>Colored Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/1598/s/14k-white-gold-womens-diamond-bracelet-1-69-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br0010-1.jpg"
"Diamond Bracelet"	"Pave"	"14K White Gold Womens Diamond Circle Bracelet 1.40 Ctw"	"This lovely womens diamond bracelet is crafted in lustrous 14K White Gold. The bracelet features circles which are outlined with small pave set round cut diamonds. The length of this bracelet is 7 Inches long and it comes with extra links which add an extra half inch to the length. This charming womens diamond bracelet is an ideal addition to your diamond collection. "	"14k-white-gold-womens-diamond-circle-bracelet-1-40-ctw.html"	"/b/r/br049.jpg"	"BR049"	"Enabled"	"new"	"1459.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/1599/s/14k-white-gold-womens-diamond-circle-bracelet-1-40-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br049.jpg"
"Diamond Bracelet"	"Bezel"	"14K White Gold Womens Diamond Bracelet 0.28 Ctw"	"This charming womens diamond bracelet is crafted in highly polished 14K White Gold. The band is highlighted with seven round cut diamonds which are held by bezel settings. It securely locks with a slide in hidden clasp with a safety latch on a side. The approximately weight of this womens diamond bracelet is 11 grams. "	"14k-white-gold-womens-diamond-bracelet-0-28-ctw.html"	"/b/r/br1075-1.jpg"	"BR1075"	"Enabled"	"new"	"814.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/1603/s/14k-white-gold-womens-diamond-bracelet-0-28-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br1075-1.jpg"
"Diamond Bracelet"	"Prong"	"14K Yellow Gold Womens Diamond Tennis Bracelet 1.00 Ctw"	"This elegant womens tennis bracelet is prong set with small round cut diamonds. The frame is crafted in highly polished 14K Yellow Gold and securely locks with a slide in hidden clasp with one secure latch from the side. This featured yellow gold womens diamond bracelet weighs approximately 7 grams. "	"14k-yellow-gold-womens-diamond-bracelet-1-00-ctw.html"	"/b/r/br_2.jpg"	"BR6624"	"Enabled"	"new"	"375.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets>Root Catalog>Womens>Bracelets>Diamond Tennis Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/1607/s/14k-yellow-gold-womens-diamond-bracelet-1-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br_2.jpg"
