"id"	"title"	"link"	"price"	"description"	"condition"	"image_link"
"CL231J"	"Stainless Steel Mens Two Tone Cufflinks"	"http://www.avianneandco.com/store/catalog/product/view/id/3971/s/stainless-steel-mens-two-tone-cufflinks/"	"30.0000"	"These rectangle shape mens two tone cufflinks are crafted in silver tone stainless steel. The frame measures to 3/4 Inches in length and 5/8 Inches in width. These elegant stainless steel mens cufflinks are ideal for a special night out."	""	"http://www.avianneandco.com/store/media/catalog/product//c/l/cl231j-1.jpg"
"CL146-J"	"Stainless Steel Mens Cufflinks "	"http://www.avianneandco.com/store/catalog/product/view/id/3972/s/stainless-steel-mens-cufflinks/"	"30.0000"	"These uniquely designed rectangle shape mens cufflinks are crafted in silver tone stainless steel. The frame measures to 3/4 Inches in length and 1/2 Inches in width. These elegant mens cufflinks are ideal for an every day casual or special wear."	""	"http://www.avianneandco.com/store/media/catalog/product//C/L/CL146-J-2.jpg"
"CL129"	"Stainless Steel Mens Cufflinks "	"http://www.avianneandco.com/store/catalog/product/view/id/3973/s/stainless-steel-mens-cufflinks/"	"30.0000"	"These elegant mens cufflinks are crafted in silver tone stainless steel. The center is set with black gleaming stone which measures to 3/4 Inches in length and 1/2 Inches in width. These lovely mens cufflinks are ideal for an every day casual or special wear."	""	"http://www.avianneandco.com/store/media/catalog/product//C/L/CL129-1.jpg"
"D574-4W"	"Stainless Steel Mens Two Tone Cross Pendant"	"http://www.avianneandco.com/store/catalog/product/view/id/3974/s/stainless-steel-mens-two-tone-cross-pendant/"	"25.0000"	"This uniquely designed mens cross pendant is crafted in two tone stainless steel. Four corners of the cross are bezel set with small round cut white cubic zirconia stones. The frame measures to 2 Inches in length and 1 Inches in width. This one of a kind mens cross pendant is an ideal accessory at an affordable value."	""	"http://www.avianneandco.com/store/media/catalog/product//D/5/D574-4W-1.jpg"
"D252"	"Stainless Steel Star of David Pendant "	"http://www.avianneandco.com/store/catalog/product/view/id/3975/s/stainless-steel-star-of-david-pendant/"	"25.0000"	"This uniquely designed Star of David pendant is crafted in silver tone stainless steel. The center features a carved out Star which is outlined with black stainless steel. The frame measures to 1 1/4 Inches in length and 3/4 Inches in width. Exclusively designed by Avianne&Co. this Star of David pendant is an ideal accessory for an every day wear."	""	"http://www.avianneandco.com/store/media/catalog/product//D/2/D252-1.jpg"
"D043"	"Stainless Steel Womens Butterfly Pendant"	"http://www.avianneandco.com/store/catalog/product/view/id/3976/s/stainless-steel-womens-butterfly-pendant/"	"25.0000"	"This uniquely designed womens butterfly pendant is crafted in silver tone stainless steel. The frame measures to 7/8 Inches in length and 1 1/8 Inches width. This lovely womens butterfly pendant is an ideal accessory for an every day casual wear."	""	"http://www.avianneandco.com/store/media/catalog/product//D/0/D043-1.jpg"
"D556Z2"	"Stainless Steel Mens Sword Pendant "	"http://www.avianneandco.com/store/catalog/product/view/id/3979/s/stainless-steel-mens-sword-pendant/"	"25.0000"	"Exclusively designed by Avianne and Company, this one of a kind mens sword pendant is crafted in silver tone stainless steel. The back and the front of the sword are bezel set with two small cubic zirconia round cut white stones. The frame measures to 1 3/4 Inches in length and 3/4 Inches in width. The back of this mens sword pendant features carved out Avianne&Co. logo."	""	"http://www.avianneandco.com/store/media/catalog/product//D/5/D556Z2-2.jpg"
"D534J"	"Stainless Steel Dog Tag Pendant"	"http://www.avianneandco.com/store/catalog/product/view/id/3981/s/stainless-steel-dog-tag-pendant/"	"42.0000"	"This uniquely designed dog tag pendant is crafted in two tone stainless steel. The center is pave set with small cubic zirconia round cut white stones. The frame measures to 1 3/4 Inches in length and 3/4 Inches in width. The back of this exclusively designed dog tag pendant features carved out Avianne&Co. logo. "	""	"http://www.avianneandco.com/store/media/catalog/product//D/5/D534J-1.jpg"
"D6262TR"	"Stainless Steel Womens Fairy Pendant "	"http://www.avianneandco.com/store/catalog/product/view/id/3983/s/stainless-steel-womens-fairy-pendant/"	"25.0000"	"This uniquely designed womens two tone fairy pendant is crafted in highly polished stainless steel. The wings are crafted in rose tone and feature five small cubic zirconia round cut white stones. The frame measures to 1 3/4 Inches in length and 5/8 Inches in width. This lovely womens fairy pendant features carved out Avianne&Co. logo on the back."	""	"http://www.avianneandco.com/store/media/catalog/product//D/6/D6262TR-1.jpg"
"D548-2TJ"	"Stainless Steel Mens Gothic Cross Dog Tag Pendant "	"http://www.avianneandco.com/store/catalog/product/view/id/3984/s/stainless-steel-mens-gothic-cross-dog-tag-pendant/"	"25.0000"	"Exclusively designed by Avianne and Company, this two tone mens Gothic cross dog tag pendant is crafted in highly polished stainless steel. Both sides of the pendant feature carved out black gothic cross which is crafted in black tone stainless steel. The rectangle frame measures to 1 1/2 Inches in length and 1 Inches in width. This one of a kind Mens Gothic Cross Dog Tag Pendant displays an Avianne&Co. logo on the back. "	""	"http://www.avianneandco.com/store/media/catalog/product//D/5/D548-2TJ-1.jpg"
"SCL11J"	"Stainless Steel Mens Cufflinks "	"http://www.avianneandco.com/store/catalog/product/view/id/3988/s/stainless-steel-mens-cufflinks/"	"34.0000"	"These uniquely designed mens cufflinks are crafted in silver tone stainless steel. The frame measures to 13/16 Inches in length and 1/2 Inches in width. The back of the cufflinks feature carved out Avianne&Co. logo."	""	"http://www.avianneandco.com/store/media/catalog/product//S/C/SCL11J-1.jpg"
"CL033"	"Stainless Steel Mens Cufflinks "	"http://www.avianneandco.com/store/catalog/product/view/id/3989/s/stainless-steel-mens-cufflinks/"	"34.0000"	"These uniquely designed mens cufflinks are crafted in silver tone stainless steel. The frame measures to 3/4Inches in length and 1/2 Inches in width. The sides of each cufflink is pave set with small white round cut cubic zirconia stones. The back of the cufflinks feature carved out Avianne&Co. logo."	""	"http://www.avianneandco.com/store/media/catalog/product//C/L/CL033-1.jpg"
"CL230J-Z3"	"Stainless Steel Mens Cufflinks "	"http://www.avianneandco.com/store/catalog/product/view/id/3990/s/stainless-steel-mens-cufflinks/"	"30.0000"	"These uniquely designed mens cufflinks are crafted in silver tone stainless steel. The frame measures to 3/4 Inches in length and 1/2 Inches in width. The center of each cufflink is pave set with three small white cubic zirconia stones. The back of the cufflinks feature carved out Avianne&Co. logo."	""	"http://www.avianneandco.com/store/media/catalog/product//C/L/CL230J-Z3-1.jpg"
"CL223J"	"Stainless Steel Mens Cufflinks "	"http://www.avianneandco.com/store/catalog/product/view/id/3999/s/stainless-steel-mens-cufflinks/"	"25.0000"	"These exquisite mens cufflinks are crafted in silver tone stainless steel. The rectangle center piece of each cufflink is pave set with four small white cubic zirconia stones. The frame measures to 3/4 Inches in length and 1/2 Inches in width. "	""	"http://www.avianneandco.com/store/media/catalog/product//C/L/CL223J-1.jpg"
"D5802T"	"Stainless Steel Mens Two Tone Cross Pendant"	"http://www.avianneandco.com/store/catalog/product/view/id/4001/s/stainless-steel-mens-two-tone-cross-pendant/"	"25.0000"	"This uniquely designed mens cross pendant is crafted in two tone highly polished stainless steel. The center features carved out Crucified Jesus who's crafted in yellow tone stainless steel. The frame measures to 2 1/2 Inches in length and 1 1/4 Inches in width. This one of a kind mens cross pendant is an ideal accessory at an affordable value."	""	"http://www.avianneandco.com/store/media/catalog/product//D/5/D5802T-1.jpg"
"CL185J"	"Stainless Steel Mens Cufflinks "	"http://www.avianneandco.com/store/catalog/product/view/id/4004/s/stainless-steel-mens-cufflinks/"	"34.0000"	"These uniquely designed mens cufflinks are crafted in silver tone stainless steel. The rectangle shape center piece features four emerald cut cubic zirconia stones which are held by bezel setting. The frame measures to 3/4 Inches in length and 1/2 Inches in width. "	""	"http://www.avianneandco.com/store/media/catalog/product//C/L/CL185J-1.jpg"
"D611J-4W"	"Stainless Steel Mens Two Tone Cross Pendant"	"http://www.avianneandco.com/store/catalog/product/view/id/4005/s/stainless-steel-mens-two-tone-cross-pendant/"	"25.0000"	"This elegant mens cross pendant is crafted in two tone highly polished stainless steel. The center is crafted in black tone stainless steel and features four round cut cubic zirconia stones on four corners. The frame measures to 2 1/8 Inches in length and 1 1/8 Inches in width. "	""	"http://www.avianneandco.com/store/media/catalog/product//D/6/D611J-4W-1.jpg"
"D516-2TJ"	"Stainless Steel Mens Cross Dog Tag Pendant "	"http://www.avianneandco.com/store/catalog/product/view/id/4006/s/stainless-steel-mens-cross-dog-tag-pendant/"	"30.0000"	"Exclusively designed by Avianne and Company, this mens cross dog tag pendant is crafted in lustrous two tone stainless steel. The center features carved out cross which is crafted in black tone stainless steel. The frame measures to 2 1/8 Inches in length and 1 1/8 Inches in width.     "	""	"http://www.avianneandco.com/store/media/catalog/product//D/5/D516-2TJ-1.jpg"
"CL032"	"Stainless Steel Mens Cufflinks "	"http://www.avianneandco.com/store/catalog/product/view/id/4007/s/stainless-steel-mens-cufflinks/"	"30.0000"	"These uniquely designed mens cufflinks are crafted in silver tone stainless steel. The frame measures to 13/16 Inches in length and 1/2 Inches in width. These elegant mens cufflinks feature carved out Avianne&Co. logo."	""	"http://www.avianneandco.com/store/media/catalog/product//C/L/CL032-1.jpg"
