"id"	"title"	"link"	"price"	"description"	"condition"	"image_link"
"BandPythonBlack"	"Black Python Watch Band "	"http://www.avianneandco.com/store/catalog/product/view/id/2471/"	"249.0000"	"This exclusive Avianne and Co. Black Python Watch Band measures to approximately 13/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band-9_1.jpg"
"BandLeatherRed"	"Red Leather Watch Band "	"http://www.avianneandco.com/store/catalog/product/view/id/2472/"	"1.0000"	"This exclusive Avianne and Co. Red Leather Watch Band measures to approximately 15/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band1.jpg"
"BandLeatherYellow"	"Yellow Leather Watch Band "	"http://www.avianneandco.com/store/catalog/product/view/id/2473/"	"69.0000"	"This exclusive Avianne and Co. Yellow Leather Watch Band measures to approximately 15/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band2.jpg"
"BandPython"	"Python Watch Band "	"http://www.avianneandco.com/store/catalog/product/view/id/2474/"	"249.0000"	"This exclusive Avianne and Co. Python Watch Band measures to approximately 13/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band3c.jpg"
"BandLeatherWhite"	"White Leather Watch Band "	"http://www.avianneandco.com/store/catalog/product/view/id/2475/"	"69.0000"	"This exclusive Avianne and Co. White Leather Watch Band measures to approximately 15/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band-4c.jpg"
"BandPythonBrownishOlive"	"Python Brownish Olive Watch Band "	"http://www.avianneandco.com/store/catalog/product/view/id/2476/"	"249.0000"	"This exclusive Avianne and Co. Python Brownish Olive Watch Band measures to approximately 13/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band-5.jpg"
"BandPythonMidBlue"	"Python Midnight Blue Watch Band "	"http://www.avianneandco.com/store/catalog/product/view/id/2477/"	"249.0000"	"This exclusive Avianne and Co. Python Midnight Blue Watch Band measures to approximately 13/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band-6.jpg"
"BandLeatherCadBlue"	"Dark Cadet Blue Leather Watch Band "	"http://www.avianneandco.com/store/catalog/product/view/id/2478/"	"69.0000"	"This exclusive Avianne and Co. Dark Cadet Blue Leather Watch Band measures to approximately 15/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band-7.jpg"
"BandLeatherSteelBlue"	"Dark Steel Blue Leather Watch Band "	"http://www.avianneandco.com/store/catalog/product/view/id/2479/"	"69.0000"	"This exclusive Avianne and Co. Dark Steel Blue Leather Watch Band measures to approximately 15/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band-8.jpg"
"BandLeatherBrown"	"Brown Leather Watch Band "	"http://www.avianneandco.com/store/catalog/product/view/id/2480/"	"69.0000"	"This exclusive Avianne and Co. Brown Leather Watch Band measures to approximately 15/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"new"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band-10.jpg"
